Player,Team,Season,PPG,RPG,APG,WinPct,WS,MVP,ORtg,DRtg,PER,BPM,USG%,VORP,is_outlier
Hedo Türkoğlu,TOR,09/10,11.3,4.6,4.1,0.488,3.4,0,109,113,13.3,0.4,18.1,1.4,False
Delonte West,CLE,09/10,8.8,2.8,3.3,0.744,3.3,0,106,105,13.8,0.7,18.3,1.0,False
Kenyon Martin,DEN,09/10,11.5,9.4,1.9,0.646,3.3,0,101,104,13.4,-0.8,17.5,0.6,False
Robin Lopez,PHO,09/10,8.4,4.9,0.1,0.659,3.2,0,123,110,17.6,-0.6,17.3,0.4,False
Eric Gordon,LAC,09/10,16.9,2.6,3.0,0.354,3.2,0,107,113,14.1,-0.9,21.5,0.6,False
Trevor Ariza,HOU,09/10,14.9,5.6,3.8,0.512,3.2,0,99,106,13.3,0.5,21.2,1.7,False
Tayshaun Prince,DET,09/10,13.5,5.1,3.3,0.329,3.2,0,113,113,16.0,0.8,18.9,1.2,False
Antonio McDyess,SAS,09/10,5.8,5.9,1.1,0.61,3.2,0,103,103,12.2,-1.0,15.1,0.4,False
Maurice Evans,ATL,09/10,5.7,1.9,0.6,0.646,3.1,0,117,109,12.2,-0.9,15.4,0.4,False
Courtney Lee,BRK,09/10,12.5,3.5,1.7,0.146,3.1,0,106,111,12.8,-1.4,17.7,0.4,True
Chase Budinger,HOU,09/10,8.9,3.0,1.2,0.512,3.1,0,111,110,14.1,0.5,19.4,0.9,False
C.J. Watson,GSW,09/10,10.3,2.6,2.8,0.317,3.1,0,112,112,13.8,-0.4,16.0,0.7,False
Shaquille O'Neal,CLE,09/10,12.0,6.7,1.5,0.744,3.1,0,104,102,17.9,-0.2,25.1,0.6,False
Joel Anthony,MIA,09/10,2.7,3.1,0.2,0.573,3.1,0,112,103,10.2,-1.7,8.7,0.1,False
Ryan Anderson,ORL,09/10,7.7,3.2,0.6,0.72,3.1,0,112,103,18.1,2.3,24.4,1.0,False
Rudy Fernández,POR,09/10,8.1,2.6,2.0,0.61,3.0,0,108,107,13.1,1.5,17.7,1.3,False
Craig Smith,LAC,09/10,7.8,3.8,1.1,0.354,3.0,0,112,109,16.9,-0.8,21.2,0.4,False
Darren Collison,NOP,09/10,12.4,2.5,5.7,0.451,2.9,0,105,112,16.5,-0.8,23.1,0.6,False
Tyson Chandler,CHA,09/10,6.5,6.3,0.3,0.537,2.9,0,107,102,12.5,-2.0,14.0,0.0,False
Lou Amundson,PHO,09/10,4.7,4.4,0.4,0.659,2.9,0,113,107,14.4,-1.1,14.6,0.3,False
Jamario Moon,CLE,09/10,4.9,3.1,0.8,0.744,2.9,0,114,103,12.6,1.4,12.8,0.9,False
Jordan Farmar,LAL,09/10,7.2,1.6,1.5,0.695,2.8,0,105,106,12.3,-0.4,19.0,0.6,False
Goran Dragić,PHO,09/10,7.9,2.1,3.0,0.659,2.8,0,110,112,14.8,0.1,21.1,0.8,False
D.J. Augustin,CHA,09/10,6.4,1.2,2.4,0.537,2.8,0,106,107,11.2,-1.1,17.9,0.3,False
Zaza Pachulia,ATL,09/10,4.3,3.8,0.5,0.646,2.7,0,110,104,13.1,-2.5,15.5,-0.1,False
Wilson Chandler,NYK,09/10,15.3,5.4,2.1,0.354,2.7,0,106,113,13.7,-2.1,20.2,0.0,False
Peja Stojaković,NOP,09/10,12.6,3.7,1.5,0.451,2.7,0,108,113,12.4,-0.9,18.6,0.5,False
Mario Chalmers,MIA,09/10,7.1,1.8,3.4,0.573,2.7,0,100,105,10.7,-1.3,16.3,0.3,False
J.R. Smith,DEN,09/10,15.4,3.1,2.4,0.646,2.7,0,101,108,15.0,0.1,26.9,1.1,False
Rodney Stuckey,DET,09/10,16.6,3.8,4.8,0.329,2.7,0,103,112,15.6,-0.4,26.4,1.0,False
Rasual Butler,LAC,09/10,11.9,2.9,1.4,0.354,2.7,0,106,113,10.7,-1.9,17.0,0.1,False
Devin Harris,BRK,09/10,16.9,3.2,6.6,0.146,2.7,0,103,112,16.2,-0.8,25.5,0.7,True
Jerryd Bayless,POR,09/10,8.5,1.6,2.3,0.61,2.7,0,108,110,14.3,-1.7,24.9,0.1,False
Earl Watson,IND,09/10,7.8,3.0,5.1,0.39,2.6,0,100,108,10.9,-2.3,14.7,-0.2,False
Keith Bogans,SAS,09/10,4.4,2.2,1.2,0.61,2.6,0,106,106,7.7,-1.2,11.0,0.3,False
Juwan Howard,POR,09/10,6.0,4.6,0.8,0.61,2.6,0,107,108,10.0,-3.5,13.9,-0.6,False
Daniel Gibson,CLE,09/10,6.3,1.3,1.2,0.744,2.6,0,117,108,11.3,0.0,14.2,0.5,False
Jason Maxiell,DET,09/10,6.8,5.3,0.5,0.329,2.6,0,109,110,14.0,-2.7,16.4,-0.3,False
Kyle Korver,UTA,09/10,7.2,2.1,1.7,0.646,2.6,0,116,107,13.9,1.4,16.2,0.8,False
Omri Casspi,SAC,09/10,10.3,4.5,1.2,0.305,2.5,0,104,110,13.0,-1.1,19.4,0.4,False
Zydrunas Ilgauskas,CLE,09/10,7.4,5.4,0.8,0.744,2.5,0,102,104,11.9,-3.8,19.0,-0.6,False
Brandon Rush,IND,09/10,9.4,4.2,1.4,0.39,2.5,0,99,108,9.6,-1.3,14.8,0.4,False
James Posey,NOP,09/10,5.2,4.3,1.5,0.451,2.4,0,108,110,8.7,-1.8,11.4,0.1,False
James Harden,HOU,14/15,27.4,5.7,7.0,0.683,16.4,0,118,103,26.7,8.8,31.3,8.1,True
Chris Paul,LAC,14/15,19.1,4.6,10.2,0.683,16.1,0,126,105,26.0,8.0,23.7,7.2,True
Stephen Curry,GSW,14/15,23.8,4.3,7.7,0.817,15.7,1,122,101,28.0,9.9,28.9,7.9,False
Anthony Davis,NOP,14/15,24.4,10.2,2.2,0.549,14.0,0,122,100,30.8,8.9,27.8,6.7,True
DeAndre Jordan,LAC,14/15,11.5,15.0,0.7,0.683,12.8,0,126,98,21.0,2.9,13.6,3.5,True
Jimmy Butler,CHI,14/15,20.0,5.8,3.3,0.61,11.2,0,122,104,21.3,4.6,21.6,4.2,True
Russell Westbrook,OKC,14/15,28.1,7.3,8.6,0.549,10.6,0,111,103,29.1,8.1,38.4,5.8,True
Damian Lillard,POR,14/15,21.0,4.6,6.2,0.622,10.6,0,112,105,20.7,4.7,26.9,4.9,True
Pau Gasol,CHI,14/15,18.5,11.8,2.7,0.61,10.4,0,112,101,22.7,3.5,24.7,3.7,True
Kyrie Irving,CLE,14/15,21.7,3.2,5.2,0.646,10.4,0,117,108,21.5,4.1,26.2,4.2,False
LeBron James,CLE,14/15,25.3,6.0,7.4,0.646,10.4,0,112,105,25.9,7.1,32.3,5.7,True
Tyson Chandler,DAL,14/15,10.3,11.5,1.1,0.61,10.3,0,133,103,20.1,2.6,12.8,2.7,True
Marc Gasol,MEM,14/15,17.4,7.8,3.8,0.671,10.2,0,111,100,21.7,5.1,24.6,4.8,True
Tim Duncan,SAS,14/15,13.9,9.1,3.0,0.671,9.6,0,113,97,22.6,5.1,22.2,4.0,False
Rudy Gobert,UTA,14/15,8.4,9.5,1.3,0.463,9.3,0,122,98,21.6,4.2,14.0,3.4,False
Blake Griffin,LAC,14/15,21.9,7.6,5.3,0.683,9.0,0,113,106,22.8,4.0,28.4,3.6,False
Klay Thompson,GSW,14/15,21.7,3.2,2.9,0.817,8.8,0,112,104,20.8,4.4,27.6,4.0,False
Kevin Love,CLE,14/15,16.4,9.7,2.2,0.646,8.7,0,115,105,18.8,2.7,21.7,3.0,False
Gordon Hayward,UTA,14/15,19.2,4.9,4.1,0.463,8.7,0,111,105,20.2,4.0,26.2,4.0,False
Al Horford,ATL,14/15,15.2,7.2,3.2,0.732,8.7,0,114,102,21.4,4.1,22.2,3.6,False
Kawhi Leonard,SAS,14/15,16.5,7.2,2.5,0.671,8.6,0,113,96,22.0,5.9,23.0,4.1,False
LaMarcus Aldridge,POR,14/15,23.4,10.2,1.7,0.622,8.6,0,108,102,22.8,2.9,30.2,3.1,False
Marcin Gortat,WAS,14/15,12.2,8.7,1.2,0.561,8.6,0,114,100,18.2,1.5,17.6,2.1,False
Draymond Green,GSW,14/15,11.7,8.2,3.7,0.817,8.5,0,110,97,16.4,3.5,17.2,3.5,False
Derrick Favors,UTA,14/15,16.0,8.2,1.5,0.463,8.3,0,113,102,21.8,2.5,23.8,2.6,False
Paul Millsap,ATL,14/15,16.7,7.8,3.1,0.732,8.3,0,109,99,20.0,3.4,23.8,3.3,False
Jonas Valančiūnas,TOR,14/15,12.0,8.7,0.5,0.598,8.2,0,121,105,20.6,0.5,19.1,1.3,False
Danny Green,SAS,14/15,11.7,4.2,2.0,0.671,7.8,0,114,100,16.5,4.6,17.5,3.8,False
John Wall,WAS,14/15,17.6,4.6,10.0,0.561,7.8,0,105,102,19.9,3.6,26.1,4.0,True
Jeff Teague,ATL,14/15,15.9,2.5,7.0,0.732,7.7,0,111,104,20.6,2.9,25.3,2.8,False
Andre Drummond,DET,14/15,13.8,13.5,0.7,0.39,7.7,0,107,100,21.4,-0.1,22.0,1.2,True
Kyle Korver,ATL,14/15,12.1,4.1,2.6,0.732,7.5,0,122,106,14.8,2.8,14.4,3.0,False
Dirk Nowitzki,DAL,14/15,17.3,5.9,1.9,0.61,7.2,0,113,107,19.2,2.2,24.9,2.4,False
Zach Randolph,MEM,14/15,16.1,10.5,2.2,0.671,7.2,0,107,101,19.5,1.3,24.3,1.9,False
Kyle Lowry,TOR,14/15,17.8,4.7,6.8,0.598,7.1,0,110,107,19.3,3.0,25.4,3.1,False
DeMarre Carroll,ATL,14/15,12.6,5.3,1.7,0.732,7.0,0,117,104,15.9,1.7,16.9,2.0,False
Nikola Vučević,ORL,14/15,19.3,10.9,2.0,0.305,7.0,0,109,106,21.5,0.9,26.0,1.8,False
Ty Lawson,DEN,14/15,15.2,3.1,9.6,0.366,7.0,0,113,111,18.5,2.2,20.6,2.8,True
Brook Lopez,BRK,14/15,17.2,7.4,0.7,0.463,7.0,0,112,105,22.7,1.2,26.3,1.6,False
Eric Bledsoe,PHO,14/15,17.0,5.2,6.1,0.476,7.0,0,107,106,18.4,2.1,23.7,2.9,False
Mike Conley,MEM,14/15,15.8,3.0,5.4,0.671,6.8,0,110,104,18.6,2.8,23.7,2.7,False
Greg Monroe,DET,14/15,15.9,10.2,2.1,0.39,6.8,0,110,103,21.2,2.0,23.9,2.1,False
Tristan Thompson,CLE,14/15,8.5,8.0,0.5,0.646,6.8,0,121,106,15.6,-1.2,14.0,0.4,False
Harrison Barnes,GSW,14/15,10.1,5.5,1.4,0.817,6.7,0,116,104,13.4,0.1,14.9,1.2,False
JJ Redick,LAC,14/15,16.4,2.1,1.8,0.683,6.7,0,118,111,16.2,1.3,21.0,2.0,False
Khris Middleton,MIL,14/15,13.4,4.4,2.3,0.5,6.7,0,109,102,15.6,1.6,19.9,2.2,False
Lou Williams,TOR,14/15,15.5,1.9,2.0,0.598,6.6,0,114,109,19.9,2.6,27.0,2.3,False
Trevor Ariza,HOU,14/15,12.8,5.6,2.5,0.683,6.6,0,107,103,12.7,1.0,16.5,2.2,False
Tyler Zeller,BOS,14/15,10.2,5.7,1.4,0.488,6.5,0,119,105,18.9,0.9,19.6,1.3,False
Ed Davis,LAL,14/15,8.3,7.6,1.2,0.256,6.3,0,124,107,20.0,1.5,14.8,1.6,False
Giannis Antetokounmpo,MIL,14/15,12.7,6.7,2.6,0.5,6.2,0,105,101,14.8,0.0,19.6,1.2,False
Wesley Matthews,POR,14/15,15.9,3.7,2.3,0.622,6.2,0,114,105,16.1,3.1,19.8,2.6,False
Patrick Patterson,TOR,14/15,8.0,5.3,1.9,0.598,6.1,0,122,108,14.6,2.5,13.1,2.4,False
Rudy Gay,SAC,14/15,21.1,5.9,3.7,0.354,6.1,0,110,110,19.7,2.7,27.0,2.9,False
DeMarcus Cousins,SAC,14/15,24.1,12.7,3.6,0.354,6.0,0,104,101,25.2,4.3,34.1,3.2,True
Nikola Mirotić,CHI,14/15,10.2,4.9,1.2,0.61,5.7,0,111,101,17.9,2.3,22.8,1.8,False
Anthony Morrow,OKC,14/15,10.7,2.6,0.8,0.549,5.7,0,124,108,14.8,1.8,16.5,1.7,False
Kenneth Faried,DEN,14/15,12.6,8.9,1.2,0.366,5.6,0,111,106,18.4,-0.1,20.3,1.0,False
Serge Ibaka,OKC,14/15,14.3,7.8,0.9,0.549,5.6,0,109,104,16.6,0.9,18.9,1.6,False
Joakim Noah,CHI,14/15,7.2,9.6,4.7,0.61,5.6,0,109,102,15.3,2.1,13.7,2.1,False
Chandler Parsons,DAL,14/15,15.7,4.9,2.4,0.61,5.5,0,112,108,16.3,1.6,20.6,2.0,False
Paul Pierce,WAS,14/15,11.9,4.0,2.0,0.561,5.5,0,112,104,15.2,1.5,19.9,1.7,False
George Hill,IND,14/15,16.1,4.2,5.1,0.463,5.4,0,117,103,21.5,5.3,23.8,2.3,False
Luol Deng,MIA,14/15,14.0,5.2,1.9,0.451,5.4,0,110,109,15.5,0.0,19.5,1.2,False
Brandon Bass,BOS,14/15,10.6,4.9,1.3,0.488,5.3,0,112,106,16.3,0.0,19.5,1.0,False
Hassan Whiteside,MIA,14/15,11.8,10.0,0.1,0.451,5.3,0,117,97,26.2,4.1,21.1,1.8,False
Andrew Bogut,GSW,14/15,6.3,8.1,2.7,0.817,5.2,0,110,97,15.8,2.4,13.2,1.8,False
Nicolas Batum,POR,14/15,9.4,5.9,4.8,0.622,5.2,0,106,103,13.1,2.1,14.6,2.4,False
Robin Lopez,POR,14/15,9.6,6.7,0.9,0.622,5.1,0,117,104,16.2,0.1,15.5,0.9,False
Amir Johnson,TOR,14/15,9.3,6.1,1.6,0.598,5.1,0,115,107,15.4,-0.1,15.7,0.9,False
Andre Iguodala,GSW,14/15,7.8,3.3,3.0,0.817,5.1,0,110,103,12.3,0.9,13.3,1.5,False
Ömer Aşık,NOP,14/15,7.3,9.8,0.9,0.549,5.0,0,112,105,15.5,-1.2,14.0,0.4,False
Gorgui Dieng,MIN,14/15,9.7,8.3,2.0,0.195,4.9,0,113,108,17.2,0.2,15.0,1.2,False
P.J. Tucker,PHO,14/15,9.1,6.4,1.6,0.476,4.9,0,108,105,12.5,0.4,13.9,1.4,False
Courtney Lee,MEM,14/15,10.1,2.3,2.0,0.671,4.8,0,109,106,11.5,-0.5,15.2,0.9,False
Taj Gibson,CHI,14/15,10.3,6.4,1.1,0.61,4.8,0,112,104,16.1,-0.4,17.6,0.7,False
Tobias Harris,ORL,14/15,17.1,6.3,1.8,0.305,4.8,0,107,108,16.7,0.5,22.5,1.5,False
Kevin Durant,OKC,14/15,25.4,6.6,4.1,0.549,4.8,0,121,105,27.6,10.0,29.1,2.8,True
Mason Plumlee,BRK,14/15,8.7,6.2,0.9,0.463,4.8,0,109,103,18.0,0.1,19.2,0.9,False
Al Jefferson,CHA,14/15,16.6,8.4,1.7,0.402,4.7,0,101,100,19.7,1.6,26.3,1.8,False
Donatas Motiejūnas,HOU,14/15,12.0,5.9,1.8,0.683,4.7,0,107,105,14.4,-0.5,19.1,0.8,False
Tyreke Evans,NOP,14/15,16.6,5.3,6.6,0.549,4.6,0,103,107,17.7,1.2,26.1,2.2,False
Markieff Morris,PHO,14/15,15.3,6.2,2.3,0.476,4.6,0,102,105,15.8,-0.3,23.3,1.1,False
Cory Joseph,SAS,14/15,6.8,2.4,2.4,0.671,4.5,0,115,104,15.5,1.4,17.0,1.2,False
Kemba Walker,CHA,14/15,17.3,3.5,5.1,0.402,4.5,0,103,104,17.6,2.3,25.9,2.3,False
Luis Scola,IND,14/15,9.4,6.5,1.3,0.463,4.4,0,104,101,16.8,-0.3,22.8,0.7,False
Marvin Williams,CHA,14/15,7.4,4.9,1.3,0.402,4.3,0,106,103,11.8,0.0,13.3,1.0,False
Matt Barnes,LAC,14/15,10.1,4.0,1.5,0.683,4.3,0,108,107,11.3,-0.3,14.9,1.0,False
David West,IND,14/15,11.7,6.8,3.4,0.463,4.3,0,103,102,16.0,1.6,21.0,1.7,False
Roy Hibbert,IND,14/15,10.6,7.1,1.1,0.463,4.2,0,101,101,15.4,-1.2,21.3,0.4,False
Devin Harris,DAL,14/15,8.8,1.8,3.1,0.61,4.2,0,113,108,14.8,1.4,18.0,1.4,False
Zaza Pachulia,MIL,14/15,8.3,6.8,2.4,0.5,4.2,0,103,100,15.6,0.4,19.1,1.0,False
Jared Dudley,MIL,14/15,7.2,3.1,1.8,0.5,4.1,0,112,104,12.3,0.6,13.5,1.1,False
Mike Dunleavy,CHI,14/15,9.4,3.9,1.8,0.61,4.1,0,113,106,11.6,0.0,14.2,0.9,False
Steven Adams,OKC,14/15,7.7,7.5,0.9,0.549,4.1,0,108,104,14.1,-1.3,14.3,0.3,False
Tony Allen,MEM,14/15,8.6,4.4,1.4,0.671,4.1,0,103,98,14.6,1.6,16.6,1.5,False
James Johnson,TOR,14/15,7.9,3.7,1.4,0.598,4.1,0,114,104,17.9,2.4,17.4,1.5,False
Joe Johnson,BRK,14/15,14.4,4.8,3.6,0.463,4.1,0,105,110,14.1,-0.1,20.3,1.3,False
Tony Parker,SAS,14/15,14.4,1.9,4.9,0.671,4.1,0,105,107,15.9,-1.3,24.5,0.3,False
Tiago Splitter,SAS,14/15,8.2,4.8,1.5,0.671,4.0,0,117,101,18.9,2.3,18.4,1.1,False
Rodney Stuckey,IND,14/15,12.6,3.5,3.1,0.463,4.0,0,104,105,15.4,0.3,23.4,1.1,False
Bismack Biyombo,CHA,14/15,4.8,6.4,0.2,0.402,4.0,0,115,99,15.2,-1.1,11.6,0.3,False
Jared Sullinger,BOS,14/15,13.3,7.6,2.3,0.488,4.0,0,106,103,17.9,1.1,23.6,1.2,False
Ersan İlyasova,MIL,14/15,11.5,4.8,1.0,0.5,4.0,0,111,103,16.8,1.1,22.1,1.0,False
C.J. Watson,IND,14/15,10.0,2.9,3.6,0.463,4.0,0,110,104,15.4,1.3,18.8,1.2,False
Nerlens Noel,PHI,14/15,9.9,8.1,1.7,0.22,4.0,0,96,99,15.0,-0.3,17.0,1.0,False
Marcus Morris,PHO,14/15,10.4,4.8,1.6,0.476,4.0,0,107,107,13.7,0.1,19.0,1.1,False
Marreese Speights,GSW,14/15,10.4,4.3,0.9,0.817,4.0,0,108,102,19.5,-1.9,29.1,0.0,False
Robert Covington,PHI,14/15,13.5,4.5,1.5,0.22,4.0,0,104,104,14.7,0.7,21.8,1.3,False
DeMar DeRozan,TOR,14/15,20.1,4.6,3.5,0.598,4.0,0,104,109,17.4,-0.9,28.4,0.6,False
Danilo Gallinari,DEN,14/15,12.4,3.7,1.4,0.366,3.9,0,114,109,16.8,2.4,21.5,1.6,False
Aron Baynes,SAS,14/15,6.6,4.5,0.5,0.671,3.9,0,116,103,15.9,-1.8,17.8,0.1,False
Cody Zeller,CHA,14/15,7.6,5.8,1.6,0.402,3.8,0,108,102,14.1,-0.6,15.6,0.5,False
Darren Collison,SAC,14/15,16.1,3.2,5.6,0.354,3.8,0,112,110,17.5,2.1,20.9,1.6,False
Michael Kidd-Gilchrist,CHA,14/15,10.9,7.6,1.4,0.402,3.8,0,106,103,15.1,-0.5,18.4,0.6,False
Kris Humphries,WAS,14/15,8.0,6.5,0.9,0.561,3.8,0,108,101,15.4,-1.0,18.3,0.3,False
Bradley Beal,WAS,14/15,15.3,3.8,3.1,0.561,3.7,0,102,105,14.0,0.1,22.5,1.1,False
Manu Ginóbili,SAS,14/15,10.5,3.0,4.2,0.671,3.7,0,103,102,16.2,1.7,23.9,1.5,False
Wilson Chandler,DEN,14/15,13.9,6.1,1.7,0.366,3.6,0,104,109,13.2,-0.6,20.1,0.9,False
Boris Diaw,SAS,14/15,8.7,4.3,2.9,0.671,3.6,0,103,105,12.7,-0.4,18.3,0.8,False
Deron Williams,BRK,14/15,13.0,3.5,6.6,0.463,3.6,0,105,109,15.7,0.2,22.3,1.2,False
Monta Ellis,DAL,14/15,18.9,2.4,4.1,0.61,3.6,0,100,107,16.5,-0.1,27.9,1.3,False
John Henson,MIL,14/15,7.0,4.7,0.9,0.5,3.6,0,106,98,18.0,0.7,18.1,0.8,False
Chris Bosh,MIA,14/15,21.1,7.0,2.2,0.451,3.6,0,106,106,19.8,1.3,28.4,1.3,False
Jamal Crawford,LAC,14/15,15.8,1.9,2.5,0.683,3.6,0,106,109,16.6,0.7,27.6,1.2,False
Trevor Booker,UTA,14/15,7.2,5.0,1.1,0.463,3.6,0,107,104,15.3,-0.2,18.1,0.7,False
C.J. Miles,IND,14/15,13.5,3.1,1.1,0.463,3.6,0,103,104,14.1,0.9,23.9,1.3,False
Gerald Henderson,CHA,14/15,12.1,3.4,2.6,0.402,3.6,0,102,106,13.2,-1.4,20.7,0.4,False
Beno Udrih,MEM,14/15,7.7,1.8,2.8,0.671,3.6,0,108,105,15.4,0.5,19.6,0.9,False
Chris Andersen,MIA,14/15,5.3,5.0,0.7,0.451,3.6,0,121,103,16.1,1.1,12.3,0.9,False
Kelly Olynyk,BOS,14/15,10.2,4.7,1.7,0.488,3.6,0,105,102,15.9,0.4,21.1,0.8,False
Dwight Howard,HOU,14/15,15.8,10.5,1.2,0.683,3.6,0,105,100,19.2,-0.4,23.3,0.5,False
Jason Terry,HOU,14/15,7.0,1.6,1.9,0.683,3.6,0,112,106,11.4,0.5,14.3,1.0,False
Solomon Hill,IND,14/15,8.9,3.8,2.2,0.463,3.5,0,101,105,10.2,-1.5,15.9,0.3,False
Dwyane Wade,MIA,14/15,21.5,3.5,4.8,0.451,3.5,0,102,108,21.4,2.1,34.7,2.1,False
Ryan Anderson,NOP,14/15,13.7,4.8,0.9,0.549,3.5,0,109,110,15.6,-0.3,23.4,0.7,False
Victor Oladipo,ORL,14/15,17.9,4.2,4.1,0.305,3.5,0,101,108,15.9,-0.4,25.2,1.1,False
Patrick Beverley,HOU,14/15,10.1,4.2,3.4,0.683,3.5,0,107,106,11.3,0.1,16.1,0.9,False
Tyler Hansbrough,TOR,14/15,3.6,3.6,0.3,0.598,3.4,0,132,107,13.3,-1.3,10.5,0.2,True
Alex Len,PHO,14/15,6.3,6.6,0.5,0.476,3.4,0,107,103,13.5,-1.8,13.7,0.1,False
Jrue Holiday,NOP,14/15,14.8,3.4,6.8,0.549,3.4,0,109,107,18.8,2.8,23.1,1.6,False
Brandon Jennings,DET,14/15,15.4,2.5,6.6,0.39,3.3,0,110,109,19.7,3.3,26.3,1.6,False
Kosta Koufos,MEM,14/15,5.2,5.3,0.5,0.671,3.3,0,103,99,14.2,-1.2,15.8,0.2,False
Al-Farouq Aminu,DAL,14/15,5.6,4.6,0.8,0.61,3.3,0,107,102,14.4,0.7,15.2,1.0,False
Chris Kaman,POR,14/15,8.6,6.5,0.9,0.622,3.3,0,103,101,17.3,-0.8,22.5,0.4,False
Shaun Livingston,GSW,14/15,5.9,2.3,3.3,0.817,3.3,0,107,104,12.9,-0.8,15.9,0.4,False
Aaron Brooks,CHI,14/15,11.6,2.0,3.2,0.61,3.3,0,103,107,14.4,-0.8,25.0,0.5,False
Alexis Ajinça,NOP,14/15,6.5,4.6,0.7,0.549,3.2,0,113,103,19.9,-0.3,21.1,0.4,False
David Lee,GSW,14/15,7.9,5.2,1.7,0.817,3.2,0,112,100,17.8,0.9,19.6,0.7,False
Jodie Meeks,DET,14/15,11.0,1.7,1.3,0.39,3.1,0,110,109,14.1,-0.5,20.1,0.5,False
Nenê,WAS,14/15,11.0,5.1,1.8,0.561,3.0,0,100,102,14.3,-0.8,21.8,0.5,False
Terrence Jones,HOU,14/15,11.7,6.7,1.1,0.683,3.0,0,114,102,18.3,1.2,18.4,0.7,False
Marcus Smart,BOS,14/15,7.8,3.3,3.1,0.488,2.9,0,101,104,11.0,-0.5,15.1,0.7,False
Marco Belinelli,SAS,14/15,9.2,2.5,1.5,0.671,2.9,0,107,106,12.4,-1.0,18.8,0.4,False
Carmelo Anthony,NYK,14/15,24.2,6.6,3.0,0.207,2.9,0,106,110,21.5,3.0,32.2,1.8,False
Eric Gordon,NOP,14/15,13.4,2.6,3.8,0.549,2.9,0,106,111,12.7,-1.0,19.8,0.5,False
Lavoy Allen,IND,14/15,5.0,5.1,1.2,0.463,2.8,0,109,102,14.9,0.0,15.2,0.6,False
Kentavious Caldwell-Pope,DET,14/15,12.7,3.1,1.3,0.39,2.8,0,101,109,11.2,-1.7,19.5,0.2,False
Leandro Barbosa,GSW,14/15,7.1,1.4,1.5,0.817,2.8,0,111,104,15.3,0.3,20.5,0.6,False
O.J. Mayo,MIL,14/15,11.4,2.6,2.8,0.5,2.8,0,101,105,13.5,-0.6,23.6,0.6,False
Carl Landry,SAC,14/15,7.2,3.8,0.4,0.354,2.8,0,115,111,14.9,-2.3,18.1,-0.1,False
Meyers Leonard,POR,14/15,5.9,4.5,0.6,0.622,2.8,0,117,102,14.8,0.6,15.8,0.6,False
Mario Chalmers,MIA,14/15,10.2,2.6,3.8,0.451,2.8,0,100,107,11.7,-2.5,18.9,-0.3,False
Greivis Vásquez,TOR,14/15,9.5,2.6,3.7,0.598,2.8,0,105,110,12.6,-1.0,19.8,0.5,False
Otto Porter Jr.,WAS,14/15,6.0,3.0,0.9,0.561,2.7,0,105,104,11.6,-0.5,15.1,0.6,False
Alan Anderson,BRK,14/15,7.4,2.8,1.1,0.463,2.7,0,109,109,10.6,-1.5,14.2,0.2,False
J.J. Barea,DAL,14/15,7.5,1.7,3.4,0.61,2.7,0,109,110,15.1,-0.3,21.2,0.6,False
Omri Casspi,SAC,14/15,8.9,3.9,1.5,0.354,2.7,0,110,110,14.4,-0.8,18.7,0.4,False
Mike Scott,ATL,14/15,7.8,2.9,1.1,0.732,2.7,0,108,106,15.1,-0.5,21.4,0.4,False
Jeremy Lin,LAL,14/15,11.2,2.6,4.6,0.256,2.7,0,104,110,15.6,-0.4,21.9,0.8,False
Rasual Butler,WAS,14/15,7.7,2.6,0.8,0.561,2.6,0,104,105,11.4,-0.8,17.9,0.4,False
Jarrett Jack,BRK,14/15,12.0,3.1,4.7,0.463,2.6,0,101,109,14.6,-1.1,22.6,0.5,False
Hollis Thompson,PHI,14/15,8.8,2.8,1.2,0.22,2.6,0,105,108,10.9,-1.8,15.9,0.1,False
Evan Turner,BOS,14/15,9.5,5.1,5.5,0.488,2.5,0,96,104,12.8,-1.0,19.5,0.6,False
Ben McLemore,SAC,14/15,12.1,2.9,1.7,0.354,2.5,0,104,112,10.4,-2.2,17.2,-0.2,False
Dennis Schröder,ATL,14/15,10.0,2.1,4.1,0.732,2.5,0,101,106,15.7,-1.3,27.0,0.2,False
Avery Bradley,BOS,14/15,13.9,3.1,1.8,0.488,2.5,0,99,107,11.5,-2.2,21.0,-0.1,False
Thabo Sefolosha,ATL,14/15,5.3,4.3,1.4,0.732,2.5,0,106,100,13.8,1.0,14.6,0.8,False
Tony Snell,CHI,14/15,6.0,2.4,0.9,0.61,2.4,0,108,107,10.2,-1.4,14.1,0.2,False
Nikola Jokić,DEN,20/21,26.4,10.8,8.3,0.653,15.6,1,130,109,31.3,12.1,29.6,8.8,False
Rudy Gobert,UTA,20/21,14.3,13.5,1.3,0.722,11.3,0,131,101,23.5,4.9,17.0,3.8,True
Damian Lillard,POR,20/21,28.8,4.2,7.5,0.583,10.4,0,125,118,25.6,6.3,31.4,5.0,True
Giannis Antetokounmpo,MIL,20/21,28.1,11.0,5.9,0.639,10.2,0,122,107,29.2,9.0,32.5,5.6,True
Jimmy Butler,MIA,20/21,21.5,6.9,7.1,0.556,9.3,0,127,108,26.5,7.7,26.6,4.3,True
Chris Paul,PHO,20/21,16.4,4.5,8.9,0.708,9.2,0,124,111,21.4,4.6,22.6,3.6,True
Stephen Curry,GSW,20/21,32.0,5.5,5.8,0.542,9.0,0,119,111,26.3,8.7,34.8,5.8,True
