Player,Team,Season,PPG,RPG,APG,WinPct,WS,MVP,ORtg,DRtg,PER,BPM,USG%,VORP,is_outlier
Gorgui Dieng,MIN,18/19,6.4,4.1,0.9,0.439,2.8,0,114,108,18.1,0.6,19.6,0.7,False
Terrance Ferguson,OKC,18/19,6.9,1.9,1.0,0.598,2.8,0,112,112,6.4,-3.8,10.6,-0.9,False
Zach LaVine,CHI,18/19,23.7,4.7,4.5,0.268,2.8,0,106,115,18.7,0.8,30.5,1.5,False
Justise Winslow,MIA,18/19,12.6,5.4,4.3,0.476,2.8,0,102,108,12.8,-0.6,20.8,0.7,False
Lauri Markkanen,CHI,18/19,18.7,9.0,1.4,0.268,2.7,0,107,112,17.1,-0.2,25.1,0.7,False
Bogdan Bogdanović,SAC,18/19,14.1,3.5,3.8,0.476,2.7,0,107,113,14.1,-0.6,22.3,0.7,False
Robin Lopez,CHI,18/19,9.5,3.9,1.2,0.268,2.7,0,113,115,15.9,-1.9,18.6,0.0,False
Kyle Anderson,MEM,18/19,8.0,5.8,3.0,0.402,2.7,0,110,107,12.8,0.8,12.6,0.9,False
Eric Gordon,HOU,18/19,16.2,2.2,1.9,0.646,2.6,0,108,115,12.2,-1.3,22.0,0.4,False
Tristan Thompson,CLE,18/19,10.9,10.2,2.0,0.232,2.6,0,117,116,18.4,-0.5,17.7,0.4,False
Cheick Diallo,NOP,18/19,6.0,5.2,0.5,0.402,2.6,0,119,108,17.5,-0.9,16.0,0.2,False
Gary Harris,DEN,18/19,12.9,2.8,2.2,0.659,2.6,0,108,111,12.2,-1.6,20.0,0.2,False
Willy Hernangómez,CHA,18/19,7.3,5.4,1.0,0.476,2.6,0,118,111,20.4,-0.1,22.1,0.4,False
Jalen Brunson,DAL,18/19,9.3,2.3,3.2,0.402,2.6,0,110,114,12.8,-1.7,19.1,0.1,False
Luke Kennard,DET,18/19,9.7,2.9,1.8,0.5,2.5,0,110,112,11.9,-1.1,18.1,0.3,False
Marco Belinelli,SAS,18/19,10.5,2.5,1.7,0.585,2.5,0,109,114,11.9,-1.7,19.8,0.1,False
Michael Kidd-Gilchrist,CHA,18/19,6.7,3.8,1.0,0.476,2.5,0,115,112,13.3,-2.4,15.7,-0.1,False
DeMarcus Cousins,GSW,18/19,16.3,8.2,3.6,0.695,2.4,0,109,102,21.4,3.0,28.1,1.0,False
Dwyane Wade,MIA,18/19,15.0,4.0,4.2,0.476,2.4,0,102,109,15.8,0.6,27.9,1.2,False
Norman Powell,TOR,18/19,8.6,2.3,1.5,0.707,2.4,0,110,109,13.3,-0.7,19.0,0.4,False
Seth Curry,POR,18/19,7.9,1.6,0.9,0.646,2.4,0,113,114,11.4,-1.0,16.6,0.3,False
LeBron James,MIA,12/13,26.8,8.0,7.2,0.805,19.3,1,125,101,31.6,11.7,30.2,9.9,False
Kevin Durant,OKC,12/13,28.1,7.9,4.6,0.732,18.9,0,122,100,28.3,9.3,29.8,8.9,True
Chris Paul,LAC,12/13,16.9,3.7,9.7,0.683,13.9,0,127,102,26.4,8.8,22.6,6.4,True
James Harden,HOU,12/13,25.9,4.9,5.8,0.549,12.8,0,116,106,22.9,5.6,29.0,5.8,True
Russell Westbrook,OKC,12/13,23.2,5.2,7.4,0.732,11.6,0,111,103,23.9,4.4,32.8,4.6,True
Marc Gasol,MEM,12/13,14.1,7.8,4.0,0.683,11.5,0,115,98,19.5,5.2,19.2,5.1,True
Stephen Curry,GSW,12/13,22.9,4.0,6.9,0.573,11.2,0,115,107,21.3,5.4,26.4,5.6,True
Kobe Bryant,LAL,12/13,27.3,5.6,6.0,0.549,10.9,0,112,107,23.0,4.6,31.9,5.0,True
Deron Williams,BRK,12/13,18.9,3.0,7.7,0.598,10.9,0,118,109,20.3,3.8,24.4,4.2,True
Blake Griffin,LAC,12/13,18.0,8.3,3.7,0.683,10.6,0,114,102,22.4,4.1,25.4,4.0,False
Mike Conley,MEM,12/13,14.6,2.8,6.1,0.683,9.9,0,111,100,18.3,4.6,21.0,4.6,False
George Hill,IND,12/13,14.2,3.7,4.7,0.605,9.7,0,117,102,16.6,3.3,18.8,3.5,False
Dwyane Wade,MIA,12/13,21.2,5.0,5.1,0.805,9.6,0,112,103,24.0,4.4,29.5,3.8,False
Carmelo Anthony,NYK,12/13,28.7,6.9,2.6,0.659,9.5,0,112,108,24.8,4.3,35.6,3.9,True
Serge Ibaka,OKC,12/13,13.2,7.7,0.5,0.732,9.4,0,117,101,19.4,1.5,18.1,2.2,False
Tony Parker,SAS,12/13,20.3,3.0,7.6,0.707,9.3,0,116,106,23.0,3.6,27.7,3.1,True
Tyson Chandler,NYK,12/13,10.4,10.7,0.9,0.659,9.3,0,133,104,18.9,1.3,13.0,1.8,True
David Lee,GSW,12/13,18.5,11.2,3.5,0.573,9.1,0,110,104,19.2,1.8,23.2,2.8,False
David West,IND,12/13,17.1,7.7,2.9,0.605,9.1,0,110,99,20.1,4.0,24.4,3.7,False
Paul George,IND,12/13,17.4,7.6,4.1,0.605,9.0,0,104,97,16.8,3.8,23.5,4.4,False
Chris Bosh,MIA,12/13,16.6,6.8,1.7,0.805,9.0,0,114,103,20.0,1.3,22.7,2.1,False
Brook Lopez,BRK,12/13,19.4,6.9,0.9,0.598,9.0,0,114,105,24.7,3.2,28.6,3.0,False
Al Horford,ATL,12/13,17.4,10.2,3.2,0.537,8.8,0,110,102,19.8,1.9,21.8,2.7,False
Tim Duncan,SAS,12/13,17.8,9.9,2.7,0.707,8.3,0,107,95,24.4,5.3,27.8,3.8,False
Tiago Splitter,SAS,12/13,10.3,6.4,1.6,0.707,8.2,0,118,100,18.7,2.2,18.2,2.1,False
