Rk;Player;PTS/G;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
153;Rodney Hood;11;2019-20;27;POR;21;21;0;619;87;172;52;101;35;71;21;27;10;62;72;32;17;4;19;46;230;0.506;0.515;0.493;0.778;0.625;0.608;G-F;hoodro01
154;Dejounte Murray;10.9;2019-20;23;SAS;66;58;0;1687;294;637;253;526;41;111;91;114;69;314;383;271;111;17;125;143;720;0.462;0.481;0.369;0.798;0.524;0.494;G;murrade01
155;Ish Smith;10.9;2019-20;31;WAS;68;23;0;1787;308;689;246;520;62;169;62;86;30;189;219;334;59;30;95;106;740;0.447;0.473;0.367;0.721;0.509;0.492;G;smithis01
156;Cameron Payne;10.9;2019-20;25;PHO;8;0;0;183;33;68;18;39;15;29;6;7;4;27;31;24;8;2;11;20;87;0.485;0.462;0.517;0.857;0.612;0.596;G;payneca01
157;Jeff Teague;10.9;2019-20;31;ATLMIN;59;17;0;1464;213;489;170;372;43;117;172;197;27;115;142;308;44;19;116;106;641;0.436;0.457;0.368;0.873;0.557;0.48;G;teaguje01
158;Steven Adams;10.9;2019-20;26;OKC;63;63;0;1680;283;478;282;475;1;3;117;201;207;376;583;146;51;67;94;122;684;0.592;0.594;0.333;0.582;0.604;0.593;C;adamsst01
159;Rudy Gay;10.8;2019-20;33;SAS;67;5;0;1461;266;596;192;376;74;220;120;136;61;301;362;114;35;33;88;103;726;0.446;0.511;0.336;0.882;0.553;0.508;F;gayru01
160;Dario Šarić;10.7;2019-20;25;PHO;66;51;0;1632;256;538;172;303;84;235;108;128;100;306;406;123;37;16;88;156;704;0.476;0.568;0.357;0.844;0.592;0.554;F-C;saricda01
161;OG Anunoby;10.6;2019-20;22;TOR;69;68;0;2066;286;566;197;338;89;228;72;102;80;284;364;108;96;45;79;167;733;0.505;0.583;0.39;0.706;0.6;0.584;F;anunoog01
162;Jae Crowder;10.5;2019-20;29;MEMMIA;65;53;0;1875;226;563;91;169;135;394;97;125;52;332;384;161;72;24;69;143;684;0.401;0.538;0.343;0.776;0.553;0.521;F;crowdja01
163;Cam Reddish;10.5;2019-20;20;ATL;58;34;0;1551;213;554;130;304;83;250;101;126;35;181;216;87;62;28;96;132;610;0.384;0.428;0.332;0.802;0.5;0.459;F;reddica01
164;D.J. Augustin;10.5;2019-20;32;ORL;57;13;0;1420;184;461;114;260;70;201;161;181;22;100;122;262;34;1;86;72;599;0.399;0.438;0.348;0.89;0.554;0.475;G;augusdj01
165;Danuel House Jr.;10.5;2019-20;26;HOU;63;52;0;1913;230;539;101;184;129;355;73;90;57;210;267;85;67;34;54;132;662;0.427;0.549;0.363;0.811;0.572;0.546;G;houseda01
166;Troy Brown Jr.;10.4;2019-20;20;WAS;69;22;0;1782;273;622;212;443;61;179;109;139;76;307;383;178;85;7;79;132;716;0.439;0.479;0.341;0.784;0.524;0.488;G-F;browntr01
167;Gary Harris;10.4;2019-20;25;DEN;56;55;0;1780;218;519;148;309;70;210;75;92;26;137;163;118;76;14;60;116;581;0.42;0.479;0.333;0.815;0.519;0.487;G;harriga01
