Player,Team,Season,PPG,RPG,APG,Win%,MVP
Blake Griffin,LAC,10/11,22.5,12.1,3.8,0.39,0
Rajon Rondo,BOS,10/11,10.6,4.4,11.2,0.683,0
Tony Parker,SAS,10/11,17.5,3.1,6.6,0.744,0
Chris Paul,NOH,10/11,15.9,4.1,9.8,0.561,0
Player,TM,17/18,PTS,TRB,AST,,0
James Harden,HOU,17/18,30.4,5.4,8.8,0.793,1
LeBron James,CLE,17/18,27.5,8.6,9.1,0.61,0
Anthony Davis,NOP,17/18,28.1,11.1,2.3,0.585,0
Damian Lillard,POR,17/18,26.9,4.5,6.6,0.598,0
Russell Westbrook,OKC,17/18,25.4,10.1,10.3,0.585,0
Giannis Antetokounmpo,MIL,17/18,26.9,10,4.8,0.537,0
Kevin Durant,GSW,17/18,26.4,6.8,5.4,0.707,0
DeMar DeRozan,TOR,17/18,23,3.9,5.2,0.72,0
LaMarcus Aldridge,SAS,17/18,23.1,8.5,2,0.573,0
Jimmy Butler,MIN,17/18,22.2,5.3,4.9,0.573,0
Stephen Curry,GSW,17/18,26.4,5.1,6.1,0.707,0
Joel Embiid,PHI,17/18,22.9,11,3.2,0.634,0
Victor Oladipo,IND,17/18,23.1,5.2,4.3,0.585,0
Player,TM,12/13,PTS,TRB,AST,,0
LeBron James,MIA,12/13,26.8,8,7.3,0.805,1
Kevin Durant,OKC,12/13,28.1,7.9,4.6,0.732,0
Carmelo Anthony,NYK,12/13,28.7,6.9,2.6,0.659,0
Chris Paul,LAC,12/13,16.9,3.7,9.7,0.683,0
Kobe Bryant,LAL,12/13,27.3,5.6,6,0.549,0
Tony Parker,SAS,12/13,20.3,3,7.6,0.707,0
Tim Duncan,SAS,12/13,17.8,9.9,2.7,0.707,0
James Harden,HOU,12/13,25.9,4.9,5.8,0.549,0
Russell Westbrook,OKC,12/13,23.2,5.2,7.4,0.732,0
Dwyane Wade,MIA,12/13,21.2,5,5.1,0.805,0
Stephen Curry,GSW,12/13,22.9,4,6.9,0.573,0
Kevin Garnett,BOS,12/13,14.8,7.8,2.3,0.506,0
Marc Gasol,MEM,12/13,14.1,7.8,4,0.683,0
Ty Lawson,DEN,12/13,16.7,2.7,6.9,0.695,0
David Lee,GSW,12/13,18.5,11.2,3.5,0.573,0
Joakim Noah,CHI,12/13,11.9,11.1,4,0.549,0
Player,TM,04/05,PTS,TRB,AST,,0
Steve Nash,PHO,04/05,15.5,3.3,11.5,0.756,1
Shaquille O'Neal,MIA,04/05,22.9,10.4,2.7,0.72,0
Dirk Nowitzki,DAL,04/05,26.1,9.7,3.1,0.707,0
Tim Duncan,SAS,04/05,20.3,11.1,2.7,0.72,0
Allen Iverson,PHI,04/05,30.7,4,7.9,0.524,0
LeBron James,CLE,04/05,27.2,7.4,7.2,0.512,0
Tracy McGrady,HOU,04/05,25.7,6.2,5.7,0.622,0
Dwyane Wade,MIA,04/05,24.1,5.2,6.8,0.72,0
Amar'e Stoudemire,PHO,04/05,26,8.9,1.6,0.756,0
Ray Allen,OKC,04/05,23.9,4.4,3.7,0.634,0
Kevin Garnett,MIN,04/05,22.2,13.5,5.7,0.537,0
Gilbert Arenas,WAS,04/05,25.5,4.7,5.1,0.549,0
Vince Carter,TOT,04/05,24.5,5.2,4.2,,0
P.J. Brown,NOH,04/05,10.8,9,2.2,0.22,0
Marcus Camby,DEN,04/05,10.3,10,2.3,0.598,0
Shawn Marion,PHO,04/05,19.4,11.3,1.9,0.756,0
Player,TM,19/20,PTS,TRB,AST,,0
Giannis Antetokounmpo,MIL,19/20,29.5,13.6,5.6,0.767,1
LeBron James,LAL,19/20,25.3,7.8,10.2,0.732,0
James Harden,HOU,19/20,34.3,6.6,7.5,0.611,0
Luka Dončić,DAL,19/20,28.8,9.4,8.8,0.573,0
Kawhi Leonard,LAC,19/20,27.1,7.1,4.9,0.681,0
Anthony Davis,LAL,19/20,26.1,9.3,3.2,0.732,0
Chris Paul,OKC,19/20,17.6,5,6.7,0.611,0
Damian Lillard,POR,19/20,30,4.3,8,0.473,0
Nikola Jokić,DEN,19/20,19.9,9.7,7,0.63,0
Pascal Siakam,TOR,19/20,22.9,7.3,3.5,0.736,0
Jimmy Butler,MIA,19/20,19.9,6.7,6,0.603,0
Jayson Tatum,BOS,19/20,23.4,7,3,0.667,0
Player,TM,08/09,PTS,TRB,AST,,0
LeBron James,CLE,08/09,28.4,7.6,7.2,0.805,1
Kobe Bryant,LAL,08/09,26.8,5.2,4.9,0.793,0
Dwyane Wade,MIA,08/09,30.2,5,7.5,0.524,0
Dwight Howard,ORL,08/09,20.6,13.8,1.4,0.72,0
Chris Paul,NOH,08/09,22.8,5.5,11,0.598,0
Chauncey Billups,TOT,08/09,17.7,3,6.4,,0
Paul Pierce,BOS,08/09,20.5,5.6,3.6,0.756,0
Tony Parker,SAS,08/09,22,3.1,6.9,0.659,0
Brandon Roy,POR,08/09,22.6,4.7,5.1,0.659,0
Dirk Nowitzki,DAL,08/09,25.9,8.4,2.4,0.61,0
Tim Duncan,SAS,08/09,19.3,10.7,3.5,0.659,0
Yao Ming,HOU,08/09,19.7,9.9,1.8,0.646,0
Bradley Beal,WAS,19/20,30.5,4.2,6.1,0.347,0
Trae Young,ATL,19/20,29.6,4.2,9.3,0.299,0
Kyrie Irving,BRK,19/20,27.4,5.2,6.4,0.486,0
Russell Westbrook,HOU,19/20,27.2,7.9,7.0,0.611,0
Devin Booker,PHO,19/20,26.6,4.2,6.5,0.466,0
Karl-Anthony Towns,MIN,19/20,26.5,10.8,4.4,0.297,0
Zach LaVine,CHI,19/20,25.5,4.8,4.2,0.338,0
Donovan Mitchell,UTA,19/20,24.0,4.4,4.3,0.611,0
Brandon Ingram,NOP,19/20,23.8,6.1,4.2,0.417,0
Joel Embiid,PHI,19/20,23.0,11.6,3.0,0.589,0
Zion Williamson,NOP,19/20,22.5,6.2,2.1,0.417,0
CJ McCollum,POR,19/20,22.2,4.2,4.4,0.473,0
DeMar DeRozan,SAS,19/20,22.1,5.5,5.6,0.451,0
John Collins,ATL,19/20,21.6,10.1,1.5,0.299,0
Paul George,LAC,19/20,21.5,5.7,3.9,0.681,0
De'Aaron Fox,SAC,19/20,21.1,3.8,6.8,0.431,0
Khris Middleton,MIL,19/20,20.9,6.2,4.3,0.767,0
Stephen Curry,GSW,19/20,20.8,5.2,6.6,0.231,0
Collin Sexton,CLE,19/20,20.8,3.1,3.0,0.292,0
Spencer Dinwiddie,BRK,19/20,20.6,3.5,6.8,0.486,0
Kemba Walker,BOS,19/20,20.4,3.9,4.8,0.667,0
Kristaps Porziņģis,DAL,19/20,20.4,9.5,1.8,0.573,0
Jaylen Brown,BOS,19/20,20.3,6.4,2.1,0.667,0
Bojan Bogdanović,UTA,19/20,20.2,4.1,2.1,0.611,0
T.J. Warren,IND,19/20,19.8,4.2,1.5,0.616,0
Tobias Harris,PHI,19/20,19.6,6.9,3.2,0.589,0
Nikola Vučević,ORL,19/20,19.6,10.9,3.6,0.452,0
Julius Randle,NYK,19/20,19.5,9.7,3.1,0.318,0
Kyle Lowry,TOR,19/20,19.4,5.0,7.5,0.736,0
Buddy Hield,SAC,19/20,19.2,4.6,3.0,0.431,0
Jrue Holiday,NOP,19/20,19.1,4.8,6.7,0.417,0
Shai Gilgeous-Alexander,OKC,19/20,19.0,5.9,3.3,0.611,0
Dennis Schröder,OKC,19/20,18.9,3.6,4.0,0.611,0
LaMarcus Aldridge,SAS,19/20,18.9,7.4,2.4,0.451,0
Caris LeVert,BRK,19/20,18.7,4.2,4.4,0.486,0
Danilo Gallinari,OKC,19/20,18.7,5.2,1.9,0.611,0
Kelly Oubre Jr.,PHO,19/20,18.7,6.4,1.5,0.466,0
Montrezl Harrell,LAC,19/20,18.6,7.1,1.7,0.681,0
Evan Fournier,ORL,19/20,18.5,2.6,3.2,0.452,0
Domantas Sabonis,IND,19/20,18.5,12.4,5.0,0.616,0
Jamal Murray,DEN,19/20,18.5,4.0,4.8,0.63,0
Lou Williams,LAC,19/20,18.2,3.1,5.6,0.681,0
Devonte' Graham,CHO,19/20,18.2,3.4,7.5,0.354,0
Deandre Ayton,PHO,19/20,18.2,11.5,1.9,0.466,0
Derrick Rose,DET,19/20,18.1,2.4,5.6,0.303,0
Terry Rozier,CHO,19/20,18.0,4.4,4.1,0.354,0
Ja Morant,MEM,19/20,17.8,3.9,7.3,0.466,0
Fred VanVleet,TOR,19/20,17.6,3.8,6.6,0.736,0
Kevin Love,CLE,19/20,17.6,9.8,3.2,0.292,0
Jusuf Nurkić,POR,19/20,17.6,10.2,4.0,0.473,0
Gordon Hayward,BOS,19/20,17.5,6.7,4.1,0.667,0
Jaren Jackson Jr.,MEM,19/20,17.4,4.6,1.4,0.466,0
Malcolm Brogdon,IND,19/20,16.5,4.9,7.1,0.616,0
Ben Simmons,PHI,19/20,16.4,7.8,8.0,0.589,0
Dillon Brooks,MEM,19/20,16.2,3.3,2.1,0.466,0
Goran Dragić,MIA,19/20,16.2,3.2,5.1,0.603,0
Norman Powell,TOR,19/20,16.0,3.7,1.8,0.736,0
Bam Adebayo,MIA,19/20,15.9,10.2,5.1,0.603,0
Tim Hardaway Jr.,DAL,19/20,15.8,3.3,1.9,0.573,0
Luke Kennard,DET,19/20,15.8,3.5,4.1,0.303,0
Hassan Whiteside,POR,19/20,15.5,13.5,1.2,0.473,0
Blake Griffin,DET,19/20,15.5,4.7,3.3,0.303,0
Dāvis Bertāns,WAS,19/20,15.4,4.5,1.7,0.347,0
Carmelo Anthony,POR,19/20,15.4,6.3,1.5,0.473,0
Serge Ibaka,TOR,19/20,15.4,8.2,1.4,0.736,0
Kendrick Nunn,MIA,19/20,15.3,2.7,3.3,0.603,0
JJ Redick,NOP,19/20,15.3,2.5,2.0,0.417,0
Bogdan Bogdanović,SAC,19/20,15.1,3.4,3.4,0.431,0
Rudy Gobert,UTA,19/20,15.1,13.5,1.5,0.611,0
Will Barton,DEN,19/20,15.1,6.3,3.7,0.63,0
Eric Bledsoe,MIL,19/20,14.9,4.6,5.4,0.767,0
Jonas Valančiūnas,MEM,19/20,14.9,11.3,1.9,0.466,0
Lauri Markkanen,CHI,19/20,14.7,6.3,1.5,0.338,0
Terrence Ross,ORL,19/20,14.7,3.2,1.2,0.452,0
Harrison Barnes,SAC,19/20,14.5,4.9,2.2,0.431,0
Victor Oladipo,IND,19/20,14.5,3.9,2.9,0.616,0
Joe Harris,BRK,19/20,14.5,4.3,2.1,0.486,0
Eric Gordon,HOU,19/20,14.4,2.0,1.5,0.611,0
Aaron Gordon,ORL,19/20,14.4,7.7,3.7,0.452,0
Mike Conley,UTA,19/20,14.4,3.2,4.4,0.611,0
RJ Barrett,NYK,19/20,14.3,5.0,2.6,0.318,0
Marvin Bagley III,SAC,19/20,14.2,7.5,0.8,0.431,0
Eric Paschall,GSW,19/20,14.0,4.6,2.1,0.231,0
Clint Capela,HOU,19/20,13.9,13.8,1.2,0.611,0
Josh Richardson,PHI,19/20,13.7,3.2,2.9,0.589,0
Rui Hachimura,WAS,19/20,13.5,6.1,1.8,0.347,0
Tyler Herro,MIA,19/20,13.5,4.1,2.2,0.603,0
Duncan Robinson,MIA,19/20,13.5,3.2,1.4,0.603,0
Thomas Bryant,WAS,19/20,13.2,7.2,1.8,0.347,0
Coby White,CHI,19/20,13.2,3.5,2.7,0.338,0
Christian Wood,DET,19/20,13.1,6.3,1.0,0.303,0
Ricky Rubio,PHO,19/20,13.0,4.7,8.8,0.466,0
Miles Bridges,CHO,19/20,13.0,5.6,1.8,0.354,0
Marcus Smart,BOS,19/20,12.9,3.8,4.8,0.667,0
Kyle Kuzma,LAL,19/20,12.8,4.5,1.3,0.732,0
Damion Lee,GSW,19/20,12.7,4.9,2.7,0.231,0
Jeremy Lamb,IND,19/20,12.5,4.3,2.1,0.616,0
Seth Curry,DAL,19/20,12.4,2.3,1.9,0.573,0
De'Andre Hunter,ATL,19/20,12.3,4.5,1.8,0.299,0
Darius Garland,CLE,19/20,12.3,1.9,3.9,0.292,0
Richaun Holmes,SAC,19/20,12.3,8.1,1.0,0.431,0
P.J. Washington,CHO,19/20,12.2,5.4,2.1,0.354,0
Kevin Huerter,ATL,19/20,12.2,4.1,3.8,0.299,0
Isaiah Thomas,WAS,19/20,12.2,1.7,3.6,0.347,0
Markelle Fultz,ORL,19/20,12.1,3.3,5.1,0.452,0
Myles Turner,IND,19/20,12.1,6.6,1.2,0.616,0
Taurean Prince,BRK,19/20,12.1,6.0,1.8,0.486,0
Brandon Clarke,MEM,19/20,12.1,5.9,1.4,0.466,0
Tristan Thompson,CLE,19/20,12.0,10.1,2.1,0.292,0
Jerami Grant,DEN,19/20,12.0,3.5,1.2,0.63,0
Brook Lopez,MIL,19/20,12.0,4.6,1.5,0.767,0
Otto Porter Jr.,CHI,19/20,11.9,3.4,1.8,0.338,0
Al Horford,PHI,19/20,11.9,6.8,4.0,0.589,0
Jonathan Isaac,ORL,19/20,11.9,6.8,1.4,0.452,0
Lonzo Ball,NOP,19/20,11.8,6.1,7.0,0.417,0
Patty Mills,SAS,19/20,11.6,1.6,1.8,0.451,0
Paul Millsap,DEN,19/20,11.6,5.7,1.6,0.63,0
Nemanja Bjelica,SAC,19/20,11.5,6.4,2.8,0.431,0
Aron Baynes,PHO,19/20,11.5,5.6,1.6,0.466,0
Justise Winslow,MIA,19/20,11.3,6.6,4.0,0.603,0
Wendell Carter Jr.,CHI,19/20,11.3,9.4,1.2,0.338,0
