Player,Team,Season,PPG,RPG,APG,Win%,MVP
Hedo Türkoğlu,ORL,08/09,16.8,5.3,4.9,0.72,0
Derrick Rose,CHI,08/09,16.8,3.9,6.3,0.5,0
Jameer Nelson,ORL,08/09,16.7,3.5,5.4,0.72,0
Gerald Wallace,CHO,08/09,16.6,7.8,2.7,0.427,0
Jeff Green,OKC,08/09,16.5,6.7,2.0,0.28,0
Andre Miller,PHI,08/09,16.3,4.5,6.5,0.5,0
Randy Foye,MIN,08/09,16.3,3.1,4.3,0.293,0
Charlie Villanueva,MIL,08/09,16.2,6.7,1.8,0.415,0
Carlos Boozer,UTA,08/09,16.2,10.4,2.1,0.585,0
Eric Gordon,LAC,08/09,16.1,2.6,2.8,0.232,0
David Lee,NYK,08/09,16.0,11.7,2.1,0.39,0
Kevin Garnett,BOS,08/09,15.8,8.5,2.5,0.756,0
Steve Nash,PHO,08/09,15.7,3.0,9.7,0.561,0
Tracy McGrady,HOU,08/09,15.6,4.4,5.0,0.646,0
Josh Smith,ATL,08/09,15.6,7.2,2.4,0.573,0
Manu Ginóbili,SAS,08/09,15.5,4.5,3.6,0.659,0
Andrea Bargnani,TOR,08/09,15.4,5.3,1.2,0.402,0
Russell Westbrook,OKC,08/09,15.3,4.9,5.3,0.28,0
Thaddeus Young,PHI,08/09,15.3,5.0,1.1,0.5,0
J.R. Smith,DEN,08/09,15.2,3.7,2.8,0.659,0
Mike Dunleavy,IND,08/09,15.1,3.8,2.4,0.439,0
T.J. Ford,IND,08/09,14.9,3.5,5.3,0.439,0
Baron Davis,LAC,08/09,14.9,3.7,7.7,0.232,0
Mike Bibby,ATL,08/09,14.9,3.5,5.0,0.573,0
Nenê,DEN,08/09,14.6,7.8,1.4,0.659,0
Wilson Chandler,NYK,08/09,14.4,5.4,2.1,0.39,0
Kelenna Azubuike,GSW,08/09,14.4,5.0,1.6,0.354,0
Andrew Bynum,LAL,08/09,14.3,8.0,1.4,0.793,0
Troy Murphy,IND,08/09,14.3,11.8,2.4,0.439,0
Leandro Barbosa,PHO,08/09,14.2,2.6,2.3,0.561,0
Tayshaun Prince,DET,08/09,14.2,5.8,3.1,0.476,0
Raymond Felton,CHO,08/09,14.2,3.8,6.7,0.427,0
Luol Deng,CHI,08/09,14.1,6.0,1.9,0.5,0
Michael Beasley,MIA,08/09,13.9,5.4,1.0,0.524,0
Marvin Williams,ATL,08/09,13.9,6.3,1.3,0.573,0
Elton Brand,PHI,08/09,13.8,8.8,1.3,0.5,0
Cuttino Mobley,LAC,08/09,13.7,2.6,1.1,0.232,0
Ronnie Brewer,UTA,08/09,13.7,3.7,2.2,0.585,0
Marquis Daniels,IND,08/09,13.6,4.6,2.1,0.439,0
Paul Millsap,UTA,08/09,13.5,8.6,1.8,0.585,0
Rodney Stuckey,DET,08/09,13.4,3.5,4.9,0.476,0
Ryan Gomes,MIN,08/09,13.3,4.8,1.6,0.293,0
Peja Stojaković,NOH,08/09,13.3,4.3,1.2,0.598,0
Emeka Okafor,CHO,08/09,13.2,10.1,0.6,0.427,0
Jarrett Jack,IND,08/09,13.1,3.4,4.1,0.439,0
Brook Lopez,NJN,08/09,13.0,8.1,1.0,0.415,0
Gilbert Arenas,WAS,08/09,13.0,4.5,10.0,0.232,0
Zydrunas Ilgauskas,CLE,08/09,12.9,7.5,1.0,0.805,0
José Calderón,TOR,08/09,12.8,2.9,8.9,0.402,0
Lou Williams,PHI,08/09,12.8,2.0,3.0,0.5,0
Travis Outlaw,POR,08/09,12.8,4.1,1.0,0.659,0
Luis Scola,HOU,08/09,12.7,8.8,1.5,0.646,0
Francisco García,SAC,08/09,12.7,3.4,2.3,0.207,0
Ramon Sessions,MIL,08/09,12.4,3.4,5.7,0.415,0
Ronald Murray,ATL,08/09,12.2,2.1,2.0,0.573,0
Rasheed Wallace,DET,08/09,12.0,7.4,1.4,0.476,0
Chris Kaman,LAC,08/09,12.0,8.0,1.5,0.232,0
Grant Hill,PHO,08/09,12.0,4.9,2.3,0.561,0
Rajon Rondo,BOS,08/09,11.9,5.2,8.2,0.756,0
Marc Gasol,MEM,08/09,11.9,7.4,1.7,0.293,0
Andris Biedriņš,GSW,08/09,11.9,11.2,2.0,0.354,0
Roger Mason,SAS,08/09,11.8,3.1,2.1,0.659,0
D.J. Augustin,CHO,08/09,11.8,1.8,3.5,0.427,0
Delonte West,CLE,08/09,11.7,3.2,3.5,0.805,0
Andrew Bogut,MIL,08/09,11.7,10.2,2.0,0.415,0
Kenyon Martin,DEN,08/09,11.7,6.0,2.0,0.659,0
Hakim Warrick,MEM,08/09,11.6,5.0,0.8,0.293,0
Andrei Kirilenko,UTA,08/09,11.6,4.8,2.6,0.585,0
Al Horford,ATL,08/09,11.5,9.3,2.4,0.573,0
Spencer Hawes,SAC,08/09,11.4,7.1,1.9,0.207,0
Lamar Odom,LAL,08/09,11.3,8.2,2.6,0.793,0
Rasual Butler,NOH,08/09,11.2,3.3,0.9,0.598,0
Aaron Brooks,HOU,08/09,11.2,2.0,3.0,0.646,0
Chris Duhon,NYK,08/09,11.1,3.1,7.2,0.39,0
Kevin Love,MIN,08/09,11.1,9.1,1.0,0.293,0
Jason Thompson,SAC,08/09,11.1,7.4,1.1,0.207,0
Steve Blake,POR,08/09,11.0,2.5,5.0,0.659,0
Beno Udrih,SAC,08/09,11.0,3.0,4.7,0.207,0
Mike Conley,MEM,08/09,10.9,3.4,4.3,0.293,0
Nick Young,WAS,08/09,10.9,1.8,1.2,0.232,0
Tyrus Thomas,CHI,08/09,10.8,6.4,1.0,0.5,0
Anthony Parker,TOR,08/09,10.7,4.0,3.4,0.402,0
Udonis Haslem,MIA,08/09,10.6,8.2,1.1,0.524,0
Rudy Fernández,POR,08/09,10.4,2.7,2.0,0.659,0
Marcus Camby,LAC,08/09,10.3,11.1,2.0,0.232,0
Matt Barnes,PHO,08/09,10.2,5.5,2.8,0.561,0
Quentin Richardson,NYK,08/09,10.2,4.4,1.6,0.39,0
Anthony Morrow,GSW,08/09,10.1,3.0,1.2,0.354,0
Craig Smith,MIN,08/09,10.1,3.8,1.1,0.293,0
Andray Blatche,WAS,08/09,10.0,5.3,1.7,0.232,0
Mario Chalmers,MIA,08/09,10.0,2.8,4.9,0.524,0
Derek Fisher,LAL,08/09,9.9,2.3,3.2,0.793,0
Linas Kleiza,DEN,08/09,9.9,4.0,0.8,0.659,0
Mike Miller,MIN,08/09,9.9,6.6,4.5,0.293,0
Kirk Hinrich,CHI,08/09,9.9,2.4,3.9,0.5,0
Sebastian Telfair,MIN,08/09,9.8,1.7,4.6,0.293,0
Keyon Dooling,NJN,08/09,9.7,2.0,3.5,0.415,0
Von Wafer,HOU,08/09,9.7,1.8,1.1,0.646,0
Michael Finley,SAS,08/09,9.7,3.3,1.4,0.659,0
Nenad Krstić,OKC,08/09,9.7,5.5,0.6,0.28,0
Brendan Haywood,WAS,08/09,9.7,7.3,1.3,0.232,0
Antonio McDyess,DET,08/09,9.6,9.8,1.3,0.476,0
Luke Ridnour,MIL,08/09,9.6,3.0,5.1,0.415,0
C.J. Watson,GSW,08/09,9.5,2.5,2.7,0.354,0
Mickaël Piétrus,ORL,08/09,9.4,3.3,1.2,0.72,0
Carl Landry,HOU,08/09,9.2,5.0,0.6,0.646,0
Daequan Cook,MIA,08/09,9.1,2.5,0.9,0.524,0
C.J. Miles,UTA,08/09,9.1,2.3,1.5,0.585,0
Kyle Korver,UTA,08/09,9.0,3.3,1.8,0.585,0
Jason Kidd,DAL,08/09,9.0,6.2,8.7,0.61,0
James Posey,NOH,08/09,8.9,4.8,1.1,0.598,0
Trevor Ariza,LAL,08/09,8.9,4.3,1.8,0.793,0
Marco Belinelli,GSW,08/09,8.9,1.7,2.1,0.354,0
D.J. White,OKC,08/09,8.9,4.6,0.9,0.28,0
Greg Oden,POR,08/09,8.9,7.0,0.5,0.659,0
Tyson Chandler,NOH,08/09,8.8,8.7,0.5,0.598,0
Jarvis Hayes,NJN,08/09,8.7,3.6,0.7,0.415,0
Yi Jianlian,NJN,08/09,8.6,5.3,1.0,0.415,0
Anderson Varejão,CLE,08/09,8.6,7.2,1.0,0.805,0
Eddie House,BOS,08/09,8.5,1.9,1.1,0.756,0
Kendrick Perkins,BOS,08/09,8.5,8.1,1.3,0.756,0
Brandon Bass,DAL,08/09,8.5,4.5,0.5,0.61,0
Willie Green,PHI,08/09,8.5,1.6,2.0,0.5,0
Courtney Lee,ORL,08/09,8.4,2.3,1.2,0.72,0
Charlie Bell,MIL,08/09,8.4,1.9,2.2,0.415,0
Brandan Wright,GSW,08/09,8.3,4.0,0.5,0.354,0
Matt Bonner,SAS,08/09,8.2,4.8,1.0,0.659,0
Nick Collison,OKC,08/09,8.2,6.9,0.9,0.28,0
Jason Kapono,TOR,08/09,8.2,2.0,1.3,0.402,0
Brandon Rush,IND,08/09,8.1,3.1,0.9,0.439,0
Anthony Randolph,GSW,08/09,7.9,5.8,0.8,0.354,0
Bobby Simmons,NJN,08/09,7.8,3.9,1.3,0.415,0
Daniel Gibson,CLE,08/09,7.8,2.1,1.8,0.805,0
J.J. Barea,DAL,08/09,7.8,2.2,3.4,0.61,0
Monta Ellis,GSW,09/10,25.5,4.0,5.3,0.317,0
Danny Granger,IND,09/10,24.1,5.5,2.8,0.39,0
Gilbert Arenas,WAS,09/10,22.6,4.2,7.2,0.317,0
Brandon Roy,POR,09/10,21.5,4.4,4.7,0.61,0
Derrick Rose,CHI,09/10,20.8,3.8,6.0,0.5,0
Zach Randolph,MEM,09/10,20.8,11.7,1.8,0.488,0
David Lee,NYK,09/10,20.2,11.7,3.6,0.354,0
Tyreke Evans,SAC,09/10,20.1,5.3,5.8,0.305,0
Corey Maggette,GSW,09/10,19.8,5.3,2.5,0.317,0
Rudy Gay,MEM,09/10,19.6,5.9,1.9,0.488,0
Aaron Brooks,HOU,09/10,19.6,2.6,5.3,0.512,0
Carlos Boozer,UTA,09/10,19.5,11.2,3.2,0.646,0
David West,NOH,09/10,19.0,7.5,3.0,0.451,0
Brook Lopez,NJN,09/10,18.8,8.6,2.3,0.146,0
Chris Paul,NOH,09/10,18.7,4.2,10.7,0.451,0
Chris Kaman,LAC,09/10,18.5,9.3,1.6,0.354,0
Pau Gasol,LAL,09/10,18.3,11.3,3.4,0.695,0
Paul Pierce,BOS,09/10,18.3,4.4,3.1,0.61,0
Gerald Wallace,CHO,09/10,18.2,10.0,2.1,0.537,0
Richard Hamilton,DET,09/10,18.1,2.7,4.4,0.329,0
Jamal Crawford,ATL,09/10,18.0,2.5,3.0,0.646,0
Tim Duncan,SAS,09/10,17.9,10.1,3.2,0.61,0
LaMarcus Aldridge,POR,09/10,17.9,8.0,2.1,0.61,0
Al Harrington,NYK,09/10,17.7,5.6,1.5,0.354,0
Luol Deng,CHI,09/10,17.6,7.3,2.0,0.5,0
Stephen Curry,GSW,09/10,17.5,4.4,5.9,0.317,0
O.J. Mayo,MEM,09/10,17.5,3.8,3.0,0.488,0
Andrea Bargnani,TOR,09/10,17.2,6.2,1.2,0.488,0
Al Jefferson,MIN,09/10,17.1,9.2,1.8,0.183,0
Andre Iguodala,PHI,09/10,17.1,6.5,5.8,0.329,0
Devin Harris,NJN,09/10,16.9,3.2,6.6,0.146,0
Eric Gordon,LAC,09/10,16.9,2.6,3.0,0.354,0
Rodney Stuckey,DET,09/10,16.6,3.8,4.8,0.329,0
Jason Terry,DAL,09/10,16.6,1.8,3.8,0.671,0
Vince Carter,ORL,09/10,16.6,3.9,3.1,0.72,0
Ray Allen,BOS,09/10,16.3,3.2,2.6,0.61,0
Luis Scola,HOU,09/10,16.2,8.6,2.1,0.512,0
Russell Westbrook,OKC,09/10,16.1,4.9,8.0,0.61,0
Tony Parker,SAS,09/10,16.0,2.4,5.7,0.61,0
Andrew Bogut,MIL,09/10,15.9,10.2,1.8,0.561,0
Mo Williams,CLE,09/10,15.8,3.0,5.3,0.744,0
Jason Richardson,PHO,09/10,15.7,5.1,1.8,0.659,0
Josh Smith,ATL,09/10,15.7,8.7,4.2,0.646,0
Brandon Jennings,MIL,09/10,15.5,3.4,5.7,0.561,0
J.R. Smith,DEN,09/10,15.4,3.1,2.4,0.646,0
Wilson Chandler,NYK,09/10,15.3,5.4,2.1,0.354,0
Baron Davis,LAC,09/10,15.3,3.5,8.0,0.354,0
Reggie Williams,GSW,09/10,15.2,4.6,2.8,0.317,0
Jeff Green,OKC,09/10,15.1,6.0,1.6,0.61,0
Danilo Gallinari,NYK,09/10,15.1,4.9,1.7,0.354,0
Andrew Bynum,LAL,09/10,15.0,8.3,1.0,0.695,0
Trevor Ariza,HOU,09/10,14.9,5.6,3.8,0.512,0
Michael Beasley,MIA,09/10,14.8,6.4,1.3,0.573,0
Marc Gasol,MEM,09/10,14.6,9.3,2.4,0.488,0
Troy Murphy,IND,09/10,14.6,10.2,2.1,0.39,0
Marcus Thornton,NOH,09/10,14.5,2.9,1.6,0.451,0
Kevin Garnett,BOS,09/10,14.3,7.3,2.7,0.61,0
Al Horford,ATL,09/10,14.2,9.9,2.3,0.646,0
Andray Blatche,WAS,09/10,14.1,6.3,2.1,0.317,0
Rashard Lewis,ORL,09/10,14.1,4.4,1.5,0.72,0
Kevin Love,MIN,09/10,14.0,11.0,2.3,0.183,0
Lou Williams,PHI,09/10,14.0,2.9,4.2,0.329,0
Andre Miller,POR,09/10,14.0,3.2,5.4,0.61,0
Kelenna Azubuike,GSW,09/10,13.9,4.6,1.1,0.317,0
Nenê,DEN,09/10,13.8,7.6,2.5,0.646,0
Thaddeus Young,PHI,09/10,13.8,5.2,1.4,0.329,0
Ben Gordon,DET,09/10,13.8,1.9,2.7,0.329,0
Rajon Rondo,BOS,09/10,13.7,4.4,9.8,0.61,0
Jermaine O'Neal,MIA,09/10,13.6,6.9,1.3,0.573,0
Mehmet Okur,UTA,09/10,13.5,7.1,1.6,0.646,0
Jonny Flynn,MIN,09/10,13.5,2.4,4.4,0.183,0
Tayshaun Prince,DET,09/10,13.5,5.1,3.3,0.329,0
Elton Brand,PHI,09/10,13.1,6.1,1.4,0.329,0
Anthony Morrow,GSW,09/10,13.0,3.8,1.5,0.317,0
Corey Brewer,MIN,09/10,13.0,3.4,2.4,0.183,0
Beno Udrih,SAC,09/10,12.9,2.8,4.7,0.305,0
Peja Stojaković,NOH,09/10,12.6,3.7,1.5,0.451,0
Jameer Nelson,ORL,09/10,12.6,3.0,5.4,0.72,0
Jason Thompson,SAC,09/10,12.5,8.5,1.7,0.305,0
Courtney Lee,NJN,09/10,12.5,3.5,1.7,0.146,0
Darren Collison,NOH,09/10,12.4,2.5,5.7,0.451,0
George Hill,SAS,09/10,12.4,2.6,2.9,0.61,0
Richard Jefferson,SAS,09/10,12.3,4.4,2.0,0.61,0
Raymond Felton,CHO,09/10,12.1,3.6,5.6,0.537,0
Shaquille O'Neal,CLE,09/10,12.0,6.7,1.5,0.744,0
Mike Conley,MEM,09/10,12.0,2.4,5.3,0.488,0
Yi Jianlian,NJN,09/10,12.0,7.2,0.9,0.146,0
Shawn Marion,DAL,09/10,12.0,6.4,1.4,0.671,0
Michael Redd,MIL,09/10,11.9,3.0,2.2,0.561,0
Rasual Butler,LAC,09/10,11.9,2.9,1.4,0.354,0
Charlie Villanueva,DET,09/10,11.9,4.7,0.7,0.329,0
Andrei Kirilenko,UTA,09/10,11.9,4.6,2.7,0.646,0
Earl Barron,NYK,09/10,11.7,11.0,1.1,0.354,0
Roy Hibbert,IND,09/10,11.7,5.7,2.0,0.39,0
Anthony Randolph,GSW,09/10,11.6,6.5,1.3,0.317,0
Paul Millsap,UTA,09/10,11.6,6.8,1.6,0.646,0
Kenyon Martin,DEN,09/10,11.5,9.4,1.9,0.646,0
Jarrett Jack,TOR,09/10,11.4,2.7,5.0,0.488,0
Hedo Türkoğlu,TOR,09/10,11.3,4.6,4.1,0.488,0
Boris Diaw,CHO,09/10,11.3,5.2,4.0,0.537,0
Grant Hill,PHO,09/10,11.3,5.5,2.4,0.659,0
Channing Frye,PHO,09/10,11.2,5.3,1.4,0.659,0
Greg Oden,POR,09/10,11.1,8.5,0.9,0.61,0
Carlos Delfino,MIL,09/10,11.0,5.3,2.7,0.561,0
Metta World Peace,LAL,09/10,11.0,4.3,3.0,0.695,0
Ryan Gomes,MIN,09/10,10.9,4.6,1.6,0.183,0
Kirk Hinrich,CHI,09/10,10.9,3.5,4.5,0.5,0
Mike Miller,WAS,09/10,10.9,6.2,3.9,0.317,0
Lamar Odom,LAL,09/10,10.8,9.8,3.3,0.695,0
Joakim Noah,CHI,09/10,10.7,11.0,2.1,0.5,0
Luke Ridnour,MIL,09/10,10.4,1.7,4.0,0.561,0
Ersan İlyasova,MIL,09/10,10.4,6.4,1.0,0.561,0
Emeka Okafor,NOH,09/10,10.4,9.0,0.7,0.451,0
Jason Kidd,DAL,09/10,10.3,5.6,9.0,0.671,0
T.J. Ford,IND,09/10,10.3,3.2,3.8,0.39,0
Omri Casspi,SAC,09/10,10.3,4.5,1.2,0.305,0
José Calderón,TOR,09/10,10.3,2.1,5.9,0.488,0
C.J. Watson,GSW,09/10,10.3,2.6,2.8,0.317,0
Dahntay Jones,IND,09/10,10.2,3.0,2.0,0.39,0
Kendrick Perkins,BOS,09/10,10.1,7.6,1.0,0.61,0
Nicolas Batum,POR,09/10,10.1,3.8,1.2,0.61,0
Marvin Williams,ATL,09/10,10.1,5.1,1.1,0.646,0
Randy Foye,WAS,09/10,10.1,1.9,3.3,0.317,0
Spencer Hawes,SAC,09/10,10.0,6.1,2.2,0.305,0
Will Bynum,DET,09/10,10.0,2.3,4.5,0.329,0
Mike Dunleavy,IND,09/10,9.9,3.5,1.5,0.39,0
James Harden,OKC,09/10,9.9,3.2,1.8,0.61,0
Udonis Haslem,MIA,09/10,9.9,8.1,0.7,0.573,0
C.J. Miles,UTA,09/10,9.9,2.7,1.7,0.646,0
Chris Douglas-Roberts,NJN,09/10,9.8,3.0,1.4,0.146,0
JJ Redick,ORL,09/10,9.6,1.9,1.9,0.72,0
Leandro Barbosa,PHO,09/10,9.5,1.6,1.5,0.659,0
Brandon Rush,IND,09/10,9.4,4.2,1.4,0.39,0
Wesley Matthews,UTA,09/10,9.4,2.3,1.5,0.646,0
Martell Webster,POR,09/10,9.4,3.3,0.8,0.61,0
Jonas Jerebko,DET,09/10,9.3,6.0,0.7,0.329,0
Mike Bibby,ATL,09/10,9.1,2.3,3.9,0.646,0
Kyle Lowry,HOU,09/10,9.1,3.6,4.5,0.512,0
Rasheed Wallace,BOS,09/10,9.0,4.1,1.0,0.61,0
Taj Gibson,CHI,09/10,9.0,7.5,0.9,0.5,0
Quentin Richardson,MIA,09/10,8.9,4.9,1.2,0.573,0
Chase Budinger,HOU,09/10,8.9,3.0,1.2,0.512,0
Matt Barnes,ORL,09/10,8.8,5.5,1.7,0.72,0
Arron Afflalo,DEN,09/10,8.8,3.1,1.7,0.646,0
Delonte West,CLE,09/10,8.8,2.8,3.3,0.744,0
Brad Miller,CHI,09/10,8.8,4.9,1.9,0.5,0
Willie Green,PHI,09/10,8.7,1.8,2.1,0.329,0
Mickaël Piétrus,ORL,09/10,8.7,2.9,0.7,0.72,0
Nick Young,WAS,09/10,8.6,1.4,0.6,0.317,0
DeMar DeRozan,TOR,09/10,8.6,2.9,0.7,0.488,0
Toney Douglas,NYK,09/10,8.6,1.9,2.0,0.354,0
Marreese Speights,PHI,09/10,8.6,4.1,0.6,0.329,0
Anderson Varejão,CLE,09/10,8.6,7.6,1.1,0.744,0
Jerry Stackhouse,MIL,09/10,8.5,2.4,1.7,0.561,0
Jerryd Bayless,POR,09/10,8.5,1.6,2.3,0.61,0
Donté Greene,SAC,09/10,8.5,3.1,0.9,0.305,0
J.J. Hickson,CLE,09/10,8.5,4.9,0.5,0.744,0
Tyler Hansbrough,IND,09/10,8.5,4.8,1.0,0.39,0
Andrés Nocioni,SAC,09/10,8.5,3.0,1.0,0.305,0
Robin Lopez,PHO,09/10,8.4,4.9,0.1,0.659,0
Terrence Williams,NJN,09/10,8.4,4.5,2.9,0.146,0
Nenad Krstić,OKC,09/10,8.4,5.0,0.7,0.61,0
Ty Lawson,DEN,09/10,8.3,1.9,3.1,0.646,0
Jared Dudley,PHO,09/10,8.2,3.4,1.4,0.659,0
Ramon Sessions,MIN,09/10,8.2,2.6,3.1,0.183,0
DeMarcus Cousins,NOP,17/18,25.2,12.9,5.4,0.585,0
Devin Booker,PHO,17/18,24.9,4.5,4.7,0.256,0
Kyrie Irving,BOS,17/18,24.4,3.8,5.1,0.671,0
Kristaps Porziņģis,NYK,17/18,22.7,6.6,1.2,0.354,0
Bradley Beal,WAS,17/18,22.6,4.4,4.5,0.524,0
Lou Williams,LAC,17/18,22.6,2.5,5.3,0.512,0
Kemba Walker,CHO,17/18,22.1,3.1,5.6,0.439,0
Paul George,OKC,17/18,21.9,5.7,3.3,0.585,0
CJ McCollum,POR,17/18,21.4,4.0,3.4,0.598,0
Karl-Anthony Towns,MIN,17/18,21.3,12.3,2.4,0.573,0
Donovan Mitchell,UTA,17/18,20.5,3.7,3.7,0.585,0
Khris Middleton,MIL,17/18,20.1,5.2,4.0,0.537,0
MarShon Brooks,MEM,17/18,20.1,3.0,3.6,0.268,0
Klay Thompson,GSW,17/18,20.0,3.8,2.5,0.707,0
T.J. Warren,PHO,17/18,19.6,5.1,1.3,0.256,0
John Wall,WAS,17/18,19.4,3.7,9.6,0.524,0
Tyreke Evans,MEM,17/18,19.4,5.1,5.2,0.268,0
Dennis Schröder,ATL,17/18,19.4,3.1,6.2,0.293,0
Jrue Holiday,NOP,17/18,19.0,4.5,6.0,0.585,0
Harrison Barnes,DAL,17/18,18.9,6.1,2.0,0.293,0
Chris Paul,HOU,17/18,18.6,5.4,7.9,0.793,0
Nikola Jokić,DEN,17/18,18.5,10.7,6.1,0.561,0
Eric Gordon,HOU,17/18,18.0,2.5,2.2,0.793,0
Jeremy Lin,BRK,17/18,18.0,0.0,4.0,0.341,0
Evan Fournier,ORL,17/18,17.8,3.2,2.9,0.305,0
Andrew Wiggins,MIN,17/18,17.7,4.4,2.0,0.573,0
Aaron Gordon,ORL,17/18,17.6,7.9,2.3,0.305,0
Kevin Love,CLE,17/18,17.6,9.3,1.7,0.61,0
Tim Hardaway Jr.,NYK,17/18,17.5,3.9,2.7,0.354,0
Gary Harris,DEN,17/18,17.5,2.6,2.9,0.561,0
Goran Dragić,MIA,17/18,17.3,4.1,4.8,0.537,0
Marc Gasol,MEM,17/18,17.2,8.1,4.2,0.268,0
JJ Redick,PHI,17/18,17.1,2.5,3.0,0.634,0
Mike Conley,MEM,17/18,17.1,2.2,4.1,0.268,0
Zach LaVine,CHI,17/18,16.7,3.9,3.0,0.329,0
Jamal Murray,DEN,17/18,16.7,3.7,3.4,0.561,0
Dwight Howard,CHO,17/18,16.6,12.5,1.3,0.439,0
Nikola Vučević,ORL,17/18,16.5,9.2,3.4,0.305,0
Kyle Lowry,TOR,17/18,16.2,5.6,6.9,0.72,0
Kawhi Leonard,SAS,17/18,16.2,4.7,2.3,0.573,0
Carmelo Anthony,OKC,17/18,16.2,5.8,1.3,0.585,0
Julius Randle,LAL,17/18,16.1,8.0,2.6,0.427,0
Kyle Kuzma,LAL,17/18,16.1,6.3,1.8,0.427,0
Brandon Ingram,LAL,17/18,16.1,5.3,3.9,0.427,0
Ben Simmons,PHI,17/18,15.8,8.1,8.2,0.634,0
Will Barton,DEN,17/18,15.7,5.0,4.1,0.561,0
D'Angelo Russell,BRK,17/18,15.5,3.9,5.2,0.341,0
Danilo Gallinari,LAC,17/18,15.3,4.8,2.0,0.512,0
Lauri Markkanen,CHI,17/18,15.2,7.5,1.2,0.329,0
Dennis Smith Jr.,DAL,17/18,15.2,3.8,5.2,0.293,0
Austin Rivers,LAC,17/18,15.1,2.4,4.0,0.512,0
Andre Drummond,DET,17/18,15.0,16.0,3.0,0.476,0
Otto Porter Jr.,WAS,17/18,14.7,6.4,2.0,0.524,0
Dario Šarić,PHI,17/18,14.6,6.7,2.6,0.634,0
Paul Millsap,DEN,17/18,14.6,6.4,2.8,0.561,0
Reggie Jackson,DET,17/18,14.6,2.8,5.3,0.476,0
Jaylen Brown,BOS,17/18,14.5,4.9,1.6,0.671,0
Zach Randolph,SAC,17/18,14.5,6.7,2.2,0.329,0
Jusuf Nurkić,POR,17/18,14.3,9.0,1.8,0.598,0
Dion Waiters,MIA,17/18,14.3,2.6,3.8,0.537,0
Bojan Bogdanović,IND,17/18,14.3,3.4,1.5,0.585,0
Jeff Teague,MIN,17/18,14.2,3.0,7.0,0.573,0
Taurean Prince,ATL,17/18,14.1,4.7,2.6,0.293,0
Enes Freedom,NYK,17/18,14.1,11.0,1.5,0.354,0
Hassan Whiteside,MIA,17/18,14.0,11.4,1.0,0.537,0
Jonathon Simmons,ORL,17/18,13.9,3.5,2.5,0.305,0
Rondae Hollis-Jefferson,BRK,17/18,13.9,6.8,2.5,0.341,0
Jayson Tatum,BOS,17/18,13.9,5.0,1.6,0.671,0
Steven Adams,OKC,17/18,13.9,9.0,1.2,0.585,0
Clint Capela,HOU,17/18,13.9,10.8,0.9,0.793,0
Marcus Morris,BOS,17/18,13.6,5.4,1.3,0.671,0
Rudy Gobert,UTA,17/18,13.5,10.7,1.4,0.585,0
Buddy Hield,SAC,17/18,13.5,3.8,1.9,0.329,0
DeMarre Carroll,BRK,17/18,13.5,6.6,2.0,0.341,0
Kris Dunn,CHI,17/18,13.4,4.2,6.0,0.329,0
Kentavious Caldwell-Pope,LAL,17/18,13.4,5.2,2.2,0.427,0
Bobby Portis,CHI,17/18,13.2,6.8,1.7,0.329,0
Allen Crabbe,BRK,17/18,13.2,4.3,1.6,0.341,0
Michael Beasley,NYK,17/18,13.2,5.6,1.7,0.354,0
Josh Jackson,PHO,17/18,13.1,4.6,1.5,0.256,0
Ricky Rubio,UTA,17/18,13.1,4.6,5.3,0.585,0
Malcolm Brogdon,MIL,17/18,13.0,3.2,3.2,0.537,0
Brook Lopez,LAL,17/18,13.0,4.0,1.7,0.427,0
Jeremy Lamb,CHO,17/18,12.9,4.0,2.3,0.439,0
Josh Richardson,MIA,17/18,12.9,3.5,2.9,0.537,0
Al Horford,BOS,17/18,12.9,7.4,4.7,0.671,0
Kent Bazemore,ATL,17/18,12.9,3.8,3.5,0.293,0
Trey Burke,NYK,17/18,12.8,2.0,4.7,0.354,0
Willie Cauley-Stein,SAC,17/18,12.8,7.0,2.4,0.329,0
Myles Turner,IND,17/18,12.7,6.4,1.3,0.585,0
Wesley Matthews,DAL,17/18,12.7,3.1,2.7,0.293,0
Jonas Valančiūnas,TOR,17/18,12.7,8.6,1.1,0.72,0
Serge Ibaka,TOR,17/18,12.6,6.3,0.8,0.72,0
Jabari Parker,MIL,17/18,12.6,4.9,1.9,0.537,0
Robert Covington,PHI,17/18,12.6,5.4,2.0,0.634,0
Spencer Dinwiddie,BRK,17/18,12.6,3.2,6.6,0.341,0
E'Twaun Moore,NOP,17/18,12.5,2.9,2.3,0.585,0
Darren Collison,IND,17/18,12.4,2.6,5.3,0.585,0
Derrick Favors,UTA,17/18,12.3,7.2,1.3,0.585,0
Taj Gibson,MIN,17/18,12.2,7.1,1.2,0.573,0
Patrick Beverley,LAC,17/18,12.2,4.1,2.9,0.512,0
Justin Holiday,CHI,17/18,12.2,4.0,2.1,0.329,0
Gerald Green,HOU,17/18,12.1,3.2,0.6,0.793,0
Caris LeVert,BRK,17/18,12.1,3.7,4.2,0.341,0
DeAndre Jordan,LAC,17/18,12.0,15.2,1.5,0.512,0
Dirk Nowitzki,DAL,17/18,12.0,5.7,1.6,0.293,0
Courtney Lee,NYK,17/18,12.0,2.9,2.4,0.354,0
