Player,Team,PPG,RPG,APG,Season,MVP
Allen Iverson,PHI,30.7,4,7.9,04/05,0
LeBron James,CLE,27.2,7.4,7.2,04/05,0
Tracy McGrady,HOU,25.7,6.2,5.7,04/05,0
Dwyane Wade,MIA,24.1,5.2,6.8,04/05,0
Amar'e Stoudemire,PHO,26,8.9,1.6,04/05,0
Ray Allen,SEA,23.9,4.4,3.7,04/05,0
Kevin Garnett,MIN,22.2,13.5,5.7,04/05,0
Gilbert Arenas,WAS,25.5,4.7,5.1,04/05,0
Vince Carter,TOT,24.5,5.2,4.2,04/05,0
P.J. Brown,NOH,10.8,9,2.2,04/05,0
Marcus Camby,DEN,10.3,10,2.3,04/05,0
Shawn Marion,PHO,19.4,11.3,1.9,04/05,0
Player,Tm,PTS,TRB,AST,19/20,0
Giannis Antetokounmpo,MIL,29.5,13.6,5.6,19/20,1
LeBron James,LAL,25.3,7.8,10.2,19/20,0
James Harden,HOU,34.3,6.6,7.5,19/20,0
Luka Dončić,DAL,28.8,9.4,8.8,19/20,0
Kawhi Leonard,LAC,27.1,7.1,4.9,19/20,0
Anthony Davis,LAL,26.1,9.3,3.2,19/20,0
Chris Paul,OKC,17.6,5,6.7,19/20,0
Damian Lillard,POR,30,4.3,8,19/20,0
Nikola Jokić,DEN,19.9,9.7,7,19/20,0
Pascal Siakam,TOR,22.9,7.3,3.5,19/20,0
Jimmy Butler,MIA,19.9,6.7,6,19/20,0
Jayson Tatum,BOS,23.4,7,3,19/20,0
Player,Tm,PTS,TRB,AST,08/09,0
LeBron James,CLE,28.4,7.6,7.2,08/09,1
Kobe Bryant,LAL,26.8,5.2,4.9,08/09,0
Dwyane Wade,MIA,30.2,5,7.5,08/09,0
Dwight Howard,ORL,20.6,13.8,1.4,08/09,0
Chris Paul,NOH,22.8,5.5,11,08/09,0
Chauncey Billups,TOT,17.7,3,6.4,08/09,0
Paul Pierce,BOS,20.5,5.6,3.6,08/09,0
Tony Parker,SAS,22,3.1,6.9,08/09,0
Brandon Roy,POR,22.6,4.7,5.1,08/09,0
Dirk Nowitzki,DAL,25.9,8.4,2.4,08/09,0
Tim Duncan,SAS,19.3,10.7,3.5,08/09,0
Yao Ming,HOU,19.7,9.9,1.8,08/09,0
