Team,Win%,Season
NYK,0.569,20/21
MIA,0.556,20/21
GSW,0.542,20/21
MEM,0.528,20/21
BOS,0.5,20/21
IND,0.472,20/21
WAS,0.472,20/21
SAS,0.458,20/21
CHO,0.458,20/21
NOP,0.431,20/21
CHI,0.431,20/21
SAC,0.431,20/21
TOR,0.375,20/21
MIN,0.319,20/21
OKC,0.306,20/21
CLE,0.306,20/21
ORL,0.292,20/21
DET,0.278,20/21
HOU,0.236,20/21
CHI,0.758,11/12
SAS,0.758,11/12
OKC,0.712,11/12
MIA,0.697,11/12
IND,0.636,11/12
MEM,0.621,11/12
LAL,0.621,11/12
ATL,0.606,11/12
LAC,0.606,11/12
BOS,0.591,11/12
DEN,0.576,11/12
ORL,0.561,11/12
NYK,0.545,11/12
DAL,0.545,11/12
UTA,0.545,11/12
PHI,0.53,11/12
HOU,0.515,11/12
PHO,0.5,11/12
MIL,0.47,11/12
POR,0.424,11/12
MIN,0.394,11/12
DET,0.379,11/12
GSW,0.348,11/12
TOR,0.348,11/12
NJN,0.333,11/12
SAC,0.333,11/12
NOH,0.318,11/12
CLE,0.318,11/12
WAS,0.303,11/12
CHA,0.106,11/12
GSW,0.817,16/17
SAS,0.744,16/17
HOU,0.671,16/17
BOS,0.646,16/17
UTA,0.622,16/17
TOR,0.622,16/17
CLE,0.622,16/17
LAC,0.622,16/17
WAS,0.598,16/17
OKC,0.573,16/17
ATL,0.524,16/17
MEM,0.524,16/17
IND,0.512,16/17
MIL,0.512,16/17
MIA,0.5,16/17
POR,0.5,16/17
CHI,0.5,16/17
DEN,0.488,16/17
DET,0.451,16/17
CHO,0.439,16/17
NOP,0.415,16/17
DAL,0.402,16/17
SAC,0.39,16/17
MIN,0.378,16/17
NYK,0.378,16/17
ORL,0.354,16/17
PHI,0.341,16/17
LAL,0.317,16/17
PHO,0.293,16/17
BRK,0.244,16/17
WAS,0.427,22/23
UTA,0.451,22/23
TOR,0.5,22/23
SAS,0.268,22/23
SAC,0.585,22/23
POR,0.402,22/23
PHO,0.549,22/23
PHI,0.659,22/23
ORL,0.415,22/23
OKC,0.488,22/23
NYK,0.573,22/23
NOP,0.512,22/23
MIN,0.512,22/23
MIL,0.707,22/23
MIA,0.537,22/23
MEM,0.622,22/23
LAL,0.524,22/23
LAC,0.537,22/23
IND,0.427,22/23
HOU,0.268,22/23
GSW,0.537,22/23
DET,0.207,22/23
DEN,0.646,22/23
DAL,0.463,22/23
CLE,0.622,22/23
CHO,0.329,22/23
CHI,0.488,22/23
BRK,0.549,22/23
BOS,0.695,22/23
ATL,0.5,22/23
CLE,0.805,08/09
LAL,0.793,08/09
BOS,0.756,08/09
ORL,0.72,08/09
DEN,0.659,08/09
SAS,0.659,08/09
POR,0.659,08/09
HOU,0.646,08/09
DAL,0.61,08/09
NOH,0.598,08/09
UTA,0.585,08/09
ATL,0.573,08/09
PHO,0.561,08/09
MIA,0.524,08/09
CHI,0.5,08/09
PHI,0.5,08/09
DET,0.476,08/09
IND,0.439,08/09
CHA,0.427,08/09
MIL,0.415,08/09
NJN,0.415,08/09
TOR,0.402,08/09
NYK,0.39,08/09
GSW,0.354,08/09
MIN,0.293,08/09
MEM,0.293,08/09
OKC,0.28,08/09
LAC,0.232,08/09
WAS,0.232,08/09
SAC,0.207,08/09
CHI,0.756,10/11
SAS,0.744,10/11
MIA,0.707,10/11
DAL,0.695,10/11
LAL,0.695,10/11
BOS,0.683,10/11
OKC,0.671,10/11
ORL,0.634,10/11
DEN,0.61,10/11
POR,0.585,10/11
MEM,0.561,10/11
NOH,0.561,10/11
ATL,0.537,10/11
HOU,0.524,10/11
NYK,0.512,10/11
PHI,0.5,10/11
PHO,0.488,10/11
UTA,0.476,10/11
IND,0.451,10/11
GSW,0.439,10/11
MIL,0.427,10/11
CHA,0.415,10/11
LAC,0.39,10/11
DET,0.366,10/11
NJN,0.293,10/11
SAC,0.293,10/11
WAS,0.28,10/11
TOR,0.268,10/11
CLE,0.232,10/11
MIN,0.207,10/11
MIL,0.732,18/19
TOR,0.707,18/19
GSW,0.695,18/19
DEN,0.659,18/19
POR,0.646,18/19
HOU,0.646,18/19
PHI,0.622,18/19
UTA,0.61,18/19
BOS,0.598,18/19
OKC,0.598,18/19
LAC,0.585,18/19
