Player,Team,Season,ORtg,DRtg,PER,BPM,USG%,VORP
Lauri Markkanen,CHI,18/19,107,112,17.1,-0.2,25.1,0.7
Bogdan Bogdanović,SAC,18/19,107,113,14.1,-0.6,22.3,0.7
Robin Lopez,CHI,18/19,113,115,15.9,-1.9,18.6,0.0
Wesley Matthews,DALINDNYK,18/19,107,113,10.3,-1.8,17.8,0.1
Kyle Anderson,MEM,18/19,110,107,12.8,0.8,12.6,0.9
Eric Gordon,HOU,18/19,108,115,12.2,-1.3,22.0,0.4
James Ennis III,HOUPHI,18/19,119,112,11.0,-1.5,12.7,0.1
Wayne Ellington,DETMIA,18/19,112,110,11.8,0.0,17.2,0.7
Tristan Thompson,CLE,18/19,117,116,18.4,-0.5,17.7,0.4
Cheick Diallo,NOP,18/19,119,108,17.5,-0.9,16.0,0.2
Gary Harris,DEN,18/19,108,111,12.2,-1.6,20.0,0.2
Willy Hernangómez,CHO,18/19,118,111,20.4,-0.1,22.1,0.4
Jalen Brunson,DAL,18/19,110,114,12.8,-1.7,19.1,0.1
Rodney Hood,CLEPOR,18/19,112,117,12.3,-2.0,18.1,0.0
Luke Kennard,DET,18/19,110,112,11.9,-1.1,18.1,0.3
Trevor Ariza,PHOWAS,18/19,107,115,12.1,-1.3,16.6,0.4
Robert Covington,MINPHI,18/19,110,108,13.3,1.6,15.6,1.1
Mike Muscala,LALPHI,18/19,113,111,10.8,-1.1,14.3,0.3
Marco Belinelli,SAS,18/19,109,114,11.9,-1.7,19.8,0.1
Michael Kidd-Gilchrist,CHO,18/19,115,112,13.3,-2.4,15.7,-0.1
DeMarcus Cousins,GSW,18/19,109,102,21.4,3.0,28.1,1.0
Dwyane Wade,MIA,18/19,102,109,15.8,0.6,27.9,1.2
Norman Powell,TOR,18/19,110,109,13.3,-0.7,19.0,0.4
Seth Curry,POR,18/19,113,114,11.4,-1.0,16.6,0.3
LeBron James,MIA,12/13,125,101,31.6,11.7,30.2,9.9
Kevin Durant,OKC,12/13,122,100,28.3,9.3,29.8,8.9
Chris Paul,LAC,12/13,127,102,26.4,8.8,22.6,6.4
James Harden,HOU,12/13,116,106,22.9,5.6,29.0,5.8
Russell Westbrook,OKC,12/13,111,103,23.9,4.4,32.8,4.6
Marc Gasol,MEM,12/13,115,98,19.5,5.2,19.2,5.1
Stephen Curry,GSW,12/13,115,107,21.3,5.4,26.4,5.6
Kobe Bryant,LAL,12/13,112,107,23.0,4.6,31.9,5.0
Deron Williams,BRK,12/13,118,109,20.3,3.8,24.4,4.2
Blake Griffin,LAC,12/13,114,102,22.4,4.1,25.4,4.0
Mike Conley,MEM,12/13,111,100,18.3,4.6,21.0,4.6
George Hill,IND,12/13,117,102,16.6,3.3,18.8,3.5
Dwyane Wade,MIA,12/13,112,103,24.0,4.4,29.5,3.8
Carmelo Anthony,NYK,12/13,112,108,24.8,4.3,35.6,3.9
Serge Ibaka,OKC,12/13,117,101,19.4,1.5,18.1,2.2
Tony Parker,SAS,12/13,116,106,23.0,3.6,27.7,3.1
Tyson Chandler,NYK,12/13,133,104,18.9,1.3,13.0,1.8
David Lee,GSW,12/13,110,104,19.2,1.8,23.2,2.8
David West,IND,12/13,110,99,20.1,4.0,24.4,3.7
Paul George,IND,12/13,104,97,16.8,3.8,23.5,4.4
Chris Bosh,MIA,12/13,114,103,20.0,1.3,22.7,2.1
Brook Lopez,BRK,12/13,114,105,24.7,3.2,28.6,3.0
Al Horford,ATL,12/13,110,102,19.8,1.9,21.8,2.7
Tim Duncan,SAS,12/13,107,95,24.4,5.3,27.8,3.8
Tiago Splitter,SAS,12/13,118,100,18.7,2.2,18.2,2.1
Zach Randolph,MEM,12/13,106,99,17.9,0.2,23.1,1.5
Kenneth Faried,DEN,12/13,116,102,18.5,1.1,17.7,1.7
Al Jefferson,UTA,12/13,109,104,20.9,2.4,25.3,2.8
Paul Millsap,UTA,12/13,112,104,19.8,2.7,22.4,2.8
Dwight Howard,LAL,12/13,105,100,19.4,0.6,22.2,1.8
José Calderón,DETTOR,12/13,124,111,18.8,3.1,17.0,2.8
Thaddeus Young,PHI,12/13,109,103,18.2,1.2,19.8,2.1
Ty Lawson,DEN,12/13,113,109,17.9,2.0,22.3,2.5
Joakim Noah,CHI,12/13,107,99,18.1,3.4,17.2,3.3
Amir Johnson,TOR,12/13,116,104,17.3,1.0,16.1,1.8
Paul Pierce,BOS,12/13,106,102,19.1,3.6,27.4,3.6
