Player,Team,Season,PPG,RPG,APG,WS
Boban Marjanović,LACPHI,18/19,7.3,4.6,0.9,3.0
Meyers Leonard,POR,18/19,5.9,3.8,1.2,3.0
Juancho Hernangómez,DEN,18/19,5.8,3.8,0.8,3.0
Tyus Jones,MIN,18/19,6.9,2.0,4.8,3.0
Derrick Rose,MIN,18/19,18.0,2.7,4.3,3.0
Zach Collins,POR,18/19,6.6,4.2,0.9,2.9
Kenneth Faried,BRKHOU,18/19,10.4,6.8,0.5,2.9
Miles Bridges,CHO,18/19,7.5,4.0,1.2,2.9
Derrick Jones Jr.,MIA,18/19,7.0,4.0,0.6,2.9
Mikal Bridges,PHO,18/19,8.3,3.2,2.1,2.9
Justin Jackson,DALSAC,18/19,7.2,2.6,1.2,2.9
JaMychal Green,LACMEM,18/19,9.4,6.3,0.8,2.9
Doug McDermott,IND,18/19,7.3,1.4,0.9,2.9
Dennis Schröder,OKC,18/19,15.5,3.6,4.1,2.9
T.J. McConnell,PHI,18/19,6.4,2.3,3.4,2.9
Khem Birch,ORL,18/19,4.8,3.8,0.8,2.8
Gorgui Dieng,MIN,18/19,6.4,4.1,0.9,2.8
Terrance Ferguson,OKC,18/19,6.9,1.9,1.0,2.8
Zach LaVine,CHI,18/19,23.7,4.7,4.5,2.8
George Hill,CLEMIL,18/19,7.6,2.5,2.2,2.8
Justise Winslow,MIA,18/19,12.6,5.4,4.3,2.8
Lauri Markkanen,CHI,18/19,18.7,9.0,1.4,2.7
Bogdan Bogdanović,SAC,18/19,14.1,3.5,3.8,2.7
Robin Lopez,CHI,18/19,9.5,3.9,1.2,2.7
Wesley Matthews,DALINDNYK,18/19,12.2,2.5,2.3,2.7
Kyle Anderson,MEM,18/19,8.0,5.8,3.0,2.7
Eric Gordon,HOU,18/19,16.2,2.2,1.9,2.6
James Ennis III,HOUPHI,18/19,6.7,3.1,0.7,2.6
Wayne Ellington,DETMIA,18/19,10.3,2.0,1.4,2.6
Tristan Thompson,CLE,18/19,10.9,10.2,2.0,2.6
Cheick Diallo,NOP,18/19,6.0,5.2,0.5,2.6
Gary Harris,DEN,18/19,12.9,2.8,2.2,2.6
Willy Hernangómez,CHO,18/19,7.3,5.4,1.0,2.6
Jalen Brunson,DAL,18/19,9.3,2.3,3.2,2.6
Rodney Hood,CLEPOR,18/19,11.2,2.2,1.8,2.6
Luke Kennard,DET,18/19,9.7,2.9,1.8,2.5
Trevor Ariza,PHOWAS,18/19,12.5,5.4,3.7,2.5
Robert Covington,MINPHI,18/19,13.3,5.5,1.3,2.5
Mike Muscala,LALPHI,18/19,7.0,3.8,1.2,2.5
Marco Belinelli,SAS,18/19,10.5,2.5,1.7,2.5
Michael Kidd-Gilchrist,CHO,18/19,6.7,3.8,1.0,2.5
DeMarcus Cousins,GSW,18/19,16.3,8.2,3.6,2.4
Dwyane Wade,MIA,18/19,15.0,4.0,4.2,2.4
Norman Powell,TOR,18/19,8.6,2.3,1.5,2.4
Seth Curry,POR,18/19,7.9,1.6,0.9,2.4
LeBron James,MIA,12/13,26.8,8.0,7.2,19.3
Kevin Durant,OKC,12/13,28.1,7.9,4.6,18.9
Chris Paul,LAC,12/13,16.9,3.7,9.7,13.9
James Harden,HOU,12/13,25.9,4.9,5.8,12.8
Russell Westbrook,OKC,12/13,23.2,5.2,7.4,11.6
Marc Gasol,MEM,12/13,14.1,7.8,4.0,11.5
Stephen Curry,GSW,12/13,22.9,4.0,6.9,11.2
Kobe Bryant,LAL,12/13,27.3,5.6,6.0,10.9
Deron Williams,BRK,12/13,18.9,3.0,7.7,10.9
Blake Griffin,LAC,12/13,18.0,8.3,3.7,10.6
Mike Conley,MEM,12/13,14.6,2.8,6.1,9.9
George Hill,IND,12/13,14.2,3.7,4.7,9.7
Dwyane Wade,MIA,12/13,21.2,5.0,5.1,9.6
Carmelo Anthony,NYK,12/13,28.7,6.9,2.6,9.5
Serge Ibaka,OKC,12/13,13.2,7.7,0.5,9.4
Tony Parker,SAS,12/13,20.3,3.0,7.6,9.3
Tyson Chandler,NYK,12/13,10.4,10.7,0.9,9.3
David Lee,GSW,12/13,18.5,11.2,3.5,9.1
David West,IND,12/13,17.1,7.7,2.9,9.1
Paul George,IND,12/13,17.4,7.6,4.1,9.0
Chris Bosh,MIA,12/13,16.6,6.8,1.7,9.0
Brook Lopez,BRK,12/13,19.4,6.9,0.9,9.0
Al Horford,ATL,12/13,17.4,10.2,3.2,8.8
Tim Duncan,SAS,12/13,17.8,9.9,2.7,8.3
Tiago Splitter,SAS,12/13,10.3,6.4,1.6,8.2
Zach Randolph,MEM,12/13,15.4,11.2,1.4,7.9
Kenneth Faried,DEN,12/13,11.5,9.2,1.0,7.8
Al Jefferson,UTA,12/13,17.8,9.2,2.1,7.7
Paul Millsap,UTA,12/13,14.6,7.1,2.6,7.6
Dwight Howard,LAL,12/13,17.1,12.4,1.4,7.6
José Calderón,DETTOR,12/13,11.3,2.4,7.1,7.4
Thaddeus Young,PHI,12/13,14.8,7.5,1.6,7.4
Ty Lawson,DEN,12/13,16.7,2.7,6.9,7.4
Joakim Noah,CHI,12/13,11.9,11.1,4.0,7.3
Amir Johnson,TOR,12/13,10.0,7.5,1.5,7.3
Paul Pierce,BOS,12/13,18.6,6.3,4.8,7.2
Danilo Gallinari,DEN,12/13,16.2,5.2,2.5,7.2
LaMarcus Aldridge,POR,12/13,21.1,9.1,2.6,7.2
Jimmy Butler,CHI,12/13,8.6,4.0,1.4,7.0
Kevin Martin,OKC,12/13,14.0,2.3,1.4,7.0
Chandler Parsons,HOU,12/13,15.5,5.3,3.5,7.0
J.J. Hickson,POR,12/13,12.7,10.4,1.1,6.9
Thabo Sefolosha,OKC,12/13,7.6,3.9,1.5,6.8
Ersan İlyasova,MIL,12/13,13.2,7.1,1.6,6.7
J.R. Smith,NYK,12/13,18.1,5.3,2.7,6.7
Nikola Peković,MIN,12/13,16.3,8.8,0.9,6.7
Ryan Anderson,NOH,12/13,16.2,6.4,1.2,6.5
Kosta Koufos,DEN,12/13,8.0,6.9,0.4,6.5
Kyle Korver,ATL,12/13,10.9,4.0,2.0,6.4
Luol Deng,CHI,12/13,16.5,6.3,3.0,6.3
Martell Webster,WAS,12/13,11.4,3.9,1.9,6.3
Matt Barnes,LAC,12/13,10.3,4.6,1.5,6.3
Kawhi Leonard,SAS,12/13,11.9,6.0,1.6,6.2
Carl Landry,GSW,12/13,10.8,6.0,0.8,6.2
DeAndre Jordan,LAC,12/13,8.8,7.2,0.3,6.2
Roy Hibbert,IND,12/13,11.9,8.3,1.4,6.1
Anthony Davis,NOH,12/13,13.5,8.2,1.0,6.1
Jeff Teague,ATL,12/13,14.6,2.2,7.2,6.1
Larry Sanders,MIL,12/13,9.8,9.5,1.2,6.0
Andrei Kirilenko,MIN,12/13,12.4,5.7,2.8,6.0
Vince Carter,DAL,12/13,13.4,4.1,2.4,6.0
Greg Monroe,DET,12/13,16.0,9.6,3.5,5.9
Nate Robinson,CHI,12/13,13.1,2.2,4.4,5.9
Danny Green,SAS,12/13,10.5,3.0,1.8,5.9
Damian Lillard,POR,12/13,19.0,3.1,6.5,5.8
Brandon Jennings,MIL,12/13,17.5,3.1,6.5,5.8
Nicolas Batum,POR,12/13,14.3,5.6,4.9,5.8
Goran Dragić,PHO,12/13,14.7,3.1,7.4,5.7
Carlos Boozer,CHI,12/13,16.2,9.8,2.3,5.7
Nikola Vučević,ORL,12/13,13.1,11.9,1.9,5.7
Darren Collison,DAL,12/13,12.0,2.7,5.1,5.6
Andre Iguodala,DEN,12/13,13.0,5.3,5.4,5.6
Jarrett Jack,GSW,12/13,12.9,3.1,5.6,5.6
Kevin Garnett,BOS,12/13,14.8,7.8,2.3,5.6
Kyle Lowry,TOR,12/13,11.6,4.7,6.4,5.6
Robin Lopez,NOH,12/13,11.3,5.6,0.8,5.6
Ömer Aşık,HOU,12/13,10.1,11.7,0.9,5.5
Lance Stephenson,IND,12/13,8.8,3.9,2.9,5.5
