Player,Team,Season,PPG,RPG,APG,WS
Marc Gasol,MEM,08/09,11.9,7.4,1.7,6.4
Derek Fisher,LAL,08/09,9.9,2.3,3.2,6.3
Tayshaun Prince,DET,08/09,14.2,5.8,3.1,6.2
Erick Dampier,DAL,08/09,5.7,7.1,1.0,6.1
Marvin Williams,ATL,08/09,13.9,6.3,1.3,6.1
Rudy Fernández,POR,08/09,10.4,2.7,2.0,6.1
Trevor Ariza,LAL,08/09,8.9,4.3,1.8,6.1
Amar'e Stoudemire,PHO,08/09,21.4,8.1,2.0,6.1
Jameer Nelson,ORL,08/09,16.7,3.5,5.4,6.0
Carl Landry,HOU,08/09,9.2,5.0,0.6,5.9
Nate Robinson,NYK,08/09,17.2,3.9,4.1,5.9
Brook Lopez,NJN,08/09,13.0,8.1,1.0,5.8
Steve Blake,POR,08/09,11.0,2.5,5.0,5.8
Jason Richardson,CHAPHO,08/09,16.8,4.4,2.0,5.8
J.R. Smith,DEN,08/09,15.2,3.7,2.8,5.8
Udonis Haslem,MIA,08/09,10.6,8.2,1.1,5.7
Antonio McDyess,DET,08/09,9.6,9.8,1.3,5.6
Ramon Sessions,MIL,08/09,12.4,3.4,5.7,5.6
Kendrick Perkins,BOS,08/09,8.5,8.1,1.3,5.6
Zydrunas Ilgauskas,CLE,08/09,12.9,7.5,1.0,5.6
John Salmons,CHISAC,08/09,18.3,4.2,3.2,5.6
Andrew Bynum,LAL,08/09,14.3,8.0,1.4,5.5
Metta World Peace,HOU,08/09,17.1,5.2,3.3,5.5
Thaddeus Young,PHI,08/09,15.3,5.0,1.1,5.5
Andris Biedriņš,GSW,08/09,11.9,11.2,2.0,5.4
Chris Andersen,DEN,08/09,6.4,6.2,0.4,5.4
Rafer Alston,HOUORL,08/09,11.7,2.9,5.3,5.3
Kevin Love,MIN,08/09,11.1,9.1,1.0,5.3
Travis Outlaw,POR,08/09,12.8,4.1,1.0,5.3
Grant Hill,PHO,08/09,12.0,4.9,2.3,5.3
Shane Battier,HOU,08/09,7.3,4.8,2.3,5.2
Mario Chalmers,MIA,08/09,10.0,2.8,4.9,5.2
Shawn Marion,MIATOR,08/09,12.9,8.5,2.0,5.2
Marcus Camby,LAC,08/09,10.3,11.1,2.0,5.2
Brad Miller,CHISAC,08/09,11.9,7.8,3.3,5.1
D.J. Augustin,CHA,08/09,11.8,1.8,3.5,5.1
Rasheed Wallace,DET,08/09,12.0,7.4,1.4,5.1
Leandro Barbosa,PHO,08/09,14.2,2.6,2.3,5.0
Carmelo Anthony,DEN,08/09,22.8,6.8,3.4,5.0
Manu Ginóbili,SAS,08/09,15.5,4.5,3.6,5.0
Nick Collison,OKC,08/09,8.2,6.9,0.9,5.0
Jamario Moon,MIATOR,08/09,7.2,4.6,1.2,4.9
Leon Powe,BOS,08/09,7.7,4.9,0.7,4.9
Josh Smith,ATL,08/09,15.6,7.2,2.4,4.9
Al Jefferson,MIN,08/09,23.1,11.0,1.6,4.9
Charlie Villanueva,MIL,08/09,16.2,6.7,1.8,4.9
Derrick Rose,CHI,08/09,16.8,3.9,6.3,4.9
Eddie House,BOS,08/09,8.5,1.9,1.1,4.9
Kevin Martin,SAC,08/09,24.6,3.6,2.7,4.7
Roger Mason,SAS,08/09,11.8,3.1,2.1,4.7
Boris Diaw,CHAPHO,08/09,13.2,5.3,4.1,4.7
Hakim Warrick,MEM,08/09,11.6,5.0,0.8,4.7
Andrei Kirilenko,UTA,08/09,11.6,4.8,2.6,4.6
Eric Gordon,LAC,08/09,16.1,2.6,2.8,4.6
Tyrus Thomas,CHI,08/09,10.8,6.4,1.0,4.6
Rasual Butler,NOH,08/09,11.2,3.3,0.9,4.6
Greg Oden,POR,08/09,8.9,7.0,0.5,4.6
Mike Conley,MEM,08/09,10.9,3.4,4.3,4.5
Richard Hamilton,DET,08/09,18.3,3.1,4.4,4.5
Caron Butler,WAS,08/09,20.8,6.2,4.3,4.5
Wally Szczerbiak,CLE,08/09,7.0,3.1,1.1,4.5
Kurt Thomas,SAS,08/09,4.3,5.1,0.8,4.5
Michael Finley,SAS,08/09,9.7,3.3,1.4,4.4
Courtney Lee,ORL,08/09,8.4,2.3,1.2,4.4
T.J. Ford,IND,08/09,14.9,3.5,5.3,4.3
Raymond Felton,CHA,08/09,14.2,3.8,6.7,4.3
Mike Miller,MIN,08/09,9.9,6.6,4.5,4.2
Jeff Foster,IND,08/09,6.1,6.9,1.8,4.2
James Posey,NOH,08/09,8.9,4.8,1.1,4.2
Jeff Green,OKC,08/09,16.5,6.7,2.0,4.2
Chris Duhon,NYK,08/09,11.1,3.1,7.2,4.2
Jason Maxiell,DET,08/09,5.8,4.2,0.3,4.1
Jarrett Jack,IND,08/09,13.1,3.4,4.1,4.1
Kelenna Azubuike,GSW,08/09,14.4,5.0,1.6,4.1
Brandon Bass,DAL,08/09,8.5,4.5,0.5,4.1
Samuel Dalembert,PHI,08/09,6.4,8.5,0.2,4.0
Luc Mbah a Moute,MIL,08/09,7.2,5.9,1.1,4.0
Kenyon Martin,DEN,08/09,11.7,6.0,2.0,4.0
Zaza Pachulia,ATL,08/09,6.2,5.7,0.7,3.9
Andrea Bargnani,TOR,08/09,15.4,5.3,1.2,3.9
Al Harrington,GSWNYK,08/09,20.1,6.2,1.4,3.9
Marreese Speights,PHI,08/09,7.7,3.7,0.4,3.8
Rodney Stuckey,DET,08/09,13.4,3.5,4.9,3.8
Maurice Evans,ATL,08/09,7.2,3.0,0.7,3.8
Daniel Gibson,CLE,08/09,7.8,2.1,1.8,3.8
Peja Stojaković,NOH,08/09,13.3,4.3,1.2,3.8
Ben Wallace,CLE,08/09,2.9,6.5,0.8,3.8
Sasha Vujačić,LAL,08/09,5.8,1.7,1.4,3.7
Nicolas Batum,POR,08/09,5.4,2.8,0.9,3.7
Kyle Korver,UTA,08/09,9.0,3.3,1.8,3.7
Glen Davis,BOS,08/09,7.0,4.0,0.9,3.7
Keyon Dooling,NJN,08/09,9.7,2.0,3.5,3.7
Linas Kleiza,DEN,08/09,9.9,4.0,0.8,3.6
Kyle Lowry,HOUMEM,08/09,7.6,2.5,3.6,3.6
Aaron Brooks,HOU,08/09,11.2,2.0,3.0,3.6
Raja Bell,CHAPHO,08/09,11.9,3.6,2.1,3.6
Ronny Turiaf,GSW,08/09,5.9,4.6,2.1,3.6
Anthony Parker,TOR,08/09,10.7,4.0,3.4,3.4
Luke Ridnour,MIL,08/09,9.6,3.0,5.1,3.4
Bobby Simmons,NJN,08/09,7.8,3.9,1.3,3.4
Tyson Chandler,NOH,08/09,8.8,8.7,0.5,3.4
Lou Williams,PHI,08/09,12.8,2.0,3.0,3.4
Michael Beasley,MIA,08/09,13.9,5.4,1.0,3.4
O.J. Mayo,MEM,08/09,18.5,3.8,3.2,3.4
Marcin Gortat,ORL,08/09,3.8,4.5,0.2,3.3
Jamal Crawford,GSWNYK,08/09,19.7,3.0,4.4,3.3
Corey Maggette,GSW,08/09,18.6,5.5,1.8,3.3
Rudy Gay,MEM,08/09,18.9,5.5,1.7,3.3
C.J. Watson,GSW,08/09,9.5,2.5,2.7,3.3
Michael Redd,MIL,08/09,21.2,3.2,2.7,3.2
Josh Howard,DAL,08/09,18.0,5.1,1.6,3.2
Craig Smith,MIN,08/09,10.1,3.8,1.1,3.1
Ronald Murray,ATL,08/09,12.2,2.1,2.0,3.1
Randy Foye,MIN,08/09,16.3,3.1,4.3,3.1
Wilson Chandler,NYK,08/09,14.4,5.4,2.1,3.1
Anthony Morrow,GSW,08/09,10.1,3.0,1.2,3.0
Zach Randolph,LACNYK,08/09,20.8,10.1,2.1,3.0
Mickaël Piétrus,ORL,08/09,9.4,3.3,1.2,3.0
James Singleton,DAL,08/09,5.1,4.0,0.3,3.0
Matt Barnes,PHO,08/09,10.2,5.5,2.8,3.0
Luol Deng,CHI,08/09,14.1,6.0,1.9,3.0
C.J. Miles,UTA,08/09,9.1,2.3,1.5,2.9
Allen Iverson,DENDET,08/09,17.5,3.0,5.0,2.9
Tony Battie,ORL,08/09,4.8,3.6,0.4,2.8
Andrés Nocioni,CHISAC,08/09,11.4,4.8,1.3,2.8
Anthony Johnson,ORL,08/09,5.3,1.8,2.5,2.8
Jared Dudley,CHAPHO,08/09,5.5,3.0,0.8,2.7
Jason Thompson,SAC,08/09,11.1,7.4,1.1,2.7
Joe Smith,CLEOKC,08/09,6.6,4.6,0.7,2.7
Amir Johnson,DET,08/09,3.5,3.7,0.3,2.7
Drew Gooden,CHISACSAS,08/09,11.9,7.1,0.9,2.7
Tracy McGrady,HOU,08/09,15.6,4.4,5.0,2.7
Renaldo Balkman,DEN,08/09,5.0,3.8,0.6,2.6
Von Wafer,HOU,08/09,9.7,1.8,1.1,2.6
Andrew Bogut,MIL,08/09,11.7,10.2,2.0,2.6
Carlos Boozer,UTA,08/09,16.2,10.4,2.1,2.6
Kirk Hinrich,CHI,08/09,9.9,2.4,3.9,2.6
Jermaine O'Neal,MIATOR,08/09,13.3,6.4,1.8,2.6
Keith Bogans,MILORL,08/09,5.6,3.1,1.0,2.5
Ryan Gomes,MIN,08/09,13.3,4.8,1.6,2.5
Ryan Anderson,NJN,08/09,7.4,4.7,0.8,2.5
Darius Songaila,WAS,08/09,7.4,2.9,1.2,2.4
Francisco García,SAC,08/09,12.7,3.4,2.3,2.4
Willie Green,PHI,08/09,8.5,1.6,2.0,2.3
JJ Redick,ORL,08/09,6.0,1.7,1.1,2.3
Chris Paul,NOH,07/08,21.0,4.0,11.6,17.8
LeBron James,CLE,07/08,30.0,7.9,7.2,15.2
Amar'e Stoudemire,PHO,07/08,25.2,9.1,1.5,14.6
Kobe Bryant,LAL,07/08,28.3,6.3,5.4,13.8
Chauncey Billups,DET,07/08,17.0,2.7,6.8,13.5
Dwight Howard,ORL,07/08,20.7,14.2,1.3,12.9
Dirk Nowitzki,DAL,07/08,23.6,8.6,3.5,12.9
Kevin Garnett,BOS,07/08,18.8,9.2,3.4,12.9
Paul Pierce,BOS,07/08,19.6,5.1,4.5,12.4
Allen Iverson,DEN,07/08,26.4,3.0,7.1,11.6
Deron Williams,UTA,07/08,18.8,3.0,10.5,11.3
Manu Ginóbili,SAS,07/08,19.5,4.8,4.5,11.1
Tim Duncan,SAS,07/08,19.3,11.3,2.8,11.1
Steve Nash,PHO,07/08,16.9,3.5,11.1,10.5
José Calderón,TOR,07/08,11.2,2.9,8.3,10.2
Carlos Boozer,UTA,07/08,21.1,10.4,2.9,10.2
Chris Bosh,TOR,07/08,22.3,8.7,2.6,10.1
Tyson Chandler,NOH,07/08,11.8,11.7,1.0,10.0
Rashard Lewis,ORL,07/08,18.2,5.4,2.4,9.8
Ray Allen,BOS,07/08,17.4,3.7,3.1,9.7
Lamar Odom,LAL,07/08,14.2,10.6,3.5,9.7
Andre Iguodala,PHI,07/08,19.9,5.4,4.8,9.6
Antawn Jamison,WAS,07/08,21.4,10.2,1.5,9.2
Hedo Türkoğlu,ORL,07/08,19.5,5.7,5.0,9.0
Monta Ellis,GSW,07/08,20.2,5.0,3.9,9.0
Baron Davis,GSW,07/08,21.8,4.7,7.6,8.7
Jason Terry,DAL,07/08,15.5,2.5,3.2,8.6
Mike Dunleavy,IND,07/08,19.1,5.2,3.5,8.5
Marcus Camby,DEN,07/08,9.1,13.1,3.3,8.5
Pau Gasol,LALMEM,07/08,18.9,8.4,3.2,8.4
Kevin Martin,SAC,07/08,23.7,4.5,2.1,8.4
David West,NOH,07/08,20.6,8.9,2.3,8.4
Yao Ming,HOU,07/08,22.0,10.8,2.3,8.3
Andre Miller,PHI,07/08,17.0,4.0,6.9,8.3
Carmelo Anthony,DEN,07/08,25.7,7.4,3.4,8.2
Shane Battier,HOU,07/08,9.3,5.1,1.9,8.2
Peja Stojaković,NOH,07/08,16.4,4.3,1.2,8.1
Josh Howard,DAL,07/08,19.9,7.0,2.2,8.0
Andris Biedriņš,GSW,07/08,10.5,9.8,1.0,8.0
Brandon Roy,POR,07/08,19.1,4.7,5.8,8.0
Ronnie Brewer,UTA,07/08,12.0,2.9,1.8,7.8
Vince Carter,NJN,07/08,21.3,6.0,5.1,7.7
Al Jefferson,MIN,07/08,21.0,11.1,1.4,7.7
Richard Hamilton,DET,07/08,17.3,3.3,4.2,7.7
Richard Jefferson,NJN,07/08,22.6,4.2,3.1,7.6
Rasheed Wallace,DET,07/08,12.7,6.6,1.8,7.6
Josh Childress,ATL,07/08,11.8,4.9,1.5,7.6
Tayshaun Prince,DET,07/08,13.2,4.9,3.3,7.5
Jason Richardson,CHA,07/08,21.8,5.4,3.1,7.4
David Lee,NYK,07/08,10.8,8.9,1.2,7.4
Shawn Marion,MIAPHO,07/08,15.4,10.2,2.2,7.4
Danny Granger,IND,07/08,19.6,6.1,2.1,7.3
Caron Butler,WAS,07/08,20.3,6.7,4.9,7.2
Rajon Rondo,BOS,07/08,10.6,4.2,5.1,7.2
Andrei Kirilenko,UTA,07/08,11.0,4.7,4.0,7.1
Tony Parker,SAS,07/08,18.8,3.2,6.0,7.0
Joe Johnson,ATL,07/08,21.7,4.5,5.8,7.0
Corey Maggette,LAC,07/08,22.1,5.6,2.7,6.9
Samuel Dalembert,PHI,07/08,10.5,10.4,0.5,6.9
Brendan Haywood,WAS,07/08,10.6,7.2,0.9,6.8
Antonio McDyess,DET,07/08,8.8,8.5,1.1,6.7
Mehmet Okur,UTA,07/08,14.5,7.7,2.0,6.7
Brad Miller,SAC,07/08,13.4,9.5,3.7,6.5
Luis Scola,HOU,07/08,10.3,6.4,1.3,6.5
Jeff Foster,IND,07/08,6.4,8.7,1.7,6.5
Jason Maxiell,DET,07/08,7.9,5.3,0.6,6.3
LaMarcus Aldridge,POR,07/08,17.8,7.6,1.6,6.2
Anthony Parker,TOR,07/08,12.5,4.1,2.2,6.2
James Posey,BOS,07/08,7.4,4.4,1.5,6.2
Troy Murphy,IND,07/08,12.2,7.2,2.2,6.2
Kendrick Perkins,BOS,07/08,6.9,6.1,1.1,6.2
Fabricio Oberto,SAS,07/08,4.8,5.2,1.2,6.1
Zydrunas Ilgauskas,CLE,07/08,14.1,9.3,1.4,6.1
Erick Dampier,DAL,07/08,6.1,7.5,0.9,6.0
Grant Hill,PHO,07/08,13.1,5.0,2.9,5.9
Jason Kidd,DALNJN,07/08,10.8,7.5,10.1,5.9
Tracy McGrady,HOU,07/08,21.6,5.1,5.9,5.8
Michael Redd,MIL,07/08,22.7,4.3,3.4,5.8
Emeka Okafor,CHA,07/08,13.8,10.7,0.9,5.8
Josh Smith,ATL,07/08,17.2,8.2,3.4,5.8
Marvin Williams,ATL,07/08,14.8,5.7,1.7,5.7
Derek Fisher,LAL,07/08,11.7,2.1,2.9,5.7
Jamario Moon,TOR,07/08,8.5,6.2,1.2,5.7
Devin Harris,DALNJN,07/08,14.8,2.7,5.8,5.6
Jameer Nelson,ORL,07/08,10.9,3.5,5.6,5.6
Leandro Barbosa,PHO,07/08,15.6,2.8,2.6,5.5
Al Horford,ATL,07/08,10.1,9.7,1.5,5.5
Al Harrington,GSW,07/08,13.6,5.4,1.6,5.4
Paul Millsap,UTA,07/08,8.1,5.6,1.0,5.2
Ben Gordon,CHI,07/08,18.6,3.1,3.0,5.1
Jamal Crawford,NYK,07/08,20.6,2.6,5.0,5.0
Mike Miller,MEM,07/08,16.4,6.7,3.4,5.0
Rudy Gay,MEM,07/08,20.1,6.2,2.0,5.0
Kenyon Martin,DEN,07/08,12.4,6.5,1.3,5.0
Rafer Alston,HOU,07/08,13.1,3.5,5.3,5.0
Keith Bogans,ORL,07/08,8.7,3.2,1.3,4.9
Maurice Evans,LALORL,07/08,8.9,2.9,1.1,4.9
Ryan Gomes,MIN,07/08,12.6,5.8,1.8,4.8
Andrew Bogut,MIL,07/08,14.3,9.8,2.6,4.8
Andrew Bynum,LAL,07/08,13.1,10.2,1.7,4.8
Linas Kleiza,DEN,07/08,11.1,4.2,1.2,4.7
Metta World Peace,SAC,07/08,20.5,5.8,3.5,4.7
Gerald Wallace,CHA,07/08,19.4,6.0,3.5,4.6
Stephen Jackson,GSW,07/08,20.1,4.4,4.1,4.6
Mikki Moore,SAC,07/08,8.5,6.0,1.0,4.6
Mo Williams,MIL,07/08,17.2,3.5,6.3,4.5
Nick Collison,SEA,07/08,9.8,9.4,1.4,4.5
Thaddeus Young,PHI,07/08,8.2,4.2,0.8,4.5
Raja Bell,PHO,07/08,11.9,3.7,2.2,4.5
Antonio Daniels,WAS,07/08,8.4,2.9,4.8,4.5
Chuck Hayes,HOU,07/08,3.0,5.4,1.2,4.4
Lou Williams,PHI,07/08,11.5,2.1,3.2,4.4
Bruce Bowen,SAS,07/08,6.0,2.9,1.1,4.4
Luol Deng,CHI,07/08,17.0,6.3,2.5,4.4
Leon Powe,BOS,07/08,7.9,4.1,0.3,4.3
Brandon Bass,DAL,07/08,8.3,4.4,0.7,4.3
Joel Przybilla,POR,07/08,4.8,8.4,0.4,4.3
Francisco García,SAC,07/08,12.3,3.3,1.6,4.2
Kyle Korver,PHIUTA,07/08,9.9,2.3,1.3,4.2
Ronny Turiaf,LAL,07/08,6.6,3.9,1.6,4.2
Michael Finley,SAS,07/08,10.1,3.1,1.4,4.2
Joe Smith,CHICLE,07/08,10.1,5.2,0.9,4.1
DeShawn Stevenson,WAS,07/08,11.2,2.9,3.1,4.1
Eduardo Nájera,DEN,07/08,5.9,4.3,1.2,4.1
Daniel Gibson,CLE,07/08,10.4,2.3,2.5,4.1
Kurt Thomas,SASSEA,07/08,6.3,7.2,1.0,4.1
Carlos Delfino,TOR,07/08,9.0,4.4,1.8,4.0
Jordan Farmar,LAL,07/08,9.1,2.2,2.7,3.9
Eddie House,BOS,07/08,7.5,2.1,1.9,3.9
Rasho Nesterović,TOR,07/08,7.8,4.8,1.2,3.9
Joakim Noah,CHI,07/08,6.6,5.6,1.1,3.8
Steve Blake,POR,07/08,8.5,2.4,5.1,3.8
Morris Peterson,NOH,07/08,8.0,2.7,0.9,3.8
Anthony Carter,DEN,07/08,7.8,2.9,5.5,3.8
J.R. Smith,DEN,07/08,12.3,2.1,1.7,3.7
Carl Landry,HOU,07/08,8.1,4.9,0.5,3.7
James Jones,POR,07/08,8.0,2.8,0.6,3.7
John Salmons,SAC,07/08,12.5,4.3,2.6,3.7
Josh Boone,NJN,07/08,8.2,7.3,0.8,3.7
Keyon Dooling,ORL,07/08,8.1,1.4,1.8,3.7
Sasha Vujačić,LAL,07/08,8.8,2.1,1.0,3.6
Ben Wallace,CHICLE,07/08,4.8,8.4,1.5,3.6
Chris Kaman,LAC,07/08,15.7,12.7,1.9,3.6
Kirk Hinrich,CHI,07/08,11.5,3.3,6.0,3.6
Craig Smith,MIN,07/08,9.4,4.6,0.8,3.5
Martell Webster,POR,07/08,10.7,3.9,1.2,3.5
Vladimir Radmanović,LAL,07/08,8.4,3.3,1.9,3.5
Luther Head,HOU,07/08,7.6,1.8,1.9,3.5
Roger Mason,WAS,07/08,9.0,1.6,1.7,3.4
Kyle Lowry,MEM,07/08,9.6,3.0,3.6,3.4
Kelenna Azubuike,GSW,07/08,8.5,4.0,0.9,3.4
Chris Wilcox,SEA,07/08,13.4,7.0,1.2,3.4
Nazr Mohammed,CHADET,07/08,7.8,6.0,0.9,3.4
Raymond Felton,CHA,07/08,14.4,3.0,7.4,3.4
Dwyane Wade,MIA,07/08,24.6,4.2,6.9,3.3
Drew Gooden,CHICLE,07/08,12.0,8.6,1.2,3.3
Hakim Warrick,MEM,07/08,11.4,4.7,0.7,3.3
T.J. Ford,TOR,07/08,12.1,2.0,6.1,3.3
Andrés Nocioni,CHI,07/08,13.2,4.2,1.2,3.3
Nate Robinson,NYK,07/08,12.7,3.1,2.9,3.2
Travis Outlaw,POR,07/08,13.3,4.6,1.3,3.2
Channing Frye,POR,07/08,6.8,4.5,0.7,3.2
Jarrett Jack,POR,07/08,9.9,2.9,3.8,3.2
Luke Walton,LAL,07/08,7.2,3.9,2.9,3.2
DeSagana Diop,DALNJN,07/08,2.9,5.0,0.5,3.0
Bobby Jackson,HOUNOH,07/08,7.7,2.5,1.9,3.0
Boris Diaw,PHO,07/08,8.8,4.6,3.9,3.0
Amir Johnson,DET,07/08,3.6,3.8,0.5,3.0
Damon Jones,CLE,07/08,6.5,1.1,1.9,3.0
Bonzi Wells,HOUNOH,07/08,9.1,4.5,1.3,3.0
Andray Blatche,WAS,07/08,7.5,5.2,1.1,3.0
Matt Carroll,CHA,07/08,9.0,2.8,0.9,3.0
Zach Randolph,NYK,07/08,17.6,10.3,2.0,3.0
Jared Dudley,CHA,07/08,5.8,3.9,1.1,2.9
Jarvis Hayes,DET,07/08,6.7,2.2,0.8,2.9
Earl Watson,SEA,07/08,10.7,2.9,6.8,2.9
Wally Szczerbiak,CLESEA,07/08,11.5,2.9,1.4,2.9
Mickaël Piétrus,GSW,07/08,7.2,3.7,0.7,2.8
Shaquille O'Neal,MIAPHO,07/08,13.6,9.1,1.5,2.8
Carlos Arroyo,ORL,07/08,6.9,1.8,3.5,2.8
Ime Udoka,SAS,07/08,5.8,3.1,0.9,2.8
Matt Harpring,UTA,07/08,8.2,3.2,1.1,2.8
Reggie Evans,PHI,07/08,5.2,7.5,0.8,2.7
Tony Allen,BOS,07/08,6.6,2.2,1.5,2.7
Chris Quinn,MIA,07/08,7.8,2.0,3.0,2.6
Glen Davis,BOS,07/08,4.5,3.0,0.4,2.5
Udonis Haslem,MIA,07/08,12.0,9.0,1.4,2.5
Travis Diener,IND,07/08,6.9,1.7,3.8,2.5
Sean Williams,NJN,07/08,5.6,4.4,0.4,2.5
Tyrus Thomas,CHI,07/08,6.8,4.6,1.2,2.4
Marko Jarić,MIN,07/08,8.3,3.0,4.1,2.4
Beno Udrih,SAC,07/08,12.8,3.3,4.3,2.4
Devin Brown,CLE,07/08,7.5,3.4,2.2,2.4
Anderson Varejão,CLE,07/08,6.7,8.3,1.1,2.4
Brent Barry,SAS,07/08,7.1,1.8,1.7,2.3
Chris Duhon,CHI,07/08,5.8,1.8,4.0,2.3
Dikembe Mutombo,HOU,07/08,3.0,5.1,0.1,2.3
Kevin Durant,SEA,07/08,20.3,4.4,2.4,2.3
Jerry Stackhouse,DAL,07/08,10.7,2.3,2.5,2.3
Matt Barnes,GSW,07/08,6.7,4.4,1.9,2.3
Stephen Curry,GSW,15/16,30.1,5.4,6.7,17.9
Kevin Durant,OKC,15/16,28.2,8.2,5.0,14.5
Russell Westbrook,OKC,15/16,23.5,7.8,10.4,14.0
Kawhi Leonard,SAS,15/16,21.2,6.8,2.6,13.7
LeBron James,CLE,15/16,25.3,7.4,6.8,13.6
James Harden,HOU,15/16,29.0,6.1,7.5,13.3
Chris Paul,LAC,15/16,19.5,4.2,10.0,12.7
Kyle Lowry,TOR,15/16,21.2,4.7,6.4,11.6
DeAndre Jordan,LAC,15/16,12.7,13.8,1.2,11.5
Draymond Green,GSW,15/16,14.0,9.5,7.4,11.1
Hassan Whiteside,MIA,15/16,14.2,11.8,0.4,10.3
LaMarcus Aldridge,SAS,15/16,18.0,8.5,1.5,10.1
Paul Millsap,ATL,15/16,17.1,9.0,3.3,10.1
Kemba Walker,CHO,15/16,20.9,4.4,5.2,9.9
DeMar DeRozan,TOR,15/16,23.5,4.5,4.0,9.9
Isaiah Thomas,BOS,15/16,22.2,3.0,6.2,9.7
Al Horford,ATL,15/16,15.2,7.3,3.2,9.4
Paul George,IND,15/16,23.1,7.0,4.1,9.2
Damian Lillard,POR,15/16,25.1,4.0,6.8,9.2
Jimmy Butler,CHI,15/16,20.9,5.3,4.8,9.1
Gordon Hayward,UTA,15/16,19.7,5.0,3.7,8.9
Tristan Thompson,CLE,15/16,7.8,9.0,0.8,8.7
Kevin Love,CLE,15/16,16.0,9.9,2.4,8.5
Karl-Anthony Towns,MIN,15/16,18.3,10.5,2.0,8.3
Enes Freedom,OKC,15/16,12.7,8.1,0.4,8.1
Klay Thompson,GSW,15/16,22.1,3.8,2.1,8.0
Marvin Williams,CHO,15/16,11.7,6.4,1.4,7.8
Greg Monroe,MIL,15/16,15.3,8.8,2.3,7.5
Andre Drummond,DET,15/16,16.2,14.8,0.8,7.4
Jae Crowder,BOS,15/16,14.2,5.1,1.8,7.3
Marcin Gortat,WAS,15/16,13.5,9.9,1.4,7.3
Anthony Davis,NOP,15/16,24.3,10.3,1.9,7.2
Derrick Favors,UTA,15/16,16.4,8.1,1.5,7.1
Pau Gasol,CHI,15/16,16.5,11.0,4.1,7.1
Giannis Antetokounmpo,MIL,15/16,16.9,7.6,4.3,7.1
Reggie Jackson,DET,15/16,18.8,3.2,6.2,6.9
Jonas Valančiūnas,TOR,15/16,12.8,9.1,0.7,6.9
Dirk Nowitzki,DAL,15/16,18.3,6.5,1.8,6.8
Ed Davis,POR,15/16,6.5,7.4,1.1,6.7
JJ Redick,LAC,15/16,16.3,1.9,1.4,6.7
Nikola Jokić,DEN,15/16,10.0,7.0,2.4,6.7
Tobias Harris,DETORL,15/16,14.7,6.7,2.2,6.6
Dwight Howard,HOU,15/16,13.7,11.8,1.4,6.6
Steven Adams,OKC,15/16,8.0,6.7,0.8,6.5
Rudy Gobert,UTA,15/16,9.1,11.0,1.5,6.4
Luol Deng,MIA,15/16,12.3,6.0,1.9,6.4
Chris Bosh,MIA,15/16,19.1,7.4,2.4,6.4
Carmelo Anthony,NYK,15/16,21.8,7.7,4.2,6.4
Danilo Gallinari,DEN,15/16,19.5,5.3,2.5,6.3
Cody Zeller,CHO,15/16,8.7,6.2,1.0,6.3
George Hill,IND,15/16,12.1,4.0,3.5,6.2
Ian Mahinmi,IND,15/16,9.3,7.1,1.5,6.2
Brook Lopez,BRK,15/16,20.6,7.8,2.0,6.2
Khris Middleton,MIL,15/16,18.2,3.8,4.2,6.1
Mason Plumlee,POR,15/16,9.1,7.7,2.8,6.1
CJ McCollum,POR,15/16,20.8,3.2,4.3,6.0
Zaza Pachulia,DAL,15/16,8.6,9.4,1.7,6.0
Rodney Hood,UTA,15/16,14.5,3.4,2.7,6.0
Amir Johnson,BOS,15/16,7.3,6.4,1.7,5.9
Bismack Biyombo,TOR,15/16,5.5,8.0,0.4,5.9
Jeff Teague,ATL,15/16,15.7,2.7,5.9,5.9
Gorgui Dieng,MIN,15/16,10.1,7.1,1.7,5.9
Tony Parker,SAS,15/16,11.9,2.4,5.3,5.8
Robin Lopez,NYK,15/16,10.3,7.3,1.4,5.8
Ricky Rubio,MIN,15/16,10.1,4.3,8.7,5.8
John Wall,WAS,15/16,19.9,4.9,10.2,5.7
DeMarcus Cousins,SAC,15/16,26.9,11.5,3.3,5.7
Evan Fournier,ORL,15/16,15.4,2.8,2.7,5.7
Otto Porter Jr.,WAS,15/16,11.6,5.2,1.6,5.6
Kenneth Faried,DEN,15/16,12.5,8.7,1.2,5.5
Serge Ibaka,OKC,15/16,12.6,6.8,0.8,5.5
J.R. Smith,CLE,15/16,12.4,2.8,1.7,5.5
Andrew Bogut,GSW,15/16,5.4,7.0,2.3,5.4
Marcus Morris,DET,15/16,14.1,5.0,2.5,5.4
Aaron Gordon,ORL,15/16,9.2,6.5,1.6,5.4
David West,SAS,15/16,7.1,4.0,1.8,5.4
Trevor Ariza,HOU,15/16,12.7,4.5,2.3,5.4
Taj Gibson,CHI,15/16,8.6,6.9,1.5,5.4
Kentavious Caldwell-Pope,DET,15/16,14.5,3.7,1.8,5.3
Mike Conley,MEM,15/16,15.3,2.9,6.1,5.3
Darren Collison,SAC,15/16,14.0,2.3,4.3,5.2
Tim Duncan,SAS,15/16,8.6,7.3,2.7,5.2
Nikola Vučević,ORL,15/16,18.2,8.9,2.8,5.2
Kyrie Irving,CLE,15/16,19.6,3.0,4.7,5.0
Nicolas Batum,CHO,15/16,14.9,6.1,5.8,5.0
