Player,Team,Season,PPG,RPG,APG
Gerald Green,HOU,17_18,12.1,3.2,0.6
Caris LeVert,BRK,17_18,12.1,3.7,4.2
DeAndre Jordan,LAC,17_18,12.0,15.2,1.5
Dirk Nowitzki,DAL,17_18,12.0,5.7,1.6
Courtney Lee,NYK,17_18,12.0,2.9,2.4
Andre Ingram,LAL,17_18,12.0,3.0,3.5
Robin Lopez,CHI,17_18,11.8,4.5,1.9
Thaddeus Young,IND,17_18,11.8,6.3,1.9
Kelly Oubre Jr.,WAS,17_18,11.8,4.5,1.2
Bogdan Bogdanović,SAC,17_18,11.8,2.9,3.3
Tyler Johnson,MIA,17_18,11.7,3.4,2.3
Trevor Ariza,HOU,17_18,11.7,4.4,1.6
Domantas Sabonis,IND,17_18,11.6,7.7,2.0
J.J. Barea,DAL,17_18,11.6,2.9,6.3
Nicolas Batum,CHO,17_18,11.6,4.8,5.5
De'Aaron Fox,SAC,17_18,11.6,2.8,4.4
Markieff Morris,WAS,17_18,11.5,5.6,1.9
Rudy Gay,SAS,17_18,11.5,5.1,1.3
Kelly Olynyk,MIA,17_18,11.5,5.7,2.7
Joe Ingles,UTA,17_18,11.5,4.2,4.8
Dwyane Wade,CLEMIA,17_18,11.4,3.8,3.4
Reggie Bullock,DET,17_18,11.3,2.5,1.5
Terry Rozier,BOS,17_18,11.3,4.7,2.9
Wayne Ellington,MIA,17_18,11.2,2.8,1.0
Frank Kaminsky,CHO,17_18,11.1,3.6,1.6
Draymond Green,GSW,17_18,11.0,7.6,7.3
Montrezl Harrell,LAC,17_18,11.0,4.0,1.0
Dillon Brooks,MEM,17_18,11.0,3.1,1.6
Ish Smith,DET,17_18,10.9,2.7,4.4
Ersan İlyasova,ATLPHI,17_18,10.9,5.9,1.3
Jeff Green,CLE,17_18,10.8,3.2,1.3
Joe Harris,BRK,17_18,10.8,3.3,1.6
James Johnson,MIA,17_18,10.8,4.9,3.8
Damion Lee,ATL,17_18,10.7,4.7,1.9
John Collins,ATL,17_18,10.5,7.3,1.3
JaMychal Green,MEM,17_18,10.3,8.4,1.4
Jamal Crawford,MIN,17_18,10.3,1.2,2.3
Greg Monroe,BOSMILPHO,17_18,10.3,6.9,2.2
Yogi Ferrell,DAL,17_18,10.2,3.0,2.5
D.J. Augustin,ORL,17_18,10.2,2.1,3.8
Marcus Smart,BOS,17_18,10.2,3.5,4.8
Denzel Valentine,CHI,17_18,10.2,5.1,3.2
Lonzo Ball,LAL,17_18,10.2,6.9,7.2
Pau Gasol,SAS,17_18,10.1,8.0,3.1
Patty Mills,SAS,17_18,10.0,1.9,2.8
C.J. Miles,TOR,17_18,10.0,2.2,0.8
Wilson Chandler,DEN,17_18,10.0,5.4,2.1
George Hill,CLESAC,17_18,10.0,2.7,2.8
Dewayne Dedmon,ATL,17_18,10.0,7.9,1.5
Trey Lyles,DEN,17_18,9.9,4.8,1.2
Tyrone Wallace,LAC,17_18,9.7,3.5,2.4
Jae Crowder,CLEUTA,17_18,9.7,3.4,1.2
Mario Hezonja,ORL,17_18,9.6,3.7,1.4
Marvin Williams,CHO,17_18,9.5,4.7,1.2
Miloš Teodosić,LAC,17_18,9.5,2.8,4.6
Andrew Harrison,MEM,17_18,9.5,2.3,3.2
Quinn Cook,GSW,17_18,9.5,2.5,2.7
Ryan Anderson,HOU,17_18,9.3,5.0,0.9
Al-Farouq Aminu,POR,17_18,9.3,7.6,1.2
Mike James,NOPPHO,17_18,9.3,2.5,3.5
Wayne Selden,MEM,17_18,9.3,1.6,1.9
Lance Stephenson,IND,17_18,9.2,5.2,2.9
Kyle Korver,CLE,17_18,9.2,2.3,1.2
Michael Kidd-Gilchrist,CHO,17_18,9.2,4.1,1.0
Troy Daniels,PHO,17_18,8.9,1.6,0.6
Anthony Tolliver,DET,17_18,8.9,3.1,1.1
Manu Ginóbili,SAS,17_18,8.9,2.2,2.5
Cameron Payne,CHI,17_18,8.8,2.8,4.5
Mike Scott,WAS,17_18,8.8,3.2,1.1
John Henson,MIL,17_18,8.8,6.8,1.5
Johnathan Motley,DAL,17_18,8.7,4.5,0.6
Skal Labissière,SAC,17_18,8.7,4.8,1.2
Terrence Ross,ORL,17_18,8.7,3.0,1.6
Shabazz Napier,POR,17_18,8.7,2.3,2.0
Larry Nance Jr.,CLELAL,17_18,8.7,6.8,1.2
