Player,Team,Season,PPG,RPG,APG,Win%,WS,MVP
Marvin Bagley III,SAC,18/19,14.9,7.6,1.0,0.476,3.6,0
Daniel Theis,BOS,18/19,5.7,3.4,1.0,0.598,3.5,0
Devin Booker,PHO,18/19,26.6,4.1,6.8,0.232,3.5,0
Cory Joseph,IND,18/19,6.5,3.4,3.9,0.585,3.5,0
Maxi Kleber,DAL,18/19,6.8,4.6,1.0,0.402,3.5,0
Patty Mills,SAS,18/19,9.9,2.2,3.0,0.585,3.5,0
Langston Galloway,DET,18/19,8.4,2.1,1.1,0.5,3.4,0
Maurice Harkless,POR,18/19,7.7,4.5,1.2,0.646,3.4,0
Shai Gilgeous-Alexander,LAC,18/19,10.8,2.8,3.3,0.585,3.3,0
Jaren Jackson Jr.,MEM,18/19,13.8,4.7,1.1,0.402,3.3,0
Jonas Jerebko,GSW,18/19,6.3,3.9,1.3,0.695,3.3,0
Dorian Finney-Smith,DAL,18/19,7.5,4.8,1.2,0.402,3.3,0
Royce O'Neale,UTA,18/19,5.2,3.5,1.5,0.61,3.3,0
Trae Young,ATL,18/19,19.1,3.7,8.1,0.354,3.3,0
Evan Fournier,ORL,18/19,15.1,3.2,3.6,0.512,3.2,0
Noah Vonleh,NYK,18/19,8.4,7.8,1.9,0.207,3.2,0
Terry Rozier,BOS,18/19,9.0,3.9,2.9,0.598,3.2,0
Alex Len,ATL,18/19,11.1,5.5,1.1,0.354,3.2,0
Tony Snell,MIL,18/19,6.0,2.1,0.9,0.732,3.2,0
DeMarre Carroll,BRK,18/19,11.1,5.2,1.3,0.512,3.1,0
Kyle Kuzma,LAL,18/19,18.7,5.5,2.5,0.451,3.1,0
Jake Layman,POR,18/19,7.6,3.1,0.7,0.646,3.1,0
Ersan İlyasova,MIL,18/19,6.8,4.5,0.8,0.732,3.0,0
Jaylen Brown,BOS,18/19,13.0,4.2,1.4,0.598,3.0,0
Torrey Craig,DEN,18/19,5.7,3.5,1.0,0.659,3.0,0
Meyers Leonard,POR,18/19,5.9,3.8,1.2,0.646,3.0,0
Juancho Hernangómez,DEN,18/19,5.8,3.8,0.8,0.659,3.0,0
Tyus Jones,MIN,18/19,6.9,2.0,4.8,0.439,3.0,0
Derrick Rose,MIN,18/19,18.0,2.7,4.3,0.439,3.0,0
Zach Collins,POR,18/19,6.6,4.2,0.9,0.646,2.9,0
Miles Bridges,CHO,18/19,7.5,4.0,1.2,0.476,2.9,0
Derrick Jones Jr.,MIA,18/19,7.0,4.0,0.6,0.476,2.9,0
Mikal Bridges,PHO,18/19,8.3,3.2,2.1,0.232,2.9,0
Doug McDermott,IND,18/19,7.3,1.4,0.9,0.585,2.9,0
Dennis Schröder,OKC,18/19,15.5,3.6,4.1,0.598,2.9,0
T.J. McConnell,PHI,18/19,6.4,2.3,3.4,0.622,2.9,0
Khem Birch,ORL,18/19,4.8,3.8,0.8,0.512,2.8,0
Gorgui Dieng,MIN,18/19,6.4,4.1,0.9,0.439,2.8,0
Terrance Ferguson,OKC,18/19,6.9,1.9,1.0,0.598,2.8,0
Zach LaVine,CHI,18/19,23.7,4.7,4.5,0.268,2.8,0
Justise Winslow,MIA,18/19,12.6,5.4,4.3,0.476,2.8,0
Lauri Markkanen,CHI,18/19,18.7,9.0,1.4,0.268,2.7,0
Bogdan Bogdanović,SAC,18/19,14.1,3.5,3.8,0.476,2.7,0
Robin Lopez,CHI,18/19,9.5,3.9,1.2,0.268,2.7,0
Kyle Anderson,MEM,18/19,8.0,5.8,3.0,0.402,2.7,0
Eric Gordon,HOU,18/19,16.2,2.2,1.9,0.646,2.6,0
Tristan Thompson,CLE,18/19,10.9,10.2,2.0,0.232,2.6,0
Cheick Diallo,NOP,18/19,6.0,5.2,0.5,0.402,2.6,0
Gary Harris,DEN,18/19,12.9,2.8,2.2,0.659,2.6,0
Willy Hernangómez,CHO,18/19,7.3,5.4,1.0,0.476,2.6,0
Jalen Brunson,DAL,18/19,9.3,2.3,3.2,0.402,2.6,0
Luke Kennard,DET,18/19,9.7,2.9,1.8,0.5,2.5,0
Marco Belinelli,SAS,18/19,10.5,2.5,1.7,0.585,2.5,0
Michael Kidd-Gilchrist,CHO,18/19,6.7,3.8,1.0,0.476,2.5,0
DeMarcus Cousins,GSW,18/19,16.3,8.2,3.6,0.695,2.4,0
Dwyane Wade,MIA,18/19,15.0,4.0,4.2,0.476,2.4,0
Norman Powell,TOR,18/19,8.6,2.3,1.5,0.707,2.4,0
Seth Curry,POR,18/19,7.9,1.6,0.9,0.646,2.4,0
Deron Williams,BRK,12/13,18.9,3.0,7.7,0.598,10.9,0
Blake Griffin,LAC,12/13,18.0,8.3,3.7,0.683,10.6,0
Mike Conley,MEM,12/13,14.6,2.8,6.1,0.683,9.9,0
George Hill,IND,12/13,14.2,3.7,4.7,0.605,9.7,0
Serge Ibaka,OKC,12/13,13.2,7.7,0.5,0.732,9.4,0
Tyson Chandler,NYK,12/13,10.4,10.7,0.9,0.659,9.3,0
David West,IND,12/13,17.1,7.7,2.9,0.605,9.1,0
Paul George,IND,12/13,17.4,7.6,4.1,0.605,9.0,0
Chris Bosh,MIA,12/13,16.6,6.8,1.7,0.805,9.0,0
Brook Lopez,BRK,12/13,19.4,6.9,0.9,0.598,9.0,0
Al Horford,ATL,12/13,17.4,10.2,3.2,0.537,8.8,0
Tiago Splitter,SAS,12/13,10.3,6.4,1.6,0.707,8.2,0
Zach Randolph,MEM,12/13,15.4,11.2,1.4,0.683,7.9,0
Kenneth Faried,DEN,12/13,11.5,9.2,1.0,0.695,7.8,0
Al Jefferson,UTA,12/13,17.8,9.2,2.1,0.524,7.7,0
Paul Millsap,UTA,12/13,14.6,7.1,2.6,0.524,7.6,0
Dwight Howard,LAL,12/13,17.1,12.4,1.4,0.549,7.6,0
Thaddeus Young,PHI,12/13,14.8,7.5,1.6,0.415,7.4,0
Amir Johnson,TOR,12/13,10.0,7.5,1.5,0.415,7.3,0
Paul Pierce,BOS,12/13,18.6,6.3,4.8,0.506,7.2,0
Danilo Gallinari,DEN,12/13,16.2,5.2,2.5,0.695,7.2,0
LaMarcus Aldridge,POR,12/13,21.1,9.1,2.6,0.402,7.2,0
Jimmy Butler,CHI,12/13,8.6,4.0,1.4,0.549,7.0,0
Kevin Martin,OKC,12/13,14.0,2.3,1.4,0.732,7.0,0
Chandler Parsons,HOU,12/13,15.5,5.3,3.5,0.549,7.0,0
J.J. Hickson,POR,12/13,12.7,10.4,1.1,0.402,6.9,0
Thabo Sefolosha,OKC,12/13,7.6,3.9,1.5,0.732,6.8,0
Ersan İlyasova,MIL,12/13,13.2,7.1,1.6,0.463,6.7,0
J.R. Smith,NYK,12/13,18.1,5.3,2.7,0.659,6.7,0
Nikola Peković,MIN,12/13,16.3,8.8,0.9,0.378,6.7,0
Ryan Anderson,NOH,12/13,16.2,6.4,1.2,0.329,6.5,0
Kosta Koufos,DEN,12/13,8.0,6.9,0.4,0.695,6.5,0
Kyle Korver,ATL,12/13,10.9,4.0,2.0,0.537,6.4,0
Luol Deng,CHI,12/13,16.5,6.3,3.0,0.549,6.3,0
Martell Webster,WAS,12/13,11.4,3.9,1.9,0.354,6.3,0
Matt Barnes,LAC,12/13,10.3,4.6,1.5,0.683,6.3,0
Kawhi Leonard,SAS,12/13,11.9,6.0,1.6,0.707,6.2,0
Carl Landry,GSW,12/13,10.8,6.0,0.8,0.573,6.2,0
DeAndre Jordan,LAC,12/13,8.8,7.2,0.3,0.683,6.2,0
Roy Hibbert,IND,12/13,11.9,8.3,1.4,0.605,6.1,0
Anthony Davis,NOH,12/13,13.5,8.2,1.0,0.329,6.1,0
Jeff Teague,ATL,12/13,14.6,2.2,7.2,0.537,6.1,0
Larry Sanders,MIL,12/13,9.8,9.5,1.2,0.463,6.0,0
Andrei Kirilenko,MIN,12/13,12.4,5.7,2.8,0.378,6.0,0
Vince Carter,DAL,12/13,13.4,4.1,2.4,0.5,6.0,0
Greg Monroe,DET,12/13,16.0,9.6,3.5,0.354,5.9,0
Nate Robinson,CHI,12/13,13.1,2.2,4.4,0.549,5.9,0
Danny Green,SAS,12/13,10.5,3.0,1.8,0.707,5.9,0
Damian Lillard,POR,12/13,19.0,3.1,6.5,0.402,5.8,0
Brandon Jennings,MIL,12/13,17.5,3.1,6.5,0.463,5.8,0
Nicolas Batum,POR,12/13,14.3,5.6,4.9,0.402,5.8,0
Goran Dragić,PHO,12/13,14.7,3.1,7.4,0.305,5.7,0
Carlos Boozer,CHI,12/13,16.2,9.8,2.3,0.549,5.7,0
Nikola Vučević,ORL,12/13,13.1,11.9,1.9,0.244,5.7,0
Darren Collison,DAL,12/13,12.0,2.7,5.1,0.5,5.6,0
Andre Iguodala,DEN,12/13,13.0,5.3,5.4,0.695,5.6,0
Jarrett Jack,GSW,12/13,12.9,3.1,5.6,0.573,5.6,0
Kyle Lowry,TOR,12/13,11.6,4.7,6.4,0.415,5.6,0
Robin Lopez,NOH,12/13,11.3,5.6,0.8,0.329,5.6,0
Ömer Aşık,HOU,12/13,10.1,11.7,0.9,0.549,5.5,0
Lance Stephenson,IND,12/13,8.8,3.9,2.9,0.605,5.5,0
Jeremy Lin,HOU,12/13,13.4,3.0,6.1,0.549,5.4,0
Jason Kidd,NYK,12/13,6.0,4.2,3.3,0.659,5.4,0
Gordon Hayward,UTA,12/13,14.1,3.1,3.0,0.524,5.4,0
Jamal Crawford,LAC,12/13,16.5,1.7,2.5,0.683,5.4,0
Andre Miller,DEN,12/13,9.6,2.9,5.9,0.695,5.4,0
Ray Allen,MIA,12/13,10.9,2.7,1.7,0.805,5.4,0
Shawn Marion,DAL,12/13,12.1,7.8,2.4,0.5,5.3,0
Kyrie Irving,CLE,12/13,22.5,3.7,5.9,0.293,5.3,0
Tristan Thompson,CLE,12/13,11.7,9.4,1.3,0.293,5.2,0
Nick Collison,OKC,12/13,5.1,4.1,1.5,0.732,5.2,0
Mario Chalmers,MIA,12/13,8.6,2.2,3.5,0.805,5.2,0
Tony Allen,MEM,12/13,8.9,4.6,1.2,0.683,5.1,0
Joe Johnson,BRK,12/13,16.2,3.0,3.5,0.598,5.1,0
Isaiah Thomas,SAC,12/13,13.9,2.0,4.0,0.341,5.0,0
Dirk Nowitzki,DAL,12/13,17.3,6.8,2.5,0.5,5.0,0
Andray Blatche,BRK,12/13,10.3,5.1,1.0,0.598,4.9,0
Dorell Wright,PHI,12/13,9.2,3.8,1.9,0.415,4.9,0
JaVale McGee,DEN,12/13,9.1,4.8,0.3,0.695,4.9,0
Jared Dudley,PHO,12/13,10.9,3.1,2.6,0.305,4.8,0
Kemba Walker,CHO,12/13,17.7,3.5,5.7,0.256,4.8,0
Brandon Bass,BOS,12/13,8.7,5.2,1.0,0.506,4.7,0
DeMar DeRozan,TOR,12/13,18.1,3.9,2.5,0.415,4.7,0
Jeff Green,BOS,12/13,12.8,3.9,1.6,0.506,4.7,0
Wesley Matthews,POR,12/13,14.8,2.8,2.5,0.402,4.7,0
Monta Ellis,MIL,12/13,19.2,3.9,6.0,0.463,4.6,0
Metta World Peace,LAL,12/13,12.4,5.0,1.5,0.549,4.6,0
Manu Ginóbili,SAS,12/13,11.8,3.4,4.6,0.707,4.5,0
John Wall,WAS,12/13,18.5,4.0,7.6,0.354,4.5,0
Spencer Hawes,PHI,12/13,11.0,7.2,2.2,0.415,4.5,0
Emeka Okafor,WAS,12/13,9.7,8.8,1.2,0.354,4.5,0
Andre Drummond,DET,12/13,7.9,7.6,0.5,0.354,4.5,0
Shane Battier,MIA,12/13,6.6,2.3,1.0,0.805,4.4,0
Boris Diaw,SAS,12/13,5.8,3.4,2.4,0.707,4.4,0
Tyreke Evans,SAC,12/13,15.2,4.4,3.5,0.341,4.4,0
Mike Dunleavy,MIL,12/13,10.5,3.9,1.9,0.463,4.4,0
DeMarcus Cousins,SAC,12/13,17.1,9.9,2.7,0.341,4.4,0
Tyler Hansbrough,IND,12/13,7.0,4.6,0.4,0.605,4.4,0
Derrick Favors,UTA,12/13,9.4,7.1,1.0,0.524,4.4,0
Luis Scola,PHO,12/13,12.8,6.6,2.2,0.305,4.4,0
Luke Ridnour,MIN,12/13,11.5,2.5,3.8,0.378,4.3,0
Reggie Evans,BRK,12/13,4.5,11.1,0.5,0.598,4.3,0
Klay Thompson,GSW,12/13,16.6,3.7,2.2,0.573,4.3,0
Antawn Jamison,LAL,12/13,9.4,4.8,0.7,0.549,4.3,0
Steve Nash,LAL,12/13,12.7,2.8,6.7,0.549,4.3,0
Josh Smith,ATL,12/13,17.5,8.4,4.2,0.537,4.2,0
Raymond Felton,NYK,12/13,13.9,2.9,5.5,0.659,4.2,0
O.J. Mayo,DAL,12/13,15.3,3.5,4.4,0.5,4.2,0
Brandan Wright,DAL,12/13,8.5,4.1,0.6,0.5,4.1,0
Nenê,WAS,12/13,12.6,6.7,2.9,0.354,4.0,0
Jason Terry,BOS,12/13,10.1,2.0,2.5,0.506,4.0,0
Greg Smith,HOU,12/13,6.0,4.6,0.4,0.549,4.0,0
Jerryd Bayless,MEM,12/13,8.7,2.2,3.3,0.683,4.0,0
Steve Novak,NYK,12/13,6.6,1.9,0.4,0.659,4.0,0
Jonas Valančiūnas,TOR,12/13,8.9,6.0,0.7,0.415,3.9,0
Corey Brewer,DEN,12/13,12.1,2.9,1.5,0.695,3.9,0
C.J. Watson,BRK,12/13,6.8,1.8,2.0,0.598,3.8,0
Greivis Vásquez,NOH,12/13,13.9,4.3,9.0,0.329,3.8,0
Randy Foye,UTA,12/13,10.8,1.5,2.0,0.524,3.7,0
Eric Bledsoe,LAC,12/13,8.5,3.0,3.1,0.683,3.7,0
Pau Gasol,LAL,12/13,13.7,8.6,4.1,0.549,3.7,0
Jason Thompson,SAC,12/13,10.9,6.7,1.0,0.341,3.6,0
Caron Butler,LAC,12/13,10.4,2.9,1.0,0.683,3.6,0
Carlos Delfino,HOU,12/13,10.6,3.3,2.0,0.549,3.5,0
Dante Cunningham,MIN,12/13,8.7,5.1,0.8,0.378,3.5,0
Elton Brand,DAL,12/13,7.2,6.0,1.0,0.5,3.4,0
Marcin Gortat,PHO,12/13,11.1,8.5,1.2,0.305,3.4,0
Jrue Holiday,PHI,12/13,17.7,4.2,8.0,0.415,3.3,0
Courtney Lee,BOS,12/13,7.8,2.4,1.8,0.506,3.3,0
Taj Gibson,CHI,12/13,8.0,5.3,0.9,0.549,3.3,0
Devin Harris,ATL,12/13,9.9,2.0,3.4,0.537,3.3,0
Gerald Henderson,CHO,12/13,15.5,3.7,2.6,0.256,3.3,0
Anderson Varejão,CLE,12/13,14.1,14.4,3.4,0.293,3.3,0
Pablo Prigioni,NYK,12/13,3.5,1.8,3.0,0.659,3.2,0
Quincy Pondexter,MEM,12/13,6.4,2.2,1.0,0.683,3.2,0
Marcus Thornton,SAC,12/13,12.7,2.5,1.3,0.341,3.2,0
Rajon Rondo,BOS,12/13,13.7,5.6,11.1,0.506,3.2,0
Udonis Haslem,MIA,12/13,3.9,5.4,0.5,0.805,3.2,0
Al-Farouq Aminu,NOH,12/13,7.3,7.7,1.4,0.329,3.1,0
Chris Wilcox,BOS,12/13,4.2,3.0,0.4,0.506,3.1,0
Trevor Ariza,WAS,12/13,9.5,4.8,2.0,0.354,3.1,0
Kirk Hinrich,CHI,12/13,7.6,2.6,5.2,0.549,3.1,0
Gerald Wallace,BRK,12/13,7.7,4.6,2.6,0.598,3.1,0
DeMarre Carroll,UTA,12/13,6.0,2.8,0.9,0.524,3.1,0
Wilson Chandler,DEN,12/13,13.0,5.1,1.3,0.695,3.1,0
Derrick Williams,MIN,12/13,12.0,5.5,0.6,0.378,3.0,0
Ricky Rubio,MIN,12/13,10.7,4.0,7.3,0.378,3.0,0
Bradley Beal,WAS,12/13,13.9,3.8,2.4,0.354,3.0,0
Marco Belinelli,CHI,12/13,9.6,1.9,2.0,0.549,3.0,0
Jodie Meeks,LAL,12/13,7.9,2.2,0.9,0.549,3.0,0
P.J. Tucker,PHO,12/13,6.4,4.4,1.4,0.305,2.9,0
Ramon Sessions,CHO,12/13,14.4,2.8,3.8,0.256,2.9,0
D.J. Augustin,IND,12/13,4.7,1.2,2.2,0.605,2.8,0
Harrison Barnes,GSW,12/13,9.2,4.1,1.2,0.573,2.8,0
Zaza Pachulia,ATL,12/13,5.9,6.5,1.5,0.537,2.7,0
Lamar Odom,LAC,12/13,4.0,5.9,1.7,0.683,2.7,0
Amar'e Stoudemire,NYK,12/13,14.2,5.0,0.4,0.659,2.7,0
Jared Sullinger,BOS,12/13,6.0,5.9,0.8,0.506,2.7,0
Kris Humphries,BRK,12/13,5.8,5.6,0.5,0.598,2.7,0
Chris Andersen,MIA,12/13,4.9,4.1,0.4,0.805,2.7,0
Ekpe Udoh,MIL,12/13,4.2,3.3,0.6,0.463,2.7,0
C.J. Miles,CLE,12/13,11.2,2.7,1.0,0.293,2.6,0
Mike Miller,MIA,12/13,4.8,2.7,1.7,0.805,2.6,0
Willie Green,LAC,12/13,6.2,1.3,0.8,0.683,2.5,0
Kendrick Perkins,OKC,12/13,4.2,6.0,1.4,0.732,2.5,0
Matt Bonner,SAS,12/13,4.2,1.9,0.5,0.707,2.5,0
Reggie Jackson,OKC,12/13,5.3,2.4,1.7,0.732,2.5,0
Lavoy Allen,PHI,12/13,5.8,5.0,0.9,0.415,2.5,0
Rodney Stuckey,DET,12/13,11.5,2.8,3.6,0.354,2.5,0
Maurice Harkless,ORL,12/13,8.2,4.4,0.7,0.244,2.4,0
Meyers Leonard,POR,12/13,5.5,3.7,0.5,0.402,2.4,0
Lou Williams,ATL,12/13,14.1,2.1,3.6,0.537,2.4,0
Steve Blake,LAL,12/13,7.3,2.9,3.8,0.549,2.4,0
Pau Gasol,LAL,10/11,18.8,10.2,3.3,0.695,14.7,0
Paul Pierce,BOS,10/11,18.9,5.4,3.2,0.683,11.6,0
Kevin Love,MIN,10/11,20.2,15.2,2.5,0.207,11.4,0
LaMarcus Aldridge,POR,10/11,21.8,8.8,2.1,0.585,11.1,0
Zach Randolph,MEM,10/11,20.1,12.2,2.2,0.561,10.5,0
Chris Bosh,MIA,10/11,18.7,8.3,1.9,0.707,10.3,0
Lamar Odom,LAL,10/11,14.4,8.7,3.0,0.695,10.1,0
Al Horford,ATL,10/11,15.3,9.3,3.5,0.537,10.1,0
Ray Allen,BOS,10/11,16.5,3.4,2.7,0.683,10.0,0
Luol Deng,CHI,10/11,17.4,5.8,2.8,0.756,9.9,0
Nenê,DEN,10/11,14.5,7.6,2.0,0.61,9.6,0
Kevin Martin,HOU,10/11,23.4,3.2,2.5,0.524,9.5,0
Elton Brand,PHI,10/11,15.0,8.3,1.5,0.5,9.4,0
Russell Westbrook,OKC,10/11,21.9,4.6,8.2,0.671,9.4,0
Tyson Chandler,DAL,10/11,10.1,9.4,0.4,0.695,9.4,0
Kevin Garnett,BOS,10/11,14.9,8.9,2.4,0.683,9.0,0
Steve Nash,PHO,10/11,14.7,3.5,11.4,0.488,7.9,0
Marc Gasol,MEM,10/11,11.7,7.0,2.5,0.561,7.9,0
Al Jefferson,UTA,10/11,18.6,9.7,1.8,0.476,7.8,0
David West,NOH,10/11,18.9,7.6,2.3,0.561,7.8,0
Paul Millsap,UTA,10/11,17.3,7.6,2.5,0.476,7.7,0
Tim Duncan,SAS,10/11,13.4,8.9,2.7,0.744,7.7,0
Serge Ibaka,OKC,10/11,9.9,7.6,0.3,0.671,7.6,0
Wesley Matthews,POR,10/11,15.9,3.1,2.0,0.585,7.2,0
Beno Udrih,SAC,10/11,13.7,3.4,4.9,0.293,7.2,0
James Harden,OKC,10/11,12.2,3.1,2.1,0.671,7.1,0
Andre Miller,POR,10/11,12.7,3.7,7.0,0.585,7.0,0
Kyle Lowry,HOU,10/11,13.5,4.1,6.7,0.524,7.0,0
Danny Granger,IND,10/11,20.5,5.4,2.6,0.451,6.9,0
Joakim Noah,CHI,10/11,11.7,10.4,2.2,0.756,6.7,0
Andre Iguodala,PHI,10/11,14.1,5.8,6.3,0.5,6.7,0
Ty Lawson,DEN,10/11,11.7,2.6,4.7,0.61,6.7,0
Mike Conley,MEM,10/11,13.7,3.0,6.5,0.561,6.6,0
Stephen Curry,GSW,10/11,18.6,3.9,5.8,0.439,6.6,0
Nicolas Batum,POR,10/11,12.4,4.5,1.5,0.585,6.6,0
Greg Monroe,DET,10/11,9.4,7.5,1.3,0.366,6.6,0
Jameer Nelson,ORL,10/11,13.1,3.0,6.0,0.634,6.6,0
Andrew Bynum,LAL,10/11,11.3,9.4,1.4,0.695,6.6,0
Emeka Okafor,NOH,10/11,10.3,9.5,0.6,0.561,6.5,0
Jason Kidd,DAL,10/11,7.9,4.4,8.2,0.695,6.4,0
Ryan Anderson,ORL,10/11,10.6,5.5,0.8,0.634,6.4,0
Josh Smith,ATL,10/11,16.5,8.5,3.3,0.537,6.4,0
Chuck Hayes,HOU,10/11,7.9,8.1,2.7,0.524,6.3,0
Brook Lopez,NJN,10/11,20.4,6.0,1.6,0.293,6.3,0
Brandon Bass,ORL,10/11,11.2,5.6,0.8,0.634,6.3,0
Arron Afflalo,DEN,10/11,12.6,3.6,2.4,0.61,6.2,0
D.J. Augustin,CHO,10/11,14.4,2.7,6.1,0.415,6.2,0
Thaddeus Young,PHI,10/11,12.7,5.3,1.0,0.5,6.2,0
George Hill,SAS,10/11,11.6,2.6,2.5,0.744,6.1,0
David Lee,GSW,10/11,16.5,9.8,3.2,0.439,6.0,0
Monta Ellis,GSW,10/11,24.1,3.5,5.6,0.439,6.0,0
Richard Jefferson,SAS,10/11,11.0,3.8,1.3,0.744,5.9,0
Carlos Boozer,CHI,10/11,17.5,9.6,2.5,0.756,5.8,0
Dorell Wright,GSW,10/11,16.4,5.3,3.0,0.439,5.8,0
Jrue Holiday,PHI,10/11,14.0,4.0,6.5,0.5,5.7,0
Shawn Marion,DAL,10/11,12.5,6.9,1.4,0.695,5.6,0
Amir Johnson,TOR,10/11,9.6,6.4,1.1,0.268,5.6,0
Jared Dudley,PHO,10/11,10.6,3.9,1.3,0.488,5.6,0
Luis Scola,HOU,10/11,18.3,8.2,2.5,0.524,5.5,0
Rudy Gay,MEM,10/11,19.8,6.2,2.8,0.561,5.5,0
Ronnie Brewer,CHI,10/11,6.2,3.2,1.7,0.756,5.4,0
Andrew Bogut,MIL,10/11,12.8,11.1,2.0,0.427,5.4,0
Kris Humphries,NJN,10/11,10.0,10.4,1.1,0.293,5.4,0
Jason Terry,DAL,10/11,15.8,1.9,4.1,0.695,5.3,0
Eric Gordon,LAC,10/11,22.3,2.9,4.4,0.39,5.3,0
Landry Fields,NYK,10/11,9.7,6.4,1.9,0.512,5.3,0
JaVale McGee,WAS,10/11,10.1,8.0,0.5,0.28,5.3,0
DeAndre Jordan,LAC,10/11,7.1,7.2,0.5,0.39,5.2,0
Taj Gibson,CHI,10/11,7.1,5.7,0.7,0.756,5.2,0
Lou Williams,PHI,10/11,13.7,2.0,3.4,0.5,5.1,0
Jodie Meeks,PHI,10/11,10.5,2.3,1.1,0.5,5.1,0
Kyle Korver,CHI,10/11,8.3,1.8,1.5,0.756,5.1,0
Rodney Stuckey,DET,10/11,15.5,3.1,5.2,0.366,5.0,0
J.R. Smith,DEN,10/11,12.3,4.1,2.2,0.61,5.0,0
Glen Davis,BOS,10/11,11.7,5.4,1.2,0.683,4.9,0
Josh McRoberts,IND,10/11,7.4,5.3,2.1,0.451,4.9,0
Boris Diaw,CHO,10/11,11.3,5.0,4.1,0.415,4.8,0
DeJuan Blair,SAS,10/11,8.3,7.0,1.0,0.744,4.8,0
Luc Mbah a Moute,MIL,10/11,6.7,5.3,0.9,0.427,4.8,0
Channing Frye,PHO,10/11,12.7,6.7,1.2,0.488,4.7,0
Tony Allen,MEM,10/11,8.9,2.7,1.4,0.561,4.7,0
James Jones,MIA,10/11,5.9,2.0,0.5,0.707,4.7,0
Andrei Kirilenko,UTA,10/11,11.7,5.1,3.0,0.476,4.5,0
Mike Dunleavy,IND,10/11,11.2,4.5,1.7,0.451,4.5,0
JJ Redick,ORL,10/11,10.1,1.9,1.7,0.634,4.5,0
Metta World Peace,LAL,10/11,8.5,3.3,2.1,0.695,4.4,0
Ramon Sessions,CLE,10/11,13.3,3.1,5.2,0.232,4.4,0
Matt Bonner,SAS,10/11,7.3,3.6,0.9,0.744,4.4,0
Grant Hill,PHO,10/11,13.2,4.2,2.5,0.488,4.4,0
John Salmons,MIL,10/11,14.0,3.6,3.5,0.427,4.3,0
Darren Collison,IND,10/11,13.2,2.8,5.1,0.451,4.3,0
Joe Johnson,ATL,10/11,18.2,4.0,4.7,0.537,4.2,0
Toney Douglas,NYK,10/11,10.6,3.0,3.0,0.512,4.2,0
Thabo Sefolosha,OKC,10/11,5.1,4.4,1.4,0.671,4.1,0
Luke Ridnour,MIN,10/11,11.8,2.8,5.4,0.207,4.0,0
Marvin Williams,ATL,10/11,10.4,4.8,1.4,0.537,4.0,0
Ed Davis,TOR,10/11,7.7,7.1,0.6,0.268,4.0,0
Brandon Jennings,MIL,10/11,16.2,3.7,4.8,0.427,3.9,0
Ersan İlyasova,MIL,10/11,9.5,6.1,0.9,0.427,3.8,0
Rudy Fernández,POR,10/11,8.6,2.2,2.5,0.585,3.8,0
Tyler Hansbrough,IND,10/11,11.0,5.2,0.6,0.451,3.8,0
Darrell Arthur,MEM,10/11,9.1,4.3,0.7,0.561,3.8,0
Marcus Camby,POR,10/11,4.7,10.3,2.1,0.585,3.7,0
Derek Fisher,LAL,10/11,6.8,1.9,2.7,0.695,3.7,0
José Calderón,TOR,10/11,9.8,3.0,8.9,0.268,3.7,0
Reggie Williams,GSW,10/11,9.2,2.7,1.5,0.439,3.7,0
Roy Hibbert,IND,10/11,12.7,7.5,2.0,0.451,3.6,0
Keith Bogans,CHI,10/11,4.4,1.8,1.2,0.756,3.6,0
Nick Collison,OKC,10/11,4.6,4.5,1.0,0.671,3.6,0
Gary Neal,SAS,10/11,9.8,2.4,1.2,0.744,3.5,0
Carlos Delfino,MIL,10/11,11.5,4.1,2.3,0.427,3.5,0
Kwame Brown,CHO,10/11,7.9,6.8,0.7,0.415,3.5,0
Chase Budinger,HOU,10/11,9.8,3.6,1.6,0.524,3.4,0
Hakim Warrick,PHO,10/11,8.4,3.7,0.9,0.488,3.4,0
Marco Belinelli,NOH,10/11,10.4,1.9,1.2,0.561,3.4,0
Jamal Crawford,ATL,10/11,14.2,1.7,3.2,0.537,3.4,0
Corey Maggette,MIL,10/11,12.0,3.6,1.3,0.427,3.4,0
Trevor Ariza,NOH,10/11,11.0,5.4,2.2,0.561,3.4,0
Tayshaun Prince,DET,10/11,14.1,4.2,2.8,0.366,3.3,0
Joel Anthony,MIA,10/11,2.0,3.5,0.3,0.707,3.3,0
Anthony Tolliver,MIN,10/11,6.7,4.5,1.3,0.207,3.3,0
DeMar DeRozan,TOR,10/11,17.2,3.8,1.8,0.268,3.2,0
J.J. Barea,DAL,10/11,9.5,2.0,3.9,0.695,3.2,0
Kurt Thomas,CHI,10/11,4.1,5.8,1.2,0.756,3.2,0
Ronny Turiaf,NYK,10/11,4.2,3.2,1.4,0.512,3.2,0
Chris Andersen,DEN,10/11,5.6,4.9,0.4,0.61,3.2,0
Charlie Villanueva,DET,10/11,11.1,3.9,0.6,0.366,3.1,0
Zaza Pachulia,ATL,10/11,4.4,4.2,0.7,0.537,3.1,0
Shannon Brown,LAL,10/11,8.7,1.9,1.2,0.695,3.1,0
Antonio McDyess,SAS,10/11,5.3,5.4,1.2,0.744,3.0,0
Anthony Morrow,NJN,10/11,13.2,3.0,1.2,0.293,3.0,0
Matt Barnes,LAL,10/11,6.7,4.3,1.3,0.695,3.0,0
Francisco García,SAC,10/11,9.7,2.3,1.2,0.293,3.0,0
