Player,Team,Season,PPG,RPG,APG,Win%,WS,MVP,ORtg,DRtg,PER,BPM,USG%,VORP
Daniel Theis,BOS,18/19,5.7,3.4,1.0,0.598,3.5,0,128,107,17.0,0.0,15.8,0.5
Devin Booker,PHO,18/19,26.6,4.1,6.8,0.232,3.5,0,109,118,20.2,1.0,32.9,1.7
Cory Joseph,IND,18/19,6.5,3.4,3.9,0.585,3.5,0,105,107,11.0,-0.4,13.7,0.9
Maxi Kleber,DAL,18/19,6.8,4.6,1.0,0.402,3.5,0,115,109,13.1,0.4,13.5,0.9
Patty Mills,SAS,18/19,9.9,2.2,3.0,0.585,3.5,0,112,114,13.2,-0.3,18.5,0.8
Langston Galloway,DET,18/19,8.4,2.1,1.1,0.5,3.4,0,115,113,10.7,-1.5,16.1,0.2
Maurice Harkless,POR,18/19,7.7,4.5,1.2,0.646,3.4,0,114,108,13.2,0.7,13.9,1.0
Shai Gilgeous-Alexander,LAC,18/19,10.8,2.8,3.3,0.585,3.3,0,108,112,13.4,-0.5,18.3,0.8
Jaren Jackson Jr.,MEM,18/19,13.8,4.7,1.1,0.402,3.3,0,108,107,16.4,-0.3,22.8,0.7
Jonas Jerebko,GSW,18/19,6.3,3.9,1.3,0.695,3.3,0,120,111,13.5,-0.7,15.2,0.4
Dorian Finney-Smith,DAL,18/19,7.5,4.8,1.2,0.402,3.3,0,109,111,11.0,-1.4,14.0,0.3
Royce O'Neale,UTA,18/19,5.2,3.5,1.5,0.61,3.3,0,108,106,9.0,-0.5,11.0,0.6
Evan Fournier,ORL,18/19,15.1,3.2,3.6,0.512,3.2,0,104,111,12.3,-2.4,22.1,-0.3
Noah Vonleh,NYK,18/19,8.4,7.8,1.9,0.207,3.2,0,111,111,13.9,-0.7,14.8,0.6
Terry Rozier,BOS,18/19,9.0,3.9,2.9,0.598,3.2,0,106,108,12.9,-0.2,18.6,0.8
Alex Len,ATL,18/19,11.1,5.5,1.1,0.354,3.2,0,113,113,17.2,-1.2,22.1,0.3
Tony Snell,MIL,18/19,6.0,2.1,0.9,0.732,3.2,0,119,109,10.7,-0.7,12.9,0.4
DeMarre Carroll,BRK,18/19,11.1,5.2,1.3,0.512,3.1,0,110,111,12.1,-1.5,18.6,0.2
Kyle Kuzma,LAL,18/19,18.7,5.5,2.5,0.451,3.1,0,106,112,14.0,-1.4,23.8,0.4
Jake Layman,POR,18/19,7.6,3.1,0.7,0.646,3.1,0,118,112,13.5,-0.5,15.9,0.5
Ersan İlyasova,MIL,18/19,6.8,4.5,0.8,0.732,3.0,0,112,106,11.6,-2.3,15.7,-0.1
Jaylen Brown,BOS,18/19,13.0,4.2,1.4,0.598,3.0,0,104,109,13.5,-2.1,22.1,0.0
Torrey Craig,DEN,18/19,5.7,3.5,1.0,0.659,3.0,0,114,110,10.4,-1.9,12.4,0.0
Meyers Leonard,POR,18/19,5.9,3.8,1.2,0.646,3.0,0,129,111,15.8,1.8,14.8,0.8
Juancho Hernangómez,DEN,18/19,5.8,3.8,0.8,0.659,3.0,0,118,110,11.0,-1.1,12.2,0.3
Tyus Jones,MIN,18/19,6.9,2.0,4.8,0.439,3.0,0,116,114,13.7,-0.6,14.1,0.6
Derrick Rose,MIN,18/19,18.0,2.7,4.3,0.439,3.0,0,114,117,19.5,1.4,27.3,1.2
Zach Collins,POR,18/19,6.6,4.2,0.9,0.646,2.9,0,112,110,13.5,-1.2,16.6,0.3
Miles Bridges,CHO,18/19,7.5,4.0,1.2,0.476,2.9,0,111,112,13.1,-0.8,15.1,0.5
Derrick Jones Jr.,MIA,18/19,7.0,4.0,0.6,0.476,2.9,0,113,107,14.0,-0.5,15.6,0.4
Mikal Bridges,PHO,18/19,8.3,3.2,2.1,0.232,2.9,0,112,115,10.8,-1.6,12.2,0.3
Doug McDermott,IND,18/19,7.3,1.4,0.9,0.585,2.9,0,117,112,11.6,-1.4,16.3,0.2
Dennis Schröder,OKC,18/19,15.5,3.6,4.1,0.598,2.9,0,103,110,12.7,-2.0,24.2,0.0
T.J. McConnell,PHI,18/19,6.4,2.3,3.4,0.622,2.9,0,110,110,13.4,-0.9,15.0,0.4
Gorgui Dieng,MIN,18/19,6.4,4.1,0.9,0.439,2.8,0,114,108,18.1,0.6,19.6,0.7
Terrance Ferguson,OKC,18/19,6.9,1.9,1.0,0.598,2.8,0,112,112,6.4,-3.8,10.6,-0.9
Zach LaVine,CHI,18/19,23.7,4.7,4.5,0.268,2.8,0,106,115,18.7,0.8,30.5,1.5
Justise Winslow,MIA,18/19,12.6,5.4,4.3,0.476,2.8,0,102,108,12.8,-0.6,20.8,0.7
Lauri Markkanen,CHI,18/19,18.7,9.0,1.4,0.268,2.7,0,107,112,17.1,-0.2,25.1,0.7
Bogdan Bogdanović,SAC,18/19,14.1,3.5,3.8,0.476,2.7,0,107,113,14.1,-0.6,22.3,0.7
Robin Lopez,CHI,18/19,9.5,3.9,1.2,0.268,2.7,0,113,115,15.9,-1.9,18.6,0.0
Kyle Anderson,MEM,18/19,8.0,5.8,3.0,0.402,2.7,0,110,107,12.8,0.8,12.6,0.9
Eric Gordon,HOU,18/19,16.2,2.2,1.9,0.646,2.6,0,108,115,12.2,-1.3,22.0,0.4
Tristan Thompson,CLE,18/19,10.9,10.2,2.0,0.232,2.6,0,117,116,18.4,-0.5,17.7,0.4
Cheick Diallo,NOP,18/19,6.0,5.2,0.5,0.402,2.6,0,119,108,17.5,-0.9,16.0,0.2
Gary Harris,DEN,18/19,12.9,2.8,2.2,0.659,2.6,0,108,111,12.2,-1.6,20.0,0.2
Willy Hernangómez,CHO,18/19,7.3,5.4,1.0,0.476,2.6,0,118,111,20.4,-0.1,22.1,0.4
Jalen Brunson,DAL,18/19,9.3,2.3,3.2,0.402,2.6,0,110,114,12.8,-1.7,19.1,0.1
Luke Kennard,DET,18/19,9.7,2.9,1.8,0.5,2.5,0,110,112,11.9,-1.1,18.1,0.3
Marco Belinelli,SAS,18/19,10.5,2.5,1.7,0.585,2.5,0,109,114,11.9,-1.7,19.8,0.1
Michael Kidd-Gilchrist,CHO,18/19,6.7,3.8,1.0,0.476,2.5,0,115,112,13.3,-2.4,15.7,-0.1
DeMarcus Cousins,GSW,18/19,16.3,8.2,3.6,0.695,2.4,0,109,102,21.4,3.0,28.1,1.0
Dwyane Wade,MIA,18/19,15.0,4.0,4.2,0.476,2.4,0,102,109,15.8,0.6,27.9,1.2
Norman Powell,TOR,18/19,8.6,2.3,1.5,0.707,2.4,0,110,109,13.3,-0.7,19.0,0.4
Seth Curry,POR,18/19,7.9,1.6,0.9,0.646,2.4,0,113,114,11.4,-1.0,16.6,0.3
LeBron James,MIA,12/13,26.8,8.0,7.2,0.805,19.3,1,125,101,31.6,11.7,30.2,9.9
Blake Griffin,LAC,12/13,18.0,8.3,3.7,0.683,10.6,0,114,102,22.4,4.1,25.4,4.0
Mike Conley,MEM,12/13,14.6,2.8,6.1,0.683,9.9,0,111,100,18.3,4.6,21.0,4.6
George Hill,IND,12/13,14.2,3.7,4.7,0.605,9.7,0,117,102,16.6,3.3,18.8,3.5
Dwyane Wade,MIA,12/13,21.2,5.0,5.1,0.805,9.6,0,112,103,24.0,4.4,29.5,3.8
Serge Ibaka,OKC,12/13,13.2,7.7,0.5,0.732,9.4,0,117,101,19.4,1.5,18.1,2.2
Tony Parker,SAS,12/13,20.3,3.0,7.6,0.707,9.3,0,116,106,23.0,3.6,27.7,3.1
David Lee,GSW,12/13,18.5,11.2,3.5,0.573,9.1,0,110,104,19.2,1.8,23.2,2.8
David West,IND,12/13,17.1,7.7,2.9,0.605,9.1,0,110,99,20.1,4.0,24.4,3.7
Paul George,IND,12/13,17.4,7.6,4.1,0.605,9.0,0,104,97,16.8,3.8,23.5,4.4
Chris Bosh,MIA,12/13,16.6,6.8,1.7,0.805,9.0,0,114,103,20.0,1.3,22.7,2.1
Brook Lopez,BRK,12/13,19.4,6.9,0.9,0.598,9.0,0,114,105,24.7,3.2,28.6,3.0
Al Horford,ATL,12/13,17.4,10.2,3.2,0.537,8.8,0,110,102,19.8,1.9,21.8,2.7
Tim Duncan,SAS,12/13,17.8,9.9,2.7,0.707,8.3,0,107,95,24.4,5.3,27.8,3.8
Tiago Splitter,SAS,12/13,10.3,6.4,1.6,0.707,8.2,0,118,100,18.7,2.2,18.2,2.1
Zach Randolph,MEM,12/13,15.4,11.2,1.4,0.683,7.9,0,106,99,17.9,0.2,23.1,1.5
Kenneth Faried,DEN,12/13,11.5,9.2,1.0,0.695,7.8,0,116,102,18.5,1.1,17.7,1.7
Al Jefferson,UTA,12/13,17.8,9.2,2.1,0.524,7.7,0,109,104,20.9,2.4,25.3,2.8
Paul Millsap,UTA,12/13,14.6,7.1,2.6,0.524,7.6,0,112,104,19.8,2.7,22.4,2.8
Thaddeus Young,PHI,12/13,14.8,7.5,1.6,0.415,7.4,0,109,103,18.2,1.2,19.8,2.1
Ty Lawson,DEN,12/13,16.7,2.7,6.9,0.695,7.4,0,113,109,17.9,2.0,22.3,2.5
Joakim Noah,CHI,12/13,11.9,11.1,4.0,0.549,7.3,0,107,99,18.1,3.4,17.2,3.3
Amir Johnson,TOR,12/13,10.0,7.5,1.5,0.415,7.3,0,116,104,17.3,1.0,16.1,1.8
Paul Pierce,BOS,12/13,18.6,6.3,4.8,0.506,7.2,0,106,102,19.1,3.6,27.4,3.6
Danilo Gallinari,DEN,12/13,16.2,5.2,2.5,0.695,7.2,0,116,107,16.7,2.8,21.3,2.8
LaMarcus Aldridge,POR,12/13,21.1,9.1,2.6,0.402,7.2,0,108,107,20.4,1.3,26.5,2.3
Jimmy Butler,CHI,12/13,8.6,4.0,1.4,0.549,7.0,0,121,104,15.2,2.0,14.6,2.1
Kevin Martin,OKC,12/13,14.0,2.3,1.4,0.732,7.0,0,117,107,16.0,1.0,21.0,1.6
Chandler Parsons,HOU,12/13,15.5,5.3,3.5,0.549,7.0,0,113,108,15.3,2.0,18.3,2.8
J.J. Hickson,POR,12/13,12.7,10.4,1.1,0.402,6.9,0,113,106,19.7,0.2,19.9,1.3
Thabo Sefolosha,OKC,12/13,7.6,3.9,1.5,0.732,6.8,0,121,103,12.8,2.4,11.4,2.5
Ersan İlyasova,MIL,12/13,13.2,7.1,1.6,0.463,6.7,0,114,104,18.3,2.0,20.5,2.0
J.R. Smith,NYK,12/13,18.1,5.3,2.7,0.659,6.7,0,107,106,17.6,1.3,26.5,2.2
Nikola Peković,MIN,12/13,16.3,8.8,0.9,0.378,6.7,0,115,106,20.2,0.5,22.5,1.2
Ryan Anderson,NOP,12/13,16.2,6.4,1.2,0.329,6.5,0,114,112,18.1,2.0,24.0,2.5
Kosta Koufos,DEN,12/13,8.0,6.9,0.4,0.695,6.5,0,122,103,17.2,0.6,14.5,1.2
Kyle Korver,ATL,12/13,10.9,4.0,2.0,0.537,6.4,0,119,105,13.9,1.8,14.5,2.2
Luol Deng,CHI,12/13,16.5,6.3,3.0,0.549,6.3,0,105,105,15.1,0.8,21.5,2.0
Martell Webster,WAS,12/13,11.4,3.9,1.9,0.354,6.3,0,115,106,13.9,0.8,16.9,1.6
