Player,Team,Season,PPG,RPG,APG,Win%,WS,MVP,Standings
Luke Ridnour,MIL,09/10,10.4,1.7,4.0,0.561,6.2,0,9
Russell Westbrook,OKC,09/10,16.1,4.9,8.0,0.61,6.1,0,7
Udonis Haslem,MIA,09/10,9.9,8.1,0.7,0.573,6.0,0,8
Derrick Rose,CHI,09/10,20.8,3.8,6.0,0.5,6.0,0,12
Andrei Kirilenko,UTA,09/10,11.9,4.6,2.7,0.646,6.0,0,6
Richard Jefferson,SAS,09/10,12.3,4.4,2.0,0.61,6.0,0,7
Matt Barnes,ORL,09/10,8.8,5.5,1.7,0.72,5.9,0,2
Luol Deng,CHI,09/10,17.6,7.3,2.0,0.5,5.9,0,12
Chris Andersen,DEN,09/10,5.9,6.4,0.4,0.646,5.9,0,6
Ersan İlyasova,MIL,09/10,10.4,6.4,1.0,0.561,5.8,0,9
Quentin Richardson,MIA,09/10,8.9,4.9,1.2,0.573,5.8,0,8
Marvin Williams,ATL,09/10,10.1,5.1,1.1,0.646,5.7,0,6
O.J. Mayo,MEM,09/10,17.5,3.8,3.0,0.488,5.6,0,13
Mehmet Okur,UTA,09/10,13.5,7.1,1.6,0.646,5.6,0,6
Danilo Gallinari,NYK,09/10,15.1,4.9,1.7,0.354,5.6,0,16
Jermaine O'Neal,MIA,09/10,13.6,6.9,1.3,0.573,5.6,0,8
Aaron Brooks,HOU,09/10,19.6,2.6,5.3,0.512,5.5,0,11
Beno Udrih,SAC,09/10,12.9,2.8,4.7,0.305,5.5,0,19
Grant Hill,PHO,09/10,11.3,5.5,2.4,0.659,5.5,0,5
Emeka Okafor,NOH,09/10,10.4,9.0,0.7,0.451,5.5,0,14
Tyreke Evans,SAC,09/10,20.1,5.3,5.8,0.305,5.4,0,19
Jared Dudley,PHO,09/10,8.2,3.4,1.4,0.659,5.3,0,5
Metta World Peace,LAL,09/10,11.0,4.3,3.0,0.695,5.3,0,3
Kendrick Perkins,BOS,09/10,10.1,7.6,1.0,0.61,5.2,0,7
Samuel Dalembert,PHI,09/10,8.1,9.6,0.8,0.329,5.2,0,17
Lou Williams,PHI,09/10,14.0,2.9,4.2,0.329,5.2,0,17
Jameer Nelson,ORL,09/10,12.6,3.0,5.4,0.72,5.0,0,2
Shawn Marion,DAL,09/10,12.0,6.4,1.4,0.671,5.0,0,4
Anthony Parker,CLE,09/10,7.3,2.9,1.9,0.744,4.9,0,1
Kevin Love,MIN,09/10,14.0,11.0,2.3,0.183,4.9,0,20
Carlos Delfino,MIL,09/10,11.0,5.3,2.7,0.561,4.8,0,9
Jarrett Jack,TOR,09/10,11.4,2.7,5.0,0.488,4.8,0,13
Mike Bibby,ATL,09/10,9.1,2.3,3.9,0.646,4.8,0,6
Luc Mbah a Moute,MIL,09/10,6.2,5.5,1.1,0.561,4.7,0,9
Nick Collison,OKC,09/10,5.9,5.1,0.5,0.61,4.7,0,7
Ben Wallace,DET,09/10,5.5,8.7,1.5,0.329,4.7,0,17
Taj Gibson,CHI,09/10,9.0,7.5,0.9,0.5,4.7,0,12
Stephen Curry,GSW,09/10,17.5,4.4,5.9,0.317,4.7,0,18
Al Jefferson,MIN,09/10,17.1,9.2,1.8,0.183,4.6,0,20
Michael Beasley,MIA,09/10,14.8,6.4,1.3,0.573,4.6,0,8
Wesley Matthews,UTA,09/10,9.4,2.3,1.5,0.646,4.6,0,6
DeJuan Blair,SAS,09/10,7.8,6.4,0.8,0.61,4.6,0,7
Amir Johnson,TOR,09/10,6.2,4.8,0.6,0.488,4.5,0,13
Baron Davis,LAC,09/10,15.3,3.5,8.0,0.354,4.5,0,16
Jason Williams,ORL,09/10,6.0,1.5,3.6,0.72,4.5,0,2
James Harden,OKC,09/10,9.9,3.2,1.8,0.61,4.5,0,7
Jonas Jerebko,DET,09/10,9.3,6.0,0.7,0.329,4.4,0,17
Martell Webster,POR,09/10,9.4,3.3,0.8,0.61,4.4,0,7
Kyle Lowry,HOU,09/10,9.1,3.6,4.5,0.512,4.3,0,11
J.J. Hickson,CLE,09/10,8.5,4.9,0.5,0.744,4.3,0,1
Shane Battier,HOU,09/10,8.0,4.7,2.4,0.512,4.3,0,11
Dorell Wright,MIA,09/10,7.1,3.3,1.3,0.573,4.3,0,8
Arron Afflalo,DEN,09/10,8.8,3.1,1.7,0.646,4.3,0,6
Nenad Krstić,OKC,09/10,8.4,5.0,0.7,0.61,4.2,0,7
José Calderón,TOR,09/10,10.3,2.1,5.9,0.488,4.2,0,13
Andrea Bargnani,TOR,09/10,17.2,6.2,1.2,0.488,4.2,0,13
Brandon Jennings,MIL,09/10,15.5,3.4,5.7,0.561,4.2,0,9
Roy Hibbert,IND,09/10,11.7,5.7,2.0,0.39,4.1,0,15
Thabo Sefolosha,OKC,09/10,6.0,4.7,1.8,0.61,4.0,0,7
Marcus Thornton,NOH,09/10,14.5,2.9,1.6,0.451,4.0,0,14
Kirk Hinrich,CHI,09/10,10.9,3.5,4.5,0.5,4.0,0,12
Mike Conley,MEM,09/10,12.0,2.4,5.3,0.488,4.0,0,13
Jason Thompson,SAC,09/10,12.5,8.5,1.7,0.305,4.0,0,19
Brad Miller,CHI,09/10,8.8,4.9,1.9,0.5,4.0,0,12
Derek Fisher,LAL,09/10,7.5,2.1,2.5,0.695,3.9,0,3
Mike Miller,WAS,09/10,10.9,6.2,3.9,0.317,3.9,0,18
Erick Dampier,DAL,09/10,6.0,7.3,0.6,0.671,3.7,0,4
Ty Lawson,DEN,09/10,8.3,1.9,3.1,0.646,3.7,0,6
Carlos Arroyo,MIA,09/10,6.1,1.8,3.1,0.573,3.7,0,8
Serge Ibaka,OKC,09/10,6.3,5.4,0.1,0.61,3.7,0,7
Matt Bonner,SAS,09/10,7.0,3.3,1.0,0.61,3.7,0,7
Mickaël Piétrus,ORL,09/10,8.7,2.9,0.7,0.72,3.6,0,2
Tony Parker,SAS,09/10,16.0,2.4,5.7,0.61,3.6,0,7
Chuck Hayes,HOU,09/10,4.4,5.7,1.7,0.512,3.6,0,11
Rasheed Wallace,BOS,09/10,9.0,4.1,1.0,0.61,3.6,0,7
Nazr Mohammed,CHO,09/10,7.9,5.2,0.5,0.537,3.6,0,10
Charlie Villanueva,DET,09/10,11.9,4.7,0.7,0.329,3.5,0,17
Anthony Morrow,GSW,09/10,13.0,3.8,1.5,0.317,3.5,0,18
Al Harrington,NYK,09/10,17.7,5.6,1.5,0.354,3.5,0,16
Elton Brand,PHI,09/10,13.1,6.1,1.4,0.329,3.5,0,17
Nicolas Batum,POR,09/10,10.1,3.8,1.2,0.61,3.5,0,7
Marcin Gortat,ORL,09/10,3.6,4.2,0.2,0.72,3.4,0,2
Andray Blatche,WAS,09/10,14.1,6.3,2.1,0.317,3.4,0,18
Shannon Brown,LAL,09/10,8.1,2.2,1.3,0.695,3.4,0,3
Hedo Türkoğlu,TOR,09/10,11.3,4.6,4.1,0.488,3.4,0,13
Delonte West,CLE,09/10,8.8,2.8,3.3,0.744,3.3,0,1
Kenyon Martin,DEN,09/10,11.5,9.4,1.9,0.646,3.3,0,6
Robin Lopez,PHO,09/10,8.4,4.9,0.1,0.659,3.2,0,5
Eric Gordon,LAC,09/10,16.9,2.6,3.0,0.354,3.2,0,16
Trevor Ariza,HOU,09/10,14.9,5.6,3.8,0.512,3.2,0,11
Tayshaun Prince,DET,09/10,13.5,5.1,3.3,0.329,3.2,0,17
Antonio McDyess,SAS,09/10,5.8,5.9,1.1,0.61,3.2,0,7
Maurice Evans,ATL,09/10,5.7,1.9,0.6,0.646,3.1,0,6
Courtney Lee,NJN,09/10,12.5,3.5,1.7,0.146,3.1,0,21
Chase Budinger,HOU,09/10,8.9,3.0,1.2,0.512,3.1,0,11
C.J. Watson,GSW,09/10,10.3,2.6,2.8,0.317,3.1,0,18
Shaquille O'Neal,CLE,09/10,12.0,6.7,1.5,0.744,3.1,0,1
Joel Anthony,MIA,09/10,2.7,3.1,0.2,0.573,3.1,0,8
Ryan Anderson,ORL,09/10,7.7,3.2,0.6,0.72,3.1,0,2
Rudy Fernández,POR,09/10,8.1,2.6,2.0,0.61,3.0,0,7
Craig Smith,LAC,09/10,7.8,3.8,1.1,0.354,3.0,0,16
Darren Collison,NOH,09/10,12.4,2.5,5.7,0.451,2.9,0,14
Tyson Chandler,CHO,09/10,6.5,6.3,0.3,0.537,2.9,0,10
Lou Amundson,PHO,09/10,4.7,4.4,0.4,0.659,2.9,0,5
Jamario Moon,CLE,09/10,4.9,3.1,0.8,0.744,2.9,0,1
Jordan Farmar,LAL,09/10,7.2,1.6,1.5,0.695,2.8,0,3
Goran Dragić,PHO,09/10,7.9,2.1,3.0,0.659,2.8,0,5
D.J. Augustin,CHO,09/10,6.4,1.2,2.4,0.537,2.8,0,10
Zaza Pachulia,ATL,09/10,4.3,3.8,0.5,0.646,2.7,0,6
Wilson Chandler,NYK,09/10,15.3,5.4,2.1,0.354,2.7,0,16
Peja Stojaković,NOH,09/10,12.6,3.7,1.5,0.451,2.7,0,14
Mario Chalmers,MIA,09/10,7.1,1.8,3.4,0.573,2.7,0,8
J.R. Smith,DEN,09/10,15.4,3.1,2.4,0.646,2.7,0,6
Rodney Stuckey,DET,09/10,16.6,3.8,4.8,0.329,2.7,0,17
Rasual Butler,LAC,09/10,11.9,2.9,1.4,0.354,2.7,0,16
Devin Harris,NJN,09/10,16.9,3.2,6.6,0.146,2.7,0,21
Jerryd Bayless,POR,09/10,8.5,1.6,2.3,0.61,2.7,0,7
Earl Watson,IND,09/10,7.8,3.0,5.1,0.39,2.6,0,15
Keith Bogans,SAS,09/10,4.4,2.2,1.2,0.61,2.6,0,7
Juwan Howard,POR,09/10,6.0,4.6,0.8,0.61,2.6,0,7
Daniel Gibson,CLE,09/10,6.3,1.3,1.2,0.744,2.6,0,1
Jason Maxiell,DET,09/10,6.8,5.3,0.5,0.329,2.6,0,17
Kyle Korver,UTA,09/10,7.2,2.1,1.7,0.646,2.6,0,6
Omri Casspi,SAC,09/10,10.3,4.5,1.2,0.305,2.5,0,19
Zydrunas Ilgauskas,CLE,09/10,7.4,5.4,0.8,0.744,2.5,0,1
Brandon Rush,IND,09/10,9.4,4.2,1.4,0.39,2.5,0,15
James Posey,NOH,09/10,5.2,4.3,1.5,0.451,2.4,0,14
DeAndre Jordan,LAC,14/15,11.5,15.0,0.7,0.683,12.8,0,3
Jimmy Butler,CHI,14/15,20.0,5.8,3.3,0.61,11.2,0,7
Damian Lillard,POR,14/15,21.0,4.6,6.2,0.622,10.6,0,6
Pau Gasol,CHI,14/15,18.5,11.8,2.7,0.61,10.4,0,7
Kyrie Irving,CLE,14/15,21.7,3.2,5.2,0.646,10.4,0,5
Tyson Chandler,DAL,14/15,10.3,11.5,1.1,0.61,10.3,0,7
Rudy Gobert,UTA,14/15,8.4,9.5,1.3,0.463,9.3,0,14
Kevin Love,CLE,14/15,16.4,9.7,2.2,0.646,8.7,0,5
Gordon Hayward,UTA,14/15,19.2,4.9,4.1,0.463,8.7,0,14
Al Horford,ATL,14/15,15.2,7.2,3.2,0.732,8.7,0,2
Marcin Gortat,WAS,14/15,12.2,8.7,1.2,0.561,8.6,0,9
Draymond Green,GSW,14/15,11.7,8.2,3.7,0.817,8.5,0,1
Derrick Favors,UTA,14/15,16.0,8.2,1.5,0.463,8.3,0,14
Paul Millsap,ATL,14/15,16.7,7.8,3.1,0.732,8.3,0,2
Jonas Valančiūnas,TOR,14/15,12.0,8.7,0.5,0.598,8.2,0,8
Danny Green,SAS,14/15,11.7,4.2,2.0,0.671,7.8,0,4
John Wall,WAS,14/15,17.6,4.6,10.0,0.561,7.8,0,9
Jeff Teague,ATL,14/15,15.9,2.5,7.0,0.732,7.7,0,2
Andre Drummond,DET,14/15,13.8,13.5,0.7,0.39,7.7,0,17
Kyle Korver,ATL,14/15,12.1,4.1,2.6,0.732,7.5,0,2
Dirk Nowitzki,DAL,14/15,17.3,5.9,1.9,0.61,7.2,0,7
Zach Randolph,MEM,14/15,16.1,10.5,2.2,0.671,7.2,0,4
Kyle Lowry,TOR,14/15,17.8,4.7,6.8,0.598,7.1,0,8
DeMarre Carroll,ATL,14/15,12.6,5.3,1.7,0.732,7.0,0,2
Nikola Vučević,ORL,14/15,19.3,10.9,2.0,0.305,7.0,0,20
Ty Lawson,DEN,14/15,15.2,3.1,9.6,0.366,7.0,0,18
Brook Lopez,BRK,14/15,17.2,7.4,0.7,0.463,7.0,0,14
Eric Bledsoe,PHO,14/15,17.0,5.2,6.1,0.476,7.0,0,13
Mike Conley,MEM,14/15,15.8,3.0,5.4,0.671,6.8,0,4
Greg Monroe,DET,14/15,15.9,10.2,2.1,0.39,6.8,0,17
Tristan Thompson,CLE,14/15,8.5,8.0,0.5,0.646,6.8,0,5
Harrison Barnes,GSW,14/15,10.1,5.5,1.4,0.817,6.7,0,1
JJ Redick,LAC,14/15,16.4,2.1,1.8,0.683,6.7,0,3
Khris Middleton,MIL,14/15,13.4,4.4,2.3,0.5,6.7,0,11
Lou Williams,TOR,14/15,15.5,1.9,2.0,0.598,6.6,0,8
Trevor Ariza,HOU,14/15,12.8,5.6,2.5,0.683,6.6,0,3
Tyler Zeller,BOS,14/15,10.2,5.7,1.4,0.488,6.5,0,12
Ed Davis,LAL,14/15,8.3,7.6,1.2,0.256,6.3,0,21
Giannis Antetokounmpo,MIL,14/15,12.7,6.7,2.6,0.5,6.2,0,11
Wesley Matthews,POR,14/15,15.9,3.7,2.3,0.622,6.2,0,6
Patrick Patterson,TOR,14/15,8.0,5.3,1.9,0.598,6.1,0,8
Rudy Gay,SAC,14/15,21.1,5.9,3.7,0.354,6.1,0,19
DeMarcus Cousins,SAC,14/15,24.1,12.7,3.6,0.354,6.0,0,19
Nikola Mirotić,CHI,14/15,10.2,4.9,1.2,0.61,5.7,0,7
Anthony Morrow,OKC,14/15,10.7,2.6,0.8,0.549,5.7,0,10
Kenneth Faried,DEN,14/15,12.6,8.9,1.2,0.366,5.6,0,18
Serge Ibaka,OKC,14/15,14.3,7.8,0.9,0.549,5.6,0,10
Joakim Noah,CHI,14/15,7.2,9.6,4.7,0.61,5.6,0,7
Chandler Parsons,DAL,14/15,15.7,4.9,2.4,0.61,5.5,0,7
Paul Pierce,WAS,14/15,11.9,4.0,2.0,0.561,5.5,0,9
George Hill,IND,14/15,16.1,4.2,5.1,0.463,5.4,0,14
Luol Deng,MIA,14/15,14.0,5.2,1.9,0.451,5.4,0,15
Brandon Bass,BOS,14/15,10.6,4.9,1.3,0.488,5.3,0,12
Hassan Whiteside,MIA,14/15,11.8,10.0,0.1,0.451,5.3,0,15
Andrew Bogut,GSW,14/15,6.3,8.1,2.7,0.817,5.2,0,1
Nicolas Batum,POR,14/15,9.4,5.9,4.8,0.622,5.2,0,6
Robin Lopez,POR,14/15,9.6,6.7,0.9,0.622,5.1,0,6
Amir Johnson,TOR,14/15,9.3,6.1,1.6,0.598,5.1,0,8
Andre Iguodala,GSW,14/15,7.8,3.3,3.0,0.817,5.1,0,1
Ömer Aşık,NOP,14/15,7.3,9.8,0.9,0.549,5.0,0,10
Gorgui Dieng,MIN,14/15,9.7,8.3,2.0,0.195,4.9,0,24
P.J. Tucker,PHO,14/15,9.1,6.4,1.6,0.476,4.9,0,13
Courtney Lee,MEM,14/15,10.1,2.3,2.0,0.671,4.8,0,4
Taj Gibson,CHI,14/15,10.3,6.4,1.1,0.61,4.8,0,7
Tobias Harris,ORL,14/15,17.1,6.3,1.8,0.305,4.8,0,20
Kevin Durant,OKC,14/15,25.4,6.6,4.1,0.549,4.8,0,10
Mason Plumlee,BRK,14/15,8.7,6.2,0.9,0.463,4.8,0,14
Al Jefferson,CHO,14/15,16.6,8.4,1.7,0.402,4.7,0,16
Donatas Motiejūnas,HOU,14/15,12.0,5.9,1.8,0.683,4.7,0,3
Tyreke Evans,NOP,14/15,16.6,5.3,6.6,0.549,4.6,0,10
Markieff Morris,PHO,14/15,15.3,6.2,2.3,0.476,4.6,0,13
Cory Joseph,SAS,14/15,6.8,2.4,2.4,0.671,4.5,0,4
Kemba Walker,CHO,14/15,17.3,3.5,5.1,0.402,4.5,0,16
Luis Scola,IND,14/15,9.4,6.5,1.3,0.463,4.4,0,14
Marvin Williams,CHO,14/15,7.4,4.9,1.3,0.402,4.3,0,16
Matt Barnes,LAC,14/15,10.1,4.0,1.5,0.683,4.3,0,3
David West,IND,14/15,11.7,6.8,3.4,0.463,4.3,0,14
Roy Hibbert,IND,14/15,10.6,7.1,1.1,0.463,4.2,0,14
Devin Harris,DAL,14/15,8.8,1.8,3.1,0.61,4.2,0,7
Zaza Pachulia,MIL,14/15,8.3,6.8,2.4,0.5,4.2,0,11
Jared Dudley,MIL,14/15,7.2,3.1,1.8,0.5,4.1,0,11
Mike Dunleavy,CHI,14/15,9.4,3.9,1.8,0.61,4.1,0,7
Steven Adams,OKC,14/15,7.7,7.5,0.9,0.549,4.1,0,10
Tony Allen,MEM,14/15,8.6,4.4,1.4,0.671,4.1,0,4
James Johnson,TOR,14/15,7.9,3.7,1.4,0.598,4.1,0,8
Joe Johnson,BRK,14/15,14.4,4.8,3.6,0.463,4.1,0,14
Tony Parker,SAS,14/15,14.4,1.9,4.9,0.671,4.1,0,4
Tiago Splitter,SAS,14/15,8.2,4.8,1.5,0.671,4.0,0,4
Rodney Stuckey,IND,14/15,12.6,3.5,3.1,0.463,4.0,0,14
Bismack Biyombo,CHO,14/15,4.8,6.4,0.2,0.402,4.0,0,16
Jared Sullinger,BOS,14/15,13.3,7.6,2.3,0.488,4.0,0,12
Ersan İlyasova,MIL,14/15,11.5,4.8,1.0,0.5,4.0,0,11
C.J. Watson,IND,14/15,10.0,2.9,3.6,0.463,4.0,0,14
Nerlens Noel,PHI,14/15,9.9,8.1,1.7,0.22,4.0,0,22
Marcus Morris,PHO,14/15,10.4,4.8,1.6,0.476,4.0,0,13
Marreese Speights,GSW,14/15,10.4,4.3,0.9,0.817,4.0,0,1
Robert Covington,PHI,14/15,13.5,4.5,1.5,0.22,4.0,0,22
DeMar DeRozan,TOR,14/15,20.1,4.6,3.5,0.598,4.0,0,8
Danilo Gallinari,DEN,14/15,12.4,3.7,1.4,0.366,3.9,0,18
Aron Baynes,SAS,14/15,6.6,4.5,0.5,0.671,3.9,0,4
Cody Zeller,CHO,14/15,7.6,5.8,1.6,0.402,3.8,0,16
Darren Collison,SAC,14/15,16.1,3.2,5.6,0.354,3.8,0,19
Michael Kidd-Gilchrist,CHO,14/15,10.9,7.6,1.4,0.402,3.8,0,16
Kris Humphries,WAS,14/15,8.0,6.5,0.9,0.561,3.8,0,9
Bradley Beal,WAS,14/15,15.3,3.8,3.1,0.561,3.7,0,9
Manu Ginóbili,SAS,14/15,10.5,3.0,4.2,0.671,3.7,0,4
Wilson Chandler,DEN,14/15,13.9,6.1,1.7,0.366,3.6,0,18
Boris Diaw,SAS,14/15,8.7,4.3,2.9,0.671,3.6,0,4
Deron Williams,BRK,14/15,13.0,3.5,6.6,0.463,3.6,0,14
Monta Ellis,DAL,14/15,18.9,2.4,4.1,0.61,3.6,0,7
John Henson,MIL,14/15,7.0,4.7,0.9,0.5,3.6,0,11
Chris Bosh,MIA,14/15,21.1,7.0,2.2,0.451,3.6,0,15
Jamal Crawford,LAC,14/15,15.8,1.9,2.5,0.683,3.6,0,3
Trevor Booker,UTA,14/15,7.2,5.0,1.1,0.463,3.6,0,14
C.J. Miles,IND,14/15,13.5,3.1,1.1,0.463,3.6,0,14
Gerald Henderson,CHO,14/15,12.1,3.4,2.6,0.402,3.6,0,16
Beno Udrih,MEM,14/15,7.7,1.8,2.8,0.671,3.6,0,4
Chris Andersen,MIA,14/15,5.3,5.0,0.7,0.451,3.6,0,15
Kelly Olynyk,BOS,14/15,10.2,4.7,1.7,0.488,3.6,0,12
Dwight Howard,HOU,14/15,15.8,10.5,1.2,0.683,3.6,0,3
Jason Terry,HOU,14/15,7.0,1.6,1.9,0.683,3.6,0,3
Solomon Hill,IND,14/15,8.9,3.8,2.2,0.463,3.5,0,14
Dwyane Wade,MIA,14/15,21.5,3.5,4.8,0.451,3.5,0,15
Ryan Anderson,NOP,14/15,13.7,4.8,0.9,0.549,3.5,0,10
Victor Oladipo,ORL,14/15,17.9,4.2,4.1,0.305,3.5,0,20
Patrick Beverley,HOU,14/15,10.1,4.2,3.4,0.683,3.5,0,3
Tyler Hansbrough,TOR,14/15,3.6,3.6,0.3,0.598,3.4,0,8
Alex Len,PHO,14/15,6.3,6.6,0.5,0.476,3.4,0,13
Jrue Holiday,NOP,14/15,14.8,3.4,6.8,0.549,3.4,0,10
Brandon Jennings,DET,14/15,15.4,2.5,6.6,0.39,3.3,0,17
Kosta Koufos,MEM,14/15,5.2,5.3,0.5,0.671,3.3,0,4
Al-Farouq Aminu,DAL,14/15,5.6,4.6,0.8,0.61,3.3,0,7
Chris Kaman,POR,14/15,8.6,6.5,0.9,0.622,3.3,0,6
Shaun Livingston,GSW,14/15,5.9,2.3,3.3,0.817,3.3,0,1
Aaron Brooks,CHI,14/15,11.6,2.0,3.2,0.61,3.3,0,7
Alexis Ajinça,NOP,14/15,6.5,4.6,0.7,0.549,3.2,0,10
David Lee,GSW,14/15,7.9,5.2,1.7,0.817,3.2,0,1
Jodie Meeks,DET,14/15,11.0,1.7,1.3,0.39,3.1,0,17
Nenê,WAS,14/15,11.0,5.1,1.8,0.561,3.0,0,9
Terrence Jones,HOU,14/15,11.7,6.7,1.1,0.683,3.0,0,3
Marcus Smart,BOS,14/15,7.8,3.3,3.1,0.488,2.9,0,12
Marco Belinelli,SAS,14/15,9.2,2.5,1.5,0.671,2.9,0,4
Carmelo Anthony,NYK,14/15,24.2,6.6,3.0,0.207,2.9,0,23
Eric Gordon,NOP,14/15,13.4,2.6,3.8,0.549,2.9,0,10
Lavoy Allen,IND,14/15,5.0,5.1,1.2,0.463,2.8,0,14
Kentavious Caldwell-Pope,DET,14/15,12.7,3.1,1.3,0.39,2.8,0,17
Leandro Barbosa,GSW,14/15,7.1,1.4,1.5,0.817,2.8,0,1
O.J. Mayo,MIL,14/15,11.4,2.6,2.8,0.5,2.8,0,11
Carl Landry,SAC,14/15,7.2,3.8,0.4,0.354,2.8,0,19
Meyers Leonard,POR,14/15,5.9,4.5,0.6,0.622,2.8,0,6
Mario Chalmers,MIA,14/15,10.2,2.6,3.8,0.451,2.8,0,15
Greivis Vásquez,TOR,14/15,9.5,2.6,3.7,0.598,2.8,0,8
Otto Porter Jr.,WAS,14/15,6.0,3.0,0.9,0.561,2.7,0,9
Alan Anderson,BRK,14/15,7.4,2.8,1.1,0.463,2.7,0,14
J.J. Barea,DAL,14/15,7.5,1.7,3.4,0.61,2.7,0,7
Omri Casspi,SAC,14/15,8.9,3.9,1.5,0.354,2.7,0,19
Mike Scott,ATL,14/15,7.8,2.9,1.1,0.732,2.7,0,2
Jeremy Lin,LAL,14/15,11.2,2.6,4.6,0.256,2.7,0,21
Rasual Butler,WAS,14/15,7.7,2.6,0.8,0.561,2.6,0,9
Jarrett Jack,BRK,14/15,12.0,3.1,4.7,0.463,2.6,0,14
Hollis Thompson,PHI,14/15,8.8,2.8,1.2,0.22,2.6,0,22
Evan Turner,BOS,14/15,9.5,5.1,5.5,0.488,2.5,0,12
Ben McLemore,SAC,14/15,12.1,2.9,1.7,0.354,2.5,0,19
Dennis Schröder,ATL,14/15,10.0,2.1,4.1,0.732,2.5,0,2
Avery Bradley,BOS,14/15,13.9,3.1,1.8,0.488,2.5,0,12
Thabo Sefolosha,ATL,14/15,5.3,4.3,1.4,0.732,2.5,0,2
Tony Snell,CHI,14/15,6.0,2.4,0.9,0.61,2.4,0,7
Jimmy Butler,MIA,20/21,21.5,6.9,7.1,0.556,9.3,0,9
Bam Adebayo,MIA,20/21,18.7,9.0,5.4,0.556,8.8,0,9
Zion Williamson,NOP,20/21,27.0,7.2,3.7,0.431,8.7,0,15
Deandre Ayton,PHO,20/21,14.4,10.5,1.4,0.708,8.4,0,2
Clint Capela,ATL,20/21,15.2,14.3,0.8,0.569,8.2,0,8
Mikal Bridges,PHO,20/21,13.5,4.3,2.1,0.708,8.0,0,2
Jonas Valančiūnas,MEM,20/21,17.1,12.5,1.8,0.528,7.8,0,11
Enes Freedom,POR,20/21,11.2,11.0,1.2,0.583,7.5,0,7
Kyrie Irving,BRK,20/21,26.9,4.8,6.0,0.667,7.4,0,4
DeMar DeRozan,SAS,20/21,21.6,4.2,6.9,0.458,7.4,0,14
Montrezl Harrell,LAL,20/21,13.5,6.2,1.1,0.583,7.3,0,7
Trae Young,ATL,20/21,25.3,3.9,9.4,0.569,7.2,0,8
Tobias Harris,PHI,20/21,19.5,6.8,3.5,0.681,7.1,0,3
Joe Ingles,UTA,20/21,12.1,3.6,4.7,0.722,7.0,0,1
Domantas Sabonis,IND,20/21,20.3,12.0,6.7,0.472,6.9,0,13
Ivica Zubac,LAC,20/21,9.0,7.2,1.2,0.653,6.9,0,5
Michael Porter Jr.,DEN,20/21,19.0,7.3,1.1,0.653,6.9,0,5
John Collins,ATL,20/21,17.6,7.4,1.2,0.569,6.7,0,8
Jrue Holiday,MIL,20/21,17.7,4.5,6.1,0.639,6.6,0,6
Jayson Tatum,BOS,20/21,26.4,7.4,4.3,0.5,6.5,0,12
Khris Middleton,MIL,20/21,20.4,6.0,5.4,0.639,6.4,0,6
Donovan Mitchell,UTA,20/21,26.4,4.4,5.2,0.722,6.2,0,1
Mike Conley,UTA,20/21,16.2,3.5,6.0,0.722,6.1,0,1
Richaun Holmes,SAC,20/21,14.2,8.3,1.7,0.431,6.1,0,15
Chris Boucher,TOR,20/21,13.6,6.7,1.0,0.375,6.1,0,16
Bradley Beal,WAS,20/21,31.3,4.7,4.4,0.472,5.9,0,13
Zach LaVine,CHI,20/21,27.4,5.0,4.9,0.431,5.9,0,15
Jakob Poeltl,SAS,20/21,8.6,7.9,1.9,0.458,5.7,0,14
Royce O'Neale,UTA,20/21,7.0,6.8,2.5,0.722,5.6,0,1
Kyle Anderson,MEM,20/21,12.4,5.7,3.6,0.528,5.6,0,11
Karl-Anthony Towns,MIN,20/21,24.8,10.6,4.5,0.319,5.4,0,17
Robert Williams,BOS,20/21,8.0,6.9,1.8,0.5,5.3,0,12
Paul George,LAC,20/21,23.3,6.6,5.2,0.653,5.3,0,5
Brook Lopez,MIL,20/21,12.3,5.0,0.7,0.639,5.3,0,6
Brandon Ingram,NOP,20/21,23.8,4.9,4.9,0.431,5.3,0,15
Terry Rozier,CHO,20/21,20.4,4.4,4.2,0.458,5.2,0,14
Joe Harris,BRK,20/21,14.1,3.6,1.9,0.667,5.2,0,4
Nerlens Noel,NYK,20/21,5.1,6.4,0.7,0.569,5.2,0,8
Bojan Bogdanović,UTA,20/21,17.0,3.9,1.9,0.722,5.2,0,1
Mason Plumlee,DET,20/21,10.4,9.3,3.6,0.278,5.1,0,19
Derrick Favors,UTA,20/21,5.4,5.5,0.6,0.722,5.1,0,1
Thaddeus Young,CHI,20/21,12.1,6.2,4.3,0.431,5.1,0,15
Jalen Brunson,DAL,20/21,12.6,3.4,3.5,0.583,5.1,0,7
Nicolas Batum,LAC,20/21,8.1,4.7,2.2,0.653,5.0,0,5
Kevin Durant,BRK,20/21,26.9,7.1,5.6,0.667,5.0,0,4
Devin Booker,PHO,20/21,25.6,4.2,4.3,0.708,4.9,0,2
Jaylen Brown,BOS,20/21,24.7,6.0,3.4,0.5,4.8,0,12
T.J. McConnell,IND,20/21,8.6,3.7,6.6,0.472,4.8,0,13
Bobby Portis,MIL,20/21,11.4,7.1,1.1,0.639,4.8,0,6
CJ McCollum,POR,20/21,23.1,3.9,4.7,0.583,4.7,0,7
Reggie Bullock,NYK,20/21,10.9,3.4,1.5,0.569,4.6,0,8
