Player,Team,Season,PPG,RPG,APG
Al Jefferson,CHO,14_15,16.6,8.4,1.7
Tyreke Evans,NOP,14_15,16.6,5.3,6.6
Kawhi Leonard,SAS,14_15,16.5,7.2,2.5
Isaiah Thomas,BOSPHO,14_15,16.4,2.3,4.2
Kevin Love,CLE,14_15,16.4,9.7,2.2
JJ Redick,LAC,14_15,16.4,2.1,1.8
Goran Dragić,MIAPHO,14_15,16.3,3.5,4.5
Darren Collison,SAC,14_15,16.1,3.2,5.6
Zach Randolph,MEM,14_15,16.1,10.5,2.2
George Hill,IND,14_15,16.1,4.2,5.1
Derrick Favors,UTA,14_15,16.0,8.2,1.5
Wesley Matthews,POR,14_15,15.9,3.7,2.3
Jeff Teague,ATL,14_15,15.9,2.5,7.0
Greg Monroe,DET,14_15,15.9,10.2,2.1
Mike Conley,MEM,14_15,15.8,3.0,5.4
Jamal Crawford,LAC,14_15,15.8,1.9,2.5
Dwight Howard,HOU,14_15,15.8,10.5,1.2
Chandler Parsons,DAL,14_15,15.7,4.9,2.4
Lou Williams,TOR,14_15,15.5,1.9,2.0
Enes Freedom,OKCUTA,14_15,15.5,8.9,0.7
Brandon Jennings,DET,14_15,15.4,2.5,6.6
Markieff Morris,PHO,14_15,15.3,6.2,2.3
Bradley Beal,WAS,14_15,15.3,3.8,3.1
Ty Lawson,DEN,14_15,15.2,3.1,9.6
Al Horford,ATL,14_15,15.2,7.2,3.2
Jeff Green,BOSMEM,14_15,15.0,4.2,1.7
Andrea Bargnani,NYK,14_15,14.8,4.4,1.6
Jrue Holiday,NOP,14_15,14.8,3.4,6.8
Michael Carter-Williams,MILPHI,14_15,14.6,5.3,6.7
Reggie Jackson,DETOKC,14_15,14.5,4.2,6.0
Joe Johnson,BRK,14_15,14.4,4.8,3.6
Tony Parker,SAS,14_15,14.4,1.9,4.9
Serge Ibaka,OKC,14_15,14.3,7.8,0.9
Mo Williams,CHOMIN,14_15,14.2,2.6,6.2
Thaddeus Young,BRKMIN,14_15,14.1,5.4,2.3
Luol Deng,MIA,14_15,14.0,5.2,1.9
Wilson Chandler,DEN,14_15,13.9,6.1,1.7
Avery Bradley,BOS,14_15,13.9,3.1,1.8
Tim Duncan,SAS,14_15,13.9,9.1,3.0
Alec Burks,UTA,14_15,13.9,4.2,3.0
Andre Drummond,DET,14_15,13.8,13.5,0.7
Ryan Anderson,NOP,14_15,13.7,4.8,0.9
Shabazz Muhammad,MIN,14_15,13.5,4.1,1.2
Robert Covington,PHI,14_15,13.5,4.5,1.5
C.J. Miles,IND,14_15,13.5,3.1,1.1
Eric Gordon,NOP,14_15,13.4,2.6,3.8
Nick Young,LAL,14_15,13.4,2.3,1.0
Khris Middleton,MIL,14_15,13.4,4.4,2.3
Jared Sullinger,BOS,14_15,13.3,7.6,2.3
Arron Afflalo,DENPOR,14_15,13.3,3.2,1.7
Deron Williams,BRK,14_15,13.0,3.5,6.6
Trey Burke,UTA,14_15,12.8,2.7,4.3
Trevor Ariza,HOU,14_15,12.8,5.6,2.5
Kentavious Caldwell-Pope,DET,14_15,12.7,3.1,1.3
Giannis Antetokounmpo,MIL,14_15,12.7,6.7,2.6
Rodney Stuckey,IND,14_15,12.6,3.5,3.1
DeMarre Carroll,ATL,14_15,12.6,5.3,1.7
Kenneth Faried,DEN,14_15,12.6,8.9,1.2
Nikola Peković,MIN,14_15,12.5,7.5,0.9
Danilo Gallinari,DEN,14_15,12.4,3.7,1.4
Josh Smith,DETHOU,14_15,12.4,6.4,3.3
Jabari Parker,MIL,14_15,12.3,5.5,1.7
Marcin Gortat,WAS,14_15,12.2,8.7,1.2
Kyle Korver,ATL,14_15,12.1,4.1,2.6
Ben McLemore,SAC,14_15,12.1,2.9,1.7
Gerald Henderson,CHO,14_15,12.1,3.4,2.6
J.R. Smith,CLENYK,14_15,12.1,3.1,2.8
Donatas Motiejūnas,HOU,14_15,12.0,5.9,1.8
Jonas Valančiūnas,TOR,14_15,12.0,8.7,0.5
Evan Fournier,ORL,14_15,12.0,2.6,2.1
Jordan Hill,LAL,14_15,12.0,7.9,1.5
Jarrett Jack,BRK,14_15,12.0,3.1,4.7
Jabari Brown,LAL,14_15,11.9,1.9,2.1
Gerald Green,PHO,14_15,11.9,2.5,1.2
Jordan Clarkson,LAL,14_15,11.9,3.2,3.5
Paul Pierce,WAS,14_15,11.9,4.0,2.0
Langston Galloway,NYK,14_15,11.8,4.2,3.3
Carlos Boozer,LAL,14_15,11.8,6.8,1.3
Dion Waiters,CLEOKC,14_15,11.8,2.4,2.0
Hassan Whiteside,MIA,14_15,11.8,10.0,0.1
Terrence Jones,HOU,14_15,11.7,6.7,1.1
Danny Green,SAS,14_15,11.7,4.2,2.0
Draymond Green,GSW,14_15,11.7,8.2,3.7
David West,IND,14_15,11.7,6.8,3.4
Aaron Brooks,CHI,14_15,11.6,2.0,3.2
DeAndre Jordan,LAC,14_15,11.5,15.0,0.7
Ersan İlyasova,MIL,14_15,11.5,4.8,1.0
Amar'e Stoudemire,DALNYK,14_15,11.5,5.6,0.8
Tim Hardaway Jr.,NYK,14_15,11.5,2.2,1.8
Corey Brewer,HOUMIN,14_15,11.5,3.7,2.2
O.J. Mayo,MIL,14_15,11.4,2.6,2.8
Jeremy Lin,LAL,14_15,11.2,2.6,4.6
Jodie Meeks,DET,14_15,11.1,1.7,1.3
Vander Blue,LAL,14_15,11.0,4.5,4.0
Nenê,WAS,14_15,11.0,5.1,1.8
Michael Kidd-Gilchrist,CHO,14_15,10.9,7.6,1.4
Anthony Morrow,OKC,14_15,10.7,2.6,0.8
Brandon Bass,BOS,14_15,10.6,4.9,1.3
Roy Hibbert,IND,14_15,10.6,7.1,1.1
Manu Ginóbili,SAS,14_15,10.5,3.0,4.2
Marcus Morris,PHO,14_15,10.4,4.8,1.6
Marreese Speights,GSW,14_15,10.4,4.3,0.9
Alexey Shved,HOUNYKPHI,14_15,10.3,2.4,2.5
Taj Gibson,CHI,14_15,10.3,6.4,1.1
Tyson Chandler,DAL,14_15,10.3,11.5,1.1
Ricky Rubio,MIN,14_15,10.3,5.7,8.8
Kelly Olynyk,BOS,14_15,10.3,4.7,1.7
Mario Chalmers,MIA,14_15,10.2,2.6,3.8
Nikola Mirotić,CHI,14_15,10.2,4.9,1.2
Tyler Zeller,BOS,14_15,10.2,5.7,1.4
Patrick Beverley,HOU,14_15,10.1,4.2,3.4
Zach LaVine,MIN,14_15,10.1,2.8,3.6
Courtney Lee,MEM,14_15,10.1,2.3,2.0
Harrison Barnes,GSW,14_15,10.1,5.5,1.4
Gary Neal,CHOMIN,14_15,10.1,2.4,1.9
Matt Barnes,LAC,14_15,10.1,4.0,1.5
Wayne Ellington,LAL,14_15,10.0,3.2,1.6
C.J. Watson,IND,14_15,10.0,2.9,3.6
Dennis Schröder,ATL,14_15,10.0,2.1,4.1
Nerlens Noel,PHI,14_15,9.9,8.1,1.7
Wesley Johnson,LAL,14_15,9.9,4.2,1.6
Luc Mbah a Moute,PHI,14_15,9.9,4.9,1.6
Terrence Ross,TOR,14_15,9.8,2.8,1.0
Anderson Varejão,CLE,14_15,9.8,6.5,1.3
Gorgui Dieng,MIN,14_15,9.7,8.3,2.0
Timofey Mozgov,CLEDEN,14_15,9.7,7.3,0.7
Robin Lopez,POR,14_15,9.6,6.7,0.9
Evan Turner,BOS,14_15,9.5,5.1,5.5
D.J. Augustin,DETOKC,14_15,9.5,2.0,4.3
Greivis Vásquez,TOR,14_15,9.5,2.6,3.7
Mike Dunleavy,CHI,14_15,9.4,3.9,1.8
Luis Scola,IND,14_15,9.4,6.5,1.3
Nicolas Batum,POR,14_15,9.4,5.9,4.8
Amir Johnson,TOR,14_15,9.3,6.1,1.6
Isaiah Canaan,HOUPHI,14_15,9.2,1.9,2.1
Marco Belinelli,SAS,14_15,9.2,2.5,1.5
P.J. Tucker,PHO,14_15,9.1,6.4,1.6
José Calderón,NYK,14_15,9.1,3.0,4.7
Jason Richardson,PHI,14_15,9.1,3.5,2.0
Bojan Bogdanović,BRK,14_15,9.0,2.7,0.9
Rajon Rondo,BOSDAL,14_15,8.9,5.5,7.9
Elfrid Payton,ORL,14_15,8.9,4.3,6.5
Solomon Hill,IND,14_15,8.9,3.8,2.2
Omri Casspi,SAC,14_15,8.9,3.9,1.5
Michael Beasley,MIA,14_15,8.8,3.7,1.3
Paul George,IND,14_15,8.8,3.7,1.0
Hollis Thompson,PHI,14_15,8.8,2.8,1.2
Devin Harris,DAL,14_15,8.8,1.8,3.1
Mason Plumlee,BRK,14_15,8.7,6.2,0.9
Boris Diaw,SAS,14_15,8.7,4.3,2.9
Randy Foye,DEN,14_15,8.7,1.7,2.4
Dwight Buycks,LAL,14_15,8.7,2.0,2.3
Rodney Hood,UTA,14_15,8.7,2.3,1.7
Chris Kaman,POR,14_15,8.6,6.5,0.9
Tony Allen,MEM,14_15,8.6,4.4,1.4
Mirza Teletović,BRK,14_15,8.5,4.8,1.2
Tristan Thompson,CLE,14_15,8.5,8.0,0.5
Sebastian Telfair,OKC,14_15,8.4,1.9,2.8
Rudy Gobert,UTA,14_15,8.4,9.5,1.3
Derrick Williams,SAC,14_15,8.3,2.7,0.7
Ed Davis,LAL,14_15,8.3,7.6,1.2
