Player,Team,Season,PPG,RPG,APG
Raymond Felton,CHA,08_09,14.2,3.8,6.7
Luol Deng,CHI,08_09,14.1,6.0,1.9
Michael Beasley,MIA,08_09,13.9,5.4,1.0
Marvin Williams,ATL,08_09,13.9,6.3,1.3
Elton Brand,PHI,08_09,13.8,8.8,1.3
Cuttino Mobley,LAC,08_09,13.7,2.6,1.1
Ronnie Brewer,UTA,08_09,13.7,3.7,2.2
Marquis Daniels,IND,08_09,13.6,4.6,2.1
Paul Millsap,UTA,08_09,13.5,8.6,1.8
Rodney Stuckey,DET,08_09,13.4,3.5,4.9
Ryan Gomes,MIN,08_09,13.3,4.8,1.6
Peja Stojaković,NOH,08_09,13.3,4.3,1.2
Jermaine O'Neal,MIATOR,08_09,13.3,6.4,1.8
Boris Diaw,CHAPHO,08_09,13.2,5.3,4.1
Emeka Okafor,CHA,08_09,13.2,10.1,0.6
Jarrett Jack,IND,08_09,13.1,3.4,4.1
Brook Lopez,NJN,08_09,13.0,8.1,1.0
Gilbert Arenas,WAS,08_09,13.0,4.5,10.0
Shawn Marion,MIATOR,08_09,12.9,8.5,2.0
Zydrunas Ilgauskas,CLE,08_09,12.9,7.5,1.0
José Calderón,TOR,08_09,12.8,2.9,8.9
Lou Williams,PHI,08_09,12.8,2.0,3.0
Travis Outlaw,POR,08_09,12.8,4.1,1.0
Luis Scola,HOU,08_09,12.7,8.8,1.5
Francisco García,SAC,08_09,12.7,3.4,2.3
Ramon Sessions,MIL,08_09,12.4,3.4,5.7
Ronald Murray,ATL,08_09,12.2,2.1,2.0
Rasheed Wallace,DET,08_09,12.0,7.4,1.4
Chris Kaman,LAC,08_09,12.0,8.0,1.5
Grant Hill,PHO,08_09,12.0,4.9,2.3
Raja Bell,CHAPHO,08_09,11.9,3.6,2.1
Rajon Rondo,BOS,08_09,11.9,5.2,8.2
Marc Gasol,MEM,08_09,11.9,7.4,1.7
Brad Miller,CHISAC,08_09,11.9,7.8,3.3
Drew Gooden,CHISACSAS,08_09,11.9,7.1,0.9
Andris Biedriņš,GSW,08_09,11.9,11.2,2.0
Roger Mason,SAS,08_09,11.8,3.1,2.1
D.J. Augustin,CHA,08_09,11.8,1.8,3.5
Delonte West,CLE,08_09,11.7,3.2,3.5
Andrew Bogut,MIL,08_09,11.7,10.2,2.0
Rafer Alston,HOUORL,08_09,11.7,2.9,5.3
Kenyon Martin,DEN,08_09,11.7,6.0,2.0
Larry Hughes,CHINYK,08_09,11.6,2.9,2.2
Hakim Warrick,MEM,08_09,11.6,5.0,0.8
Andrei Kirilenko,UTA,08_09,11.6,4.8,2.6
Al Horford,ATL,08_09,11.5,9.3,2.4
Andrés Nocioni,CHISAC,08_09,11.4,4.8,1.3
Spencer Hawes,SAC,08_09,11.4,7.1,1.9
Lamar Odom,LAL,08_09,11.3,8.2,2.6
Rasual Butler,NOH,08_09,11.2,3.3,0.9
Aaron Brooks,HOU,08_09,11.2,2.0,3.0
Chris Duhon,NYK,08_09,11.1,3.1,7.2
Kevin Love,MIN,08_09,11.1,9.1,1.0
Jason Thompson,SAC,08_09,11.1,7.4,1.1
Steve Blake,POR,08_09,11.0,2.5,5.0
Beno Udrih,SAC,08_09,11.0,3.0,4.7
Mike Conley,MEM,08_09,10.9,3.4,4.3
Nick Young,WAS,08_09,10.9,1.8,1.2
Tyrus Thomas,CHI,08_09,10.8,6.4,1.0
Anthony Parker,TOR,08_09,10.7,4.0,3.4
Udonis Haslem,MIA,08_09,10.6,8.2,1.1
Rudy Fernández,POR,08_09,10.4,2.7,2.0
Marcus Camby,LAC,08_09,10.3,11.1,2.0
Matt Barnes,PHO,08_09,10.2,5.5,2.8
Quentin Richardson,NYK,08_09,10.2,4.4,1.6
Anthony Morrow,GSW,08_09,10.1,3.0,1.2
Craig Smith,MIN,08_09,10.1,3.8,1.1
Andray Blatche,WAS,08_09,10.0,5.3,1.7
Mario Chalmers,MIA,08_09,10.0,2.8,4.9
Derek Fisher,LAL,08_09,9.9,2.3,3.2
Linas Kleiza,DEN,08_09,9.9,4.0,0.8
Mike Miller,MIN,08_09,9.9,6.6,4.5
Kirk Hinrich,CHI,08_09,9.9,2.4,3.9
Sebastian Telfair,MIN,08_09,9.8,1.7,4.6
Keyon Dooling,NJN,08_09,9.7,2.0,3.5
Von Wafer,HOU,08_09,9.7,1.8,1.1
Michael Finley,SAS,08_09,9.7,3.3,1.4
Nenad Krstić,OKC,08_09,9.7,5.5,0.6
Brendan Haywood,WAS,08_09,9.7,7.3,1.3
Antonio McDyess,DET,08_09,9.6,9.8,1.3
Luke Ridnour,MIL,08_09,9.6,3.0,5.1
Rashad McCants,MINSAC,08_09,9.6,1.9,1.2
C.J. Watson,GSW,08_09,9.5,2.5,2.7
Mickaël Piétrus,ORL,08_09,9.4,3.3,1.2
Carl Landry,HOU,08_09,9.2,5.0,0.6
Daequan Cook,MIA,08_09,9.1,2.5,0.9
C.J. Miles,UTA,08_09,9.1,2.3,1.5
Kyle Korver,UTA,08_09,9.0,3.3,1.8
Jason Kidd,DAL,08_09,9.0,6.2,8.7
James Posey,NOH,08_09,8.9,4.8,1.1
Trevor Ariza,LAL,08_09,8.9,4.3,1.8
Marco Belinelli,GSW,08_09,8.9,1.7,2.1
D.J. White,OKC,08_09,8.9,4.6,0.9
Greg Oden,POR,08_09,8.9,7.0,0.5
Tyson Chandler,NOH,08_09,8.8,8.7,0.5
Mike James,NOHWAS,08_09,8.7,2.2,3.3
Jarvis Hayes,NJN,08_09,8.7,3.6,0.7
Yi Jianlian,NJN,08_09,8.6,5.3,1.0
Anderson Varejão,CLE,08_09,8.6,7.2,1.0
Eddie House,BOS,08_09,8.5,1.9,1.1
Kendrick Perkins,BOS,08_09,8.5,8.1,1.3
Tim Thomas,CHILACNYK,08_09,8.5,3.1,1.1
Brandon Bass,DAL,08_09,8.5,4.5,0.5
Willie Green,PHI,08_09,8.5,1.6,2.0
Courtney Lee,ORL,08_09,8.4,2.3,1.2
Charlie Bell,MIL,08_09,8.4,1.9,2.2
Brandan Wright,GSW,08_09,8.3,4.0,0.5
Matt Bonner,SAS,08_09,8.2,4.8,1.0
Nick Collison,OKC,08_09,8.2,6.9,0.9
Jason Kapono,TOR,08_09,8.2,2.0,1.3
Brandon Rush,IND,08_09,8.1,3.1,0.9
Anthony Randolph,GSW,08_09,7.9,5.8,0.8
Bobby Simmons,NJN,08_09,7.8,3.9,1.3
Daniel Gibson,CLE,08_09,7.8,2.1,1.8
J.J. Barea,DAL,08_09,7.8,2.2,3.4
