Player,Team,Season,PPG,RPG,APG
Emmanuel Mudiay,NYK,18_19,14.8,3.3,3.9
Jabari Parker,CHIWAS,18_19,14.5,6.6,2.4
Walt Lemon Jr.,CHI,18_19,14.3,4.5,5.0
Kyle Lowry,TOR,18_19,14.2,4.8,8.7
Bobby Portis,CHIWAS,18_19,14.2,8.1,1.4
Bogdan Bogdanović,SAC,18_19,14.1,3.5,3.8
Domantas Sabonis,IND,18_19,14.1,9.3,2.9
Marcus Morris,BOS,18_19,13.9,6.1,1.5
Otto Porter Jr.,CHIWAS,18_19,13.9,5.6,2.1
Steven Adams,OKC,18_19,13.9,9.5,1.6
Jaren Jackson Jr.,MEM,18_19,13.8,4.7,1.1
Goran Dragić,MIA,18_19,13.7,3.1,4.8
Rudy Gay,SAS,18_19,13.7,6.8,2.6
Joe Harris,BRK,18_19,13.7,3.8,2.4
Caris LeVert,BRK,18_19,13.7,3.8,3.9
Enes Freedom,NYKPOR,18_19,13.7,9.8,1.7
Jerami Grant,OKC,18_19,13.6,5.2,1.0
Dennis Smith Jr.,DALNYK,18_19,13.6,2.9,4.8
Al Horford,BOS,18_19,13.6,6.7,4.2
Marc Gasol,MEMTOR,18_19,13.6,7.9,4.4
Taurean Prince,ATL,18_19,13.5,3.6,2.1
Carmelo Anthony,HOU,18_19,13.4,5.4,0.5
Myles Turner,IND,18_19,13.3,7.2,1.6
Robert Covington,MINPHI,18_19,13.3,5.5,1.3
Cedi Osman,CLE,18_19,13.0,4.7,2.6
Jaylen Brown,BOS,18_19,13.0,4.2,1.4
Gary Harris,DEN,18_19,12.9,2.8,2.2
Kevin Knox,NYK,18_19,12.8,4.5,1.1
Dwight Howard,WAS,18_19,12.8,9.2,0.4
Ricky Rubio,UTA,18_19,12.7,3.6,6.1
Thaddeus Young,IND,18_19,12.6,6.5,2.5
Paul Millsap,DEN,18_19,12.6,7.2,2.0
Justise Winslow,MIA,18_19,12.6,5.4,4.3
Trevor Ariza,PHOWAS,18_19,12.5,5.4,3.7
Brook Lopez,MIL,18_19,12.5,4.9,1.2
Hassan Whiteside,MIA,18_19,12.3,11.3,0.8
Jeff Green,WAS,18_19,12.3,4.0,1.8
Wesley Matthews,DALINDNYK,18_19,12.2,2.5,2.3
Jeff Teague,MIN,18_19,12.1,2.5,8.2
Joe Ingles,UTA,18_19,12.1,4.0,5.7
Dion Waiters,MIA,18_19,12.0,2.6,2.8
JaVale McGee,LAL,18_19,12.0,7.5,0.7
E'Twaun Moore,NOP,18_19,11.9,2.4,1.9
Willie Cauley-Stein,SAC,18_19,11.9,8.4,2.4
Jae Crowder,UTA,18_19,11.9,4.8,1.7
Derrick Favors,UTA,18_19,11.8,7.4,1.2
Bryn Forbes,SAS,18_19,11.8,2.9,2.1
D.J. Augustin,ORL,18_19,11.7,2.5,5.3
Kent Bazemore,ATL,18_19,11.6,3.9,2.3
Josh Jackson,PHO,18_19,11.5,4.4,2.3
Will Barton,DEN,18_19,11.5,4.6,2.9
Gordon Hayward,BOS,18_19,11.5,4.5,3.4
Kentavious Caldwell-Pope,LAL,18_19,11.4,2.9,1.3
Malik Beasley,DEN,18_19,11.3,2.5,1.2
Reggie Bullock,DETLAL,18_19,11.3,2.7,2.0
Kris Dunn,CHI,18_19,11.3,4.1,6.0
Darren Collison,IND,18_19,11.2,3.1,6.0
Rodney Hood,CLEPOR,18_19,11.2,2.2,1.8
DeMarre Carroll,BRK,18_19,11.1,5.2,1.3
Alex Len,ATL,18_19,11.1,5.5,1.1
DeAndre Jordan,DALNYK,18_19,11.0,13.1,2.3
Fred VanVleet,TOR,18_19,11.0,2.6,4.8
Tristan Thompson,CLE,18_19,10.9,10.2,2.0
J.J. Barea,DAL,18_19,10.9,2.5,5.6
Jarrett Allen,BRK,18_19,10.9,8.4,1.4
Trey Burke,DALNYK,18_19,10.9,1.7,2.7
Tyler Johnson,MIAPHO,18_19,10.9,3.0,2.9
Allonzo Trier,NYK,18_19,10.9,3.1,1.9
Shai Gilgeous-Alexander,LAC,18_19,10.8,2.8,3.3
Dewayne Dedmon,ATL,18_19,10.8,7.5,1.4
Taj Gibson,MIN,18_19,10.8,6.5,1.2
Damyean Dotson,NYK,18_19,10.7,3.6,1.8
Elfrid Payton,NOP,18_19,10.6,5.2,7.6
Dario Šarić,MINPHI,18_19,10.6,5.6,1.6
Dwight Powell,DAL,18_19,10.6,5.3,1.5
Thomas Bryant,WAS,18_19,10.5,6.3,1.3
Marco Belinelli,SAS,18_19,10.5,2.5,1.7
Justin Holiday,CHIMEM,18_19,10.5,3.9,1.8
Kenneth Faried,BRKHOU,18_19,10.4,6.8,0.5
Monte Morris,DEN,18_19,10.4,2.4,3.6
Wendell Carter Jr.,CHI,18_19,10.3,7.0,1.8
Wayne Ellington,DETMIA,18_19,10.3,2.0,1.4
Danny Green,TOR,18_19,10.3,4.0,1.6
Tyreke Evans,IND,18_19,10.2,2.9,2.4
Cody Zeller,CHO,18_19,10.1,6.8,2.1
Marvin Williams,CHO,18_19,10.1,5.4,1.2
Kelly Olynyk,MIA,18_19,10.0,4.7,1.8
Kadeem Allen,NYK,18_19,9.9,2.7,4.0
Avery Bradley,LACMEM,18_19,9.9,2.8,2.4
Derrick White,SAS,18_19,9.9,3.7,3.9
Lonzo Ball,LAL,18_19,9.9,5.3,5.4
Patty Mills,SAS,18_19,9.9,2.2,3.0
Luke Kennard,DET,18_19,9.7,2.9,1.8
Kevin Huerter,ATL,18_19,9.7,3.3,2.9
Nemanja Bjelica,SAC,18_19,9.6,5.8,1.9
Allen Crabbe,BRK,18_19,9.6,3.4,1.1
Jonathan Isaac,ORL,18_19,9.6,5.5,1.1
Jeremy Lin,ATLTOR,18_19,9.6,2.4,3.1
Robin Lopez,CHI,18_19,9.5,3.9,1.2
Tony Parker,CHO,18_19,9.5,1.5,3.7
Shabazz Napier,BRK,18_19,9.4,1.8,2.6
Markieff Morris,OKCWAS,18_19,9.4,4.6,1.4
JaMychal Green,LACMEM,18_19,9.4,6.3,0.8
Danuel House Jr.,HOU,18_19,9.4,3.6,1.0
Al-Farouq Aminu,POR,18_19,9.4,7.5,1.3
Larry Nance Jr.,CLE,18_19,9.4,8.2,3.2
Nicolas Batum,CHO,18_19,9.3,5.2,3.3
Jalen Brunson,DAL,18_19,9.3,2.3,3.2
Gerald Green,HOU,18_19,9.2,2.5,0.5
Rajon Rondo,LAL,18_19,9.2,5.3,8.0
Alex Caruso,LAL,18_19,9.2,2.7,3.1
Landry Shamet,LACPHI,18_19,9.1,1.7,1.5
Terry Rozier,BOS,18_19,9.0,3.9,2.9
Ish Smith,DET,18_19,8.9,2.6,3.6
Malik Monk,CHO,18_19,8.9,1.9,1.6
