Player,Team,Season,PPG,RPG,APG
Malcolm Brogdon,IND,21_22,19.1,5.1,5.9
Bam Adebayo,MIA,21_22,19.1,10.1,3.4
Norman Powell,LACPOR,21_22,19.0,3.2,2.1
Domantas Sabonis,INDSAC,21_22,18.9,12.1,5.2
Jordan Poole,GSW,21_22,18.5,3.4,4.0
Russell Westbrook,LAL,21_22,18.5,7.4,7.1
Dillon Brooks,MEM,21_22,18.4,3.2,2.8
Gary Trent Jr.,TOR,21_22,18.3,2.7,2.0
Jrue Holiday,MIL,21_22,18.3,4.5,6.8
Desmond Bane,MEM,21_22,18.2,4.4,2.7
D'Angelo Russell,MIN,21_22,18.1,3.3,7.1
Bojan Bogdanović,UTA,21_22,18.1,4.3,1.7
Christian Wood,HOU,21_22,17.9,10.1,2.3
Jonas Valančiūnas,NOP,21_22,17.8,11.4,2.6
Nikola Vučević,CHI,21_22,17.6,11.0,3.2
Tyrese Maxey,PHI,21_22,17.5,3.2,4.3
Cade Cunningham,DET,21_22,17.4,5.5,5.6
Anfernee Simons,POR,21_22,17.3,2.6,3.9
Jalen Green,HOU,21_22,17.3,3.4,2.6
Tobias Harris,PHI,21_22,17.2,6.8,3.5
Andrew Wiggins,GSW,21_22,17.2,4.5,2.2
Luguentz Dort,OKC,21_22,17.2,4.2,1.7
Deandre Ayton,PHO,21_22,17.2,10.2,1.4
OG Anunoby,TOR,21_22,17.1,5.5,2.6
Kyle Kuzma,WAS,21_22,17.1,8.5,3.5
Keldon Johnson,SAS,21_22,17.0,6.1,2.1
Caris LeVert,CLEIND,21_22,17.0,3.7,4.3
Reggie Jackson,LAC,21_22,16.8,3.6,4.8
Harrison Barnes,SAC,21_22,16.4,5.6,2.4
Cole Anthony,ORL,21_22,16.3,5.4,5.7
Jaren Jackson Jr.,MEM,21_22,16.3,5.8,1.1
Jalen Brunson,DAL,21_22,16.3,3.9,4.8
John Collins,ATL,21_22,16.2,7.8,1.8
Jarrett Allen,CLE,21_22,16.1,10.8,1.6
Saddiq Bey,DET,21_22,16.1,5.4,2.8
Jordan Clarkson,UTA,21_22,16.0,3.5,2.5
Collin Sexton,CLE,21_22,16.0,3.3,2.1
Gordon Hayward,CHO,21_22,15.9,4.6,3.6
Buddy Hield,INDSAC,21_22,15.6,4.4,2.8
Rudy Gobert,UTA,21_22,15.6,14.7,1.1
Kevin Porter Jr.,HOU,21_22,15.6,4.4,6.2
Marcus Morris,LAC,21_22,15.4,4.4,2.1
Tyrese Haliburton,INDSAC,21_22,15.3,4.0,8.2
Scottie Barnes,TOR,21_22,15.3,7.5,3.5
Franz Wagner,ORL,21_22,15.2,4.5,2.9
Bogdan Bogdanović,ATL,21_22,15.1,4.0,3.1
Jusuf Nurkić,POR,21_22,15.0,11.1,2.8
Wendell Carter Jr.,ORL,21_22,15.0,10.5,2.8
Aaron Gordon,DEN,21_22,15.0,5.9,2.5
Seth Curry,BRKPHI,21_22,15.0,3.1,3.6
Evan Mobley,CLE,21_22,15.0,8.3,2.5
Kelly Oubre Jr.,CHO,21_22,15.0,4.0,1.1
Josh Hart,NOPPOR,21_22,14.9,7.2,4.1
Lauri Markkanen,CLE,21_22,14.8,5.7,1.3
Chris Paul,PHO,21_22,14.7,4.4,10.8
Jaylen Hoard,OKC,21_22,14.7,12.0,2.4
Will Barton,DEN,21_22,14.7,4.8,3.9
Bobby Portis,MIL,21_22,14.6,9.1,1.2
Tim Hardaway Jr.,DAL,21_22,14.2,3.7,2.2
Mikal Bridges,PHO,21_22,14.2,4.2,2.3
Evan Fournier,NYK,21_22,14.1,2.6,2.1
Malik Monk,LAL,21_22,13.8,3.4,2.9
Spencer Dinwiddie,DALWAS,21_22,13.7,4.2,5.2
Mike Conley,UTA,21_22,13.7,3.0,5.3
Kevin Love,CLE,21_22,13.6,7.2,2.2
Dennis Schröder,BOSHOU,21_22,13.5,3.3,4.6
Jakob Poeltl,SAS,21_22,13.5,9.3,2.8
Eric Gordon,HOU,21_22,13.4,2.0,2.7
Kyle Lowry,MIA,21_22,13.4,4.5,7.5
De'Andre Hunter,ATL,21_22,13.4,3.3,1.3
Carmelo Anthony,LAL,21_22,13.3,4.2,1.0
Derrick White,BOSSAS,21_22,13.2,3.5,4.9
Kentavious Caldwell-Pope,WAS,21_22,13.2,3.4,1.9
Montrezl Harrell,CHOWAS,21_22,13.1,6.1,2.0
Chris Duarte,IND,21_22,13.1,4.1,2.1
Ricky Rubio,CLE,21_22,13.1,4.1,6.6
Lonzo Ball,CHI,21_22,13.0,5.4,5.1
LaMarcus Aldridge,BRK,21_22,12.9,5.5,0.9
Brandon Williams,POR,21_22,12.9,3.1,3.9
Myles Turner,IND,21_22,12.9,7.1,1.0
Coby White,CHI,21_22,12.7,3.0,2.9
Monte Morris,DEN,21_22,12.6,3.0,4.4
Josh Giddey,OKC,21_22,12.5,7.8,6.4
Cameron Johnson,PHO,21_22,12.5,4.1,1.5
Brook Lopez,MIL,21_22,12.4,4.1,0.5
Victor Oladipo,MIA,21_22,12.4,2.9,3.5
Devin Vassell,SAS,21_22,12.3,4.3,1.9
Lonnie Walker IV,SAS,21_22,12.1,2.6,2.2
Marcus Smart,BOS,21_22,12.1,3.8,5.9
Malik Beasley,MIN,21_22,12.1,2.9,1.5
Kevin Huerter,ATL,21_22,12.1,3.4,2.7
Derrick Rose,NYK,21_22,12.0,3.0,4.0
Luke Kennard,LAC,21_22,11.9,3.3,2.1
Devonte' Graham,NOP,21_22,11.9,2.3,4.2
Jae'Sean Tate,HOU,21_22,11.8,5.4,2.8
Jalen Suggs,ORL,21_22,11.8,3.6,4.4
Danilo Gallinari,ATL,21_22,11.7,4.7,1.5
Alec Burks,NYK,21_22,11.7,4.9,3.0
Kemba Walker,NYK,21_22,11.6,3.0,3.5
Cameron Oliver,ATL,21_22,11.5,3.0,1.5
Davion Mitchell,SAC,21_22,11.5,2.2,4.2
Patty Mills,BRK,21_22,11.4,1.9,2.3
Doug McDermott,SAS,21_22,11.3,2.3,1.3
Rui Hachimura,WAS,21_22,11.3,3.8,1.1
Immanuel Quickley,NYK,21_22,11.3,3.2,3.5
Joe Harris,BRK,21_22,11.3,4.0,1.0
Marvin Bagley III,DETSAC,21_22,11.3,7.0,0.8
Gary Harris,ORL,21_22,11.1,2.0,1.8
Grayson Allen,MIL,21_22,11.1,3.4,1.5
Clint Capela,ATL,21_22,11.1,11.9,1.2
Dorian Finney-Smith,DAL,21_22,11.0,4.7,1.9
Zavier Simpson,OKC,21_22,11.0,5.2,7.5
Hamidou Diallo,DET,21_22,11.0,4.8,1.3
Duncan Robinson,MIA,21_22,10.9,2.6,1.6
De'Anthony Melton,MEM,21_22,10.8,4.5,2.7
Markelle Fultz,ORL,21_22,10.8,2.7,5.5
Darius Bazley,OKC,21_22,10.8,6.3,1.4
Cameron Payne,PHO,21_22,10.8,3.0,4.9
Terance Mann,LAC,21_22,10.8,5.2,2.6
Cedi Osman,CLE,21_22,10.7,2.2,2.0
Melvin Frazier,OKC,21_22,10.7,4.3,0.3
Mo Bamba,ORL,21_22,10.6,8.1,1.2
Nickeil Alexander-Walker,NOPUTA,21_22,10.6,2.9,2.4
Max Strus,MIA,21_22,10.6,3.0,1.4
Frank Jackson,DET,21_22,10.6,1.6,1.0
Frank Kaminsky,PHO,21_22,10.6,4.6,1.4
Trey Lyles,DETSAC,21_22,10.5,5.1,1.2
Tre Mann,OKC,21_22,10.4,2.8,1.5
Brandon Clarke,MEM,21_22,10.4,5.3,1.3
Richaun Holmes,SAC,21_22,10.4,7.0,1.1
Terence Davis,SAC,21_22,10.4,3.1,1.3
Ivica Zubac,LAC,21_22,10.3,8.5,1.6
Jeff Green,DEN,21_22,10.3,3.1,1.3
P.J. Washington,CHO,21_22,10.3,5.2,2.3
Josh Richardson,BOSSAS,21_22,10.2,2.8,1.8
Ben McLemore,POR,21_22,10.2,1.6,0.9
Al Horford,BOS,21_22,10.2,7.7,3.4
Cam Reddish,ATLNYK,21_22,10.1,2.1,1.0
Justin Holiday,INDSAC,21_22,10.1,2.6,1.7
Bones Hyland,DEN,21_22,10.1,2.7,2.8
Isaiah Roby,OKC,21_22,10.1,4.8,1.6
Devin Cannady,ORL,21_22,10.0,1.2,2.0
Garrison Mathews,HOU,21_22,10.0,2.9,1.0
Terrence Ross,ORL,21_22,10.0,2.6,1.8
Robert Williams,BOS,21_22,10.0,9.6,2.0
Talen Horton-Tucker,LAL,21_22,10.0,3.2,2.6
Pat Connaughton,MIL,21_22,9.9,4.2,1.3
Eric Bledsoe,LAC,21_22,9.9,3.4,4.2
Michael Porter Jr.,DEN,21_22,9.9,6.6,1.9
Duane Washington Jr.,IND,21_22,9.9,1.7,1.8
Nassir Little,POR,21_22,9.8,5.6,1.3
Terry Taylor,IND,21_22,9.6,5.2,1.2
Alperen Şengün,HOU,21_22,9.6,5.5,2.6
Herbert Jones,NOP,21_22,9.5,3.8,2.1
Jae Crowder,PHO,21_22,9.4,5.3,1.9
Chris Boucher,TOR,21_22,9.4,6.2,0.3
Daniel Gafford,WAS,21_22,9.4,5.7,0.9
Jaxson Hayes,NOP,21_22,9.3,4.5,0.6
