Player,Team,Season,PPG,RPG,APG,Winrate,MVP
Donté Greene,SAC,09_10,8.5,3.1,0.9,0.305,0
J.J. Hickson,CLE,09_10,8.5,4.9,0.5,0.744,0
Tyler Hansbrough,IND,09_10,8.5,4.8,1.0,0.39,0
Andrés Nocioni,SAC,09_10,8.5,3.0,1.0,0.305,0
Robin Lopez,PHO,09_10,8.4,4.9,0.1,0.659,0
Terrence Williams,NJN,09_10,8.4,4.5,2.9,0.146,0
Nenad Krstić,OKC,09_10,8.4,5.0,0.7,0.61,0
Ty Lawson,DEN,09_10,8.3,1.9,3.1,0.646,0
Jared Dudley,PHO,09_10,8.2,3.4,1.4,0.659,0
Ramon Sessions,MIN,09_10,8.2,2.6,3.1,0.183,0
