Player,Team,PPG,RPG,APG,WinPct,WS,ORtg,DRtg,PER,BPM,VORP
Kentavious Caldwell-Pope,ORL,8.7,2.2,1.8,0.5,4.6,115,112,9.9,-1.4,0.3
Coby White,CHI,20.4,3.7,4.5,0.476,4.5,114,118,15.5,-0.9,0.7
Al Horford,BOS,9.0,6.2,2.1,0.744,4.4,121,111,12.9,1.2,1.3
De'Andre Hunter,ATL,17.0,4.0,1.4,0.488,4.4,120,117,15.9,0.4,1.0
Keegan Murray,SAC,12.4,6.7,1.4,0.488,4.4,116,117,12.0,-1.6,0.2
Brandon Clarke,MEM,8.3,5.1,1.0,0.585,4.4,131,112,17.6,0.8,0.9
Sam Hauser,BOS,8.5,3.2,0.9,0.744,4.4,128,113,12.8,0.8,1.1
Tyus Jones,PHO,10.2,2.4,5.3,0.439,4.4,124,122,14.5,0.1,1.1
Jonas Valančiūnas,SAC,10.4,7.7,2.0,0.488,4.3,118,114,20.8,0.6,1.0
De'Aaron Fox,SAC,23.5,4.8,6.3,0.488,4.3,113,117,18.3,0.4,1.3
Obi Toppin,IND,10.5,4.0,1.6,0.61,4.3,122,114,17.4,1.7,1.4
Kevon Looney,GSW,4.5,6.1,1.6,0.585,4.3,128,108,17.0,0.3,0.7
Aaron Gordon,DEN,14.7,4.8,3.2,0.61,4.3,129,120,17.0,1.2,1.2
Isaiah Stewart,DET,6.0,5.5,1.7,0.537,4.3,125,110,14.6,0.6,0.9
Nic Claxton,BRK,10.3,7.4,2.2,0.317,4.3,115,112,16.5,0.4,1.1
Rui Hachimura,LAL,13.1,5.0,1.4,0.61,4.3,123,117,13.6,-0.7,0.6
Nickeil Alexander-Walker,MIN,9.4,3.2,2.7,0.598,4.3,116,114,11.6,-0.4,0.8
Brandin Podziemski,GSW,11.7,5.1,3.4,0.585,4.2,116,112,14.4,0.7,1.2
Jabari Smith Jr.,HOU,12.2,7.0,1.1,0.634,4.2,118,112,12.6,-0.7,0.6
Anfernee Simons,POR,19.3,2.7,4.8,0.439,4.2,115,119,14.9,-0.1,1.1
Kel'el Ware,MIA,9.3,7.4,0.9,0.451,4.1,118,108,17.4,-0.1,0.7
Amir Coffey,LAC,9.7,2.2,1.1,0.61,4.0,122,115,11.2,-1.7,0.1
Kris Dunn,LAC,6.4,3.4,2.8,0.61,4.0,111,108,11.3,0.6,1.2
Andrew Wiggins,GSW,18.0,4.5,2.6,0.585,4.0,113,113,16.4,0.9,1.4
Donovan Clingan,POR,6.5,7.9,1.1,0.439,4.0,120,109,17.4,-0.3,0.6
Caris LeVert,ATL,12.1,3.2,3.4,0.488,4.0,119,115,15.2,0.9,1.2
Guerschon Yabusele,PHI,11.0,5.6,2.1,0.293,3.9,122,119,14.7,-1.0,0.5
Alex Caruso,OKC,7.1,2.9,2.5,0.829,3.9,122,104,15.9,4.0,1.6
Luke Kennard,MEM,8.9,2.8,3.3,0.585,3.9,127,116,13.6,1.1,1.2
Donte DiVincenzo,MIN,11.7,3.7,3.6,0.598,3.9,115,111,14.1,1.9,1.6
Ausar Thompson,DET,10.1,5.1,2.3,0.537,3.8,115,108,17.2,1.7,1.2
Tyrese Maxey,PHI,26.3,3.3,6.1,0.293,3.8,114,119,19.5,2.0,2.0
Victor Wembanyama,SAS,24.3,11.0,3.7,0.415,3.8,109,108,24.2,6.5,3.3
Mason Plumlee,PHO,4.5,6.1,1.8,0.439,3.7,131,115,14.8,-0.6,0.5
Jaxson Hayes,LAL,6.8,4.8,1.0,0.61,3.7,135,112,15.8,-0.3,0.5
Spencer Dinwiddie,DAL,11.0,2.6,4.4,0.476,3.7,116,119,13.0,-1.6,0.2
Draymond Green,GSW,9.0,6.1,5.6,0.585,3.7,107,109,12.4,0.5,1.3
Yves Missi,NOP,9.1,8.2,1.4,0.256,3.6,120,119,15.4,-3.0,-0.5
Kenrich Williams,OKC,6.3,3.5,1.4,0.829,3.6,122,109,13.7,0.6,0.7
Ja Morant,MEM,23.2,4.1,7.3,0.585,3.5,113,115,19.3,2.4,1.7
Nicolas Batum,LAC,4.0,2.8,1.1,0.61,3.5,126,111,10.3,0.8,1.0
Jaylen Wells,MEM,10.4,3.4,1.7,0.585,3.5,117,118,10.5,-2.2,-0.1
Paolo Banchero,ORL,25.9,7.5,4.8,0.5,3.5,109,110,20.0,3.5,2.2
Moses Moody,GSW,9.8,2.6,1.3,0.585,3.5,116,114,12.4,-0.9,0.5
Trey Murphy III,NOP,21.2,5.1,3.5,0.256,3.5,118,121,17.3,0.8,1.3
Taurean Prince,MIL,8.2,3.6,1.9,0.585,3.5,114,115,9.8,-1.7,0.1
Scottie Barnes,TOR,19.3,7.7,5.8,0.366,3.5,107,112,17.8,2.4,2.3
Naji Marshall,DAL,13.2,4.8,3.0,0.476,3.5,115,117,15.1,-0.8,0.6
Tim Hardaway Jr.,DET,11.0,2.4,1.6,0.537,3.5,117,118,9.8,-2.1,0.0
Kawhi Leonard,LAC,21.5,5.9,3.1,0.61,3.5,114,109,20.5,3.1,1.5
Dereck Lively II,DAL,8.7,7.5,2.4,0.476,3.4,138,113,20.1,3.3,1.1
Max Strus,CLE,9.4,4.3,3.2,0.78,3.4,125,115,12.6,1.3,1.1
Quentin Grimes,DAL,14.6,4.3,3.0,0.476,3.4,113,118,15.9,0.4,1.2
Trayce Jackson-Davis,GSW,6.6,5.0,1.7,0.585,3.4,125,111,18.5,1.2,0.8
Jonathan Isaac,ORL,5.4,4.4,0.6,0.5,3.4,113,103,16.6,0.7,0.7
Haywood Highsmith,MIA,6.5,3.4,1.5,0.451,3.3,116,114,9.9,-1.9,0.1
Sam Merrill,CLE,7.2,2.2,1.5,0.78,3.3,122,114,11.1,0.3,0.8
Gary Trent Jr.,MIL,11.1,2.3,1.2,0.585,3.3,115,116,11.7,-1.6,0.2
Jaylin Williams,OKC,5.9,5.6,2.6,0.829,3.3,127,104,16.4,4.3,1.2
Moussa Diabaté,CHO,5.7,6.2,0.8,0.232,3.2,122,113,16.5,-1.9,0.0
Miles McBride,NYK,9.5,2.5,2.9,0.622,3.2,117,116,12.6,0.0,0.8
Clint Capela,ATL,8.9,8.5,1.1,0.488,3.2,120,113,17.7,-1.0,0.3
Dennis Schröder,BRK,13.1,2.6,5.4,0.317,3.2,111,117,12.7,-2.2,-0.1
Neemias Queta,BOS,5.0,3.8,0.7,0.744,3.2,132,110,16.3,-0.7,0.3
T.J. McConnell,IND,9.1,2.4,4.4,0.61,3.2,113,113,18.4,1.2,1.2
Keldon Johnson,SAS,12.7,4.8,1.6,0.415,3.2,115,119,15.6,-1.6,0.2
Miles Bridges,CHO,20.3,7.5,3.9,0.232,3.2,110,116,17.7,1.8,2.0
Chet Holmgren,OKC,15.0,8.0,2.0,0.829,3.2,116,103,19.2,2.4,1.0
Ochai Agbaji,TOR,10.4,3.8,1.5,0.366,3.1,117,116,12.0,-0.7,0.5
Thomas Bryant,IND,6.5,3.8,0.8,0.61,3.1,125,113,17.2,0.6,0.6
Bennedict Mathurin,IND,16.1,5.3,1.9,0.61,3.0,110,116,13.6,-2.9,-0.5
Gary Payton II,GSW,6.5,3.0,1.3,0.585,3.0,124,110,16.2,1.4,0.8
Shaedon Sharpe,POR,18.5,4.5,2.8,0.439,3.0,110,117,14.5,-1.3,0.4
Terance Mann,ATL,7.7,3.0,1.8,0.488,3.0,120,116,12.0,-1.3,0.2
Nick Richards,CHO,9.3,8.2,0.9,0.232,3.0,120,115,16.6,-3.3,-0.4
Dean Wade,CLE,5.4,4.2,1.3,0.78,3.0,123,112,10.1,0.3,0.7
Davion Mitchell,MIA,7.9,2.3,4.9,0.451,3.0,113,117,10.2,-2.6,-0.3
Dorian Finney-Smith,BRK,8.7,3.9,1.4,0.317,2.9,118,117,10.1,-1.0,0.5
Aaron Nesmith,IND,12.0,4.0,1.2,0.61,2.9,124,116,14.6,-0.5,0.4
Jalen Smith,CHI,8.2,5.6,1.0,0.476,2.9,120,112,18.7,0.9,0.7
Jake LaRavia,MEM,6.9,3.9,2.4,0.585,2.9,117,114,12.6,0.2,0.8
Tre Jones,CHI,7.2,2.5,4.2,0.476,2.9,134,118,16.3,1.5,0.8
Georges Niang,ATL,9.9,3.4,1.4,0.488,2.9,115,117,11.2,-2.3,-0.1
A.J. Green,MIL,7.4,2.4,1.5,0.585,2.8,119,117,9.2,-2.2,-0.1
Deandre Ayton,POR,14.4,10.2,1.6,0.439,2.8,115,112,17.7,-0.7,0.4
Kyle Anderson,GSW,5.9,3.4,2.4,0.585,2.8,119,111,15.1,1.5,0.9
Buddy Hield,GSW,11.1,3.2,1.6,0.585,2.8,108,113,12.3,-1.0,0.5
Justin Champagnie,WAS,8.8,5.7,1.0,0.22,2.8,119,116,15.7,-0.5,0.5
Malik Monk,SAC,17.2,3.8,5.6,0.488,2.8,110,117,15.0,-0.8,0.6
Andrew Nembhard,IND,10.0,3.3,5.0,0.61,2.8,111,116,11.7,-2.3,-0.1
Royce O'Neale,PHO,9.1,4.7,2.2,0.439,2.8,115,118,12.6,0.1,1.0
Bobby Portis,MIL,13.9,8.4,2.1,0.585,2.7,111,110,17.7,0.2,0.7
Jeremy Sochan,SAS,11.4,6.5,2.4,0.415,2.7,116,117,15.9,-1.2,0.3
Dalton Knecht,LAL,9.1,2.8,0.8,0.61,2.7,117,118,12.7,-1.8,0.1
Zach Collins,CHI,6.4,4.5,1.7,0.476,2.7,122,115,16.0,0.0,0.5
Day'Ron Sharpe,BRK,7.9,6.6,1.8,0.317,2.7,117,111,19.7,0.9,0.7
Chris Boucher,TOR,10.0,4.5,0.7,0.366,2.7,123,114,18.7,2.3,0.9
Duncan Robinson,MIA,11.0,2.3,2.4,0.451,2.7,112,117,11.8,-1.7,0.1
Max Christie,DAL,9.6,3.3,1.9,0.476,2.7,111,117,10.4,-2.5,-0.3
Kelly Oubre Jr.,PHI,15.1,6.1,1.8,0.293,2.6,111,118,13.5,-2.3,-0.1
Vit Krejci,ATL,7.2,2.7,2.6,0.488,2.6,127,117,12.7,0.7,0.8
Trey Lyles,SAC,6.5,4.6,1.2,0.488,2.6,117,116,12.3,-0.7,0.4
Grayson Allen,PHO,10.6,3.0,2.1,0.439,2.5,119,120,13.7,-0.3,0.7
Ayo Dosunmu,CHI,12.3,3.5,4.5,0.476,2.5,117,118,12.8,-1.6,0.1
Isaac Okoro,CLE,6.1,2.4,1.2,0.78,2.5,125,115,10.7,-0.5,0.4
Jay Huff,MEM,6.9,2.0,0.6,0.585,2.5,126,112,18.2,3.5,1.1
Zion Williamson,NOP,24.6,7.2,5.3,0.256,2.5,117,118,27.3,7.0,1.9
Peyton Watson,DEN,8.1,3.4,1.4,0.61,2.5,113,116,11.4,-1.8,0.1
Nikola Jović,MIA,10.7,3.9,2.8,0.451,2.5,115,114,13.8,0.3,0.7
