Player,Team,PPG,APG,WS,Season,RPG
Trey Murphy III,NOP,21.2,3.5,3.5,2024-25,5.1
Taurean Prince,MIL,8.2,1.9,3.5,2024-25,3.6
Scottie Barnes,TOR,19.3,5.8,3.5,2024-25,7.7
Naji Marshall,DAL,13.2,3.0,3.5,2024-25,4.8
Tim Hardaway Jr.,DET,11.0,1.6,3.5,2024-25,2.4
Kawhi Leonard,LAC,21.5,3.1,3.5,2024-25,5.9
Dereck Lively II,DAL,8.7,2.4,3.4,2024-25,7.5
Max Strus,CLE,9.4,3.2,3.4,2024-25,4.3
Quentin Grimes,DAL,14.6,3.0,3.4,2024-25,4.3
Trayce Jackson-Davis,GSW,6.6,1.7,3.4,2024-25,5.0
Jonathan Isaac,ORL,5.4,0.6,3.4,2024-25,4.4
Haywood Highsmith,MIA,6.5,1.5,3.3,2024-25,3.4
Sam Merrill,CLE,7.2,1.5,3.3,2024-25,2.2
Gary Trent Jr.,MIL,11.1,1.2,3.3,2024-25,2.3
Jaylin Williams,OKC,5.9,2.6,3.3,2024-25,5.6
Moussa Diabaté,CHO,5.7,0.8,3.2,2024-25,6.2
Miles McBride,NYK,9.5,2.9,3.2,2024-25,2.5
Clint Capela,ATL,8.9,1.1,3.2,2024-25,8.5
Dennis Schröder,BRK,13.1,5.4,3.2,2024-25,2.6
Neemias Queta,BOS,5.0,0.7,3.2,2024-25,3.8
T.J. McConnell,IND,9.1,4.4,3.2,2024-25,2.4
Keldon Johnson,SAS,12.7,1.6,3.2,2024-25,4.8
Miles Bridges,CHO,20.3,3.9,3.2,2024-25,7.5
Chet Holmgren,OKC,15.0,2.0,3.2,2024-25,8.0
Ochai Agbaji,TOR,10.4,1.5,3.1,2024-25,3.8
Thomas Bryant,IND,6.5,0.8,3.1,2024-25,3.8
Bennedict Mathurin,IND,16.1,1.9,3.0,2024-25,5.3
Gary Payton II,GSW,6.5,1.3,3.0,2024-25,3.0
Shaedon Sharpe,POR,18.5,2.8,3.0,2024-25,4.5
Terance Mann,ATL,7.7,1.8,3.0,2024-25,3.0
Nick Richards,CHO,9.3,0.9,3.0,2024-25,8.2
Dean Wade,CLE,5.4,1.3,3.0,2024-25,4.2
Davion Mitchell,MIA,7.9,4.9,3.0,2024-25,2.3
Dorian Finney-Smith,BRK,8.7,1.4,2.9,2024-25,3.9
Aaron Nesmith,IND,12.0,1.2,2.9,2024-25,4.0
Jalen Smith,CHI,8.2,1.0,2.9,2024-25,5.6
Jake LaRavia,MEM,6.9,2.4,2.9,2024-25,3.9
Tre Jones,CHI,7.2,4.2,2.9,2024-25,2.5
Georges Niang,ATL,9.9,1.4,2.9,2024-25,3.4
A.J. Green,MIL,7.4,1.5,2.8,2024-25,2.4
Deandre Ayton,POR,14.4,1.6,2.8,2024-25,10.2
Kyle Anderson,GSW,5.9,2.4,2.8,2024-25,3.4
Buddy Hield,GSW,11.1,1.6,2.8,2024-25,3.2
Justin Champagnie,WAS,8.8,1.0,2.8,2024-25,5.7
Malik Monk,SAC,17.2,5.6,2.8,2024-25,3.8
Andrew Nembhard,IND,10.0,5.0,2.8,2024-25,3.3
Royce O'Neale,PHO,9.1,2.2,2.8,2024-25,4.7
Bobby Portis,MIL,13.9,2.1,2.7,2024-25,8.4
Jeremy Sochan,SAS,11.4,2.4,2.7,2024-25,6.5
Dalton Knecht,LAL,9.1,0.8,2.7,2024-25,2.8
Zach Collins,CHI,6.4,1.7,2.7,2024-25,4.5
Day'Ron Sharpe,BRK,7.9,1.8,2.7,2024-25,6.6
Chris Boucher,TOR,10.0,0.7,2.7,2024-25,4.5
Duncan Robinson,MIA,11.0,2.4,2.7,2024-25,2.3
