Player,Team,Season,PPG,RPG,APG,Win%,WS,MVP,ORtg,DRtg,PER,BPM,USG%,VORP,is_outlier
Paul George,IND,11/12,0.08219178082191778,0.3548387096774192,0.18181818181818177,0.4666666666666665,0.6666666666666665,0,-0.4444444444444444,-1.1428571428571428,0.22727272727272727,1.3043478260869565,0.02857142857142847,1.3333333333333333,False
Jeff Teague,ATL,11/12,0.15068493150684928,-0.6774193548387096,1.3181818181818183,0.31282051282051254,0.6666666666666665,0,-0.4444444444444444,-0.8571428571428571,0.06818181818181834,0.391304347826087,0.0,0.5833333333333333,False
Tim Duncan,SAS,11/12,0.5342465753424659,1.4516129032258063,0.13636363636363627,1.0923076923076922,0.6296296296296297,0,-0.4444444444444444,-1.2857142857142858,1.5909090909090908,1.2608695652173914,1.014285714285714,0.9166666666666666,False
David West,IND,11/12,0.17808219178082205,0.6774193548387094,0.04545454545454549,0.4666666666666665,0.6296296296296297,0,-0.2222222222222222,-0.8571428571428571,0.5227272727272728,0.6086956521739131,0.25714285714285673,0.5833333333333333,False
Luol Deng,CHI,11/12,0.5205479452054796,0.6451612903225805,0.409090909090909,1.0923076923076922,0.5925925925925924,0,-0.7777777777777778,-1.1428571428571428,-0.31818181818181823,0.5652173913043478,0.0999999999999999,0.7499999999999998,False
DeAndre Jordan,LAC,11/12,-0.5616438356164384,1.2258064516129032,-0.7727272727272726,0.31282051282051254,0.5185185185185183,0,0.7777777777777778,-0.8571428571428571,0.2045454545454542,-0.13043478260869568,-1.0285714285714287,-0.16666666666666669,False
Brandon Jennings,MIL,11/12,1.0410958904109593,-0.3548387096774193,1.5909090909090908,-0.38461538461538497,0.4814814814814814,0,-0.6666666666666666,-0.14285714285714285,0.6590909090909087,1.0000000000000002,0.971428571428571,1.4166666666666663,False
Kawhi Leonard,SAS,11/12,-0.4931506849315069,0.19354838709677405,-0.409090909090909,1.0923076923076922,0.4814814814814814,0,0.7777777777777778,-1.0,0.2500000000000003,1.3043478260869565,-0.6571428571428574,0.8333333333333333,False
Kris Humphries,BRK,11/12,0.3150684931506851,2.0967741935483866,-0.22727272727272727,-1.0871794871794873,0.4074074074074073,0,-0.2222222222222222,-0.2857142857142857,0.5454545454545451,-0.5652173913043479,0.02857142857142847,-0.4166666666666667,False
Arron Afflalo,DEN,11/12,0.5068493150684932,-0.41935483870967727,0.18181818181818177,0.15897435897435855,0.4074074074074073,0,0.4444444444444444,0.42857142857142855,-0.18181818181818196,-0.13043478260869568,0.0,0.0,False
Kyle Korver,CHI,11/12,-0.4657534246575344,-0.6774193548387096,-0.13636363636363638,1.0923076923076922,0.4074074074074073,0,0.8888888888888888,-1.0,-0.4318181818181819,0.7826086956521741,-0.5428571428571429,0.41666666666666663,False
JJ Redick,ORL,11/12,0.013698630136986256,-0.7096774193548386,0.22727272727272727,0.08205128205128212,0.37037037037037035,0,0.5555555555555556,0.14285714285714285,-0.09090909090909098,0.2608695652173913,0.014285714285713982,0.1666666666666666,False
Jared Dudley,PHO,11/12,0.16438356164383555,0.03225806451612891,-0.13636363636363638,-0.23076923076923098,0.3333333333333331,0,0.3333333333333333,0.14285714285714285,-0.022727272727272645,0.34782608695652173,-0.20000000000000032,0.49999999999999983,False
Goran Dragić,HOU,11/12,0.02739726027397251,-0.6451612903225805,1.4999999999999998,-0.15384615384615397,0.3333333333333331,0,-0.1111111111111111,-0.2857142857142857,0.5681818181818181,0.6521739130434783,0.3857142857142856,0.49999999999999983,False
Zaza Pachulia,ATL,11/12,-0.5068493150684933,1.096774193548387,-0.27272727272727276,0.31282051282051254,0.2962962962962962,0,-0.1111111111111111,-1.2857142857142858,-0.3409090909090909,-0.47826086956521746,-0.7285714285714288,-0.5,False
David Lee,GSW,11/12,1.1780821917808222,1.6451612903225803,0.36363636363636354,-1.0102564102564104,0.2962962962962962,0,-0.4444444444444444,0.14285714285714285,0.9545454545454543,-0.30434782608695654,0.9857142857142855,-0.16666666666666669,False
Kyle Lowry,HOU,11/12,0.3835616438356166,0.0,2.0909090909090904,-0.15384615384615397,0.2592592592592593,0,-0.1111111111111111,-0.5714285714285714,0.7500000000000001,1.608695652173913,0.4142857142857141,0.9999999999999997,False
Marvin Williams,ATL,11/12,-0.17808219178082205,0.22580645161290325,-0.36363636363636365,0.31282051282051254,0.2592592592592593,0,0.1111111111111111,-1.0,0.06818181818181834,0.391304347826087,-0.15714285714285733,0.0833333333333332,False
