Player,Team,Season,PPG,RPG,APG,Win%,WS,MVP,ORtg,DRtg,PER,BPM,USG%,VORP,is_outlier,Standings,Top3_Team,PPG_weighted,Efficiency_score,PPG_rel,Net_Rating,BPM_x_USG%,PPG_x_Win%
Jarrett Allen,BRK,18/19,-0.0821917808219177,1.2580645161290325,-0.2727272727272727,-0.1692307692307693,1.259259259259259,0,1.2222222222222223,-0.2857142857142857,0.6818181818181818,0.5217391304347827,-0.4571428571428573,0.6666666666666664,False,10,0,0.0,-0.2,-0.6,1.5,-0.2,0.0
Bradley Beal,WAS,18/19,1.9315068493150689,0.1612903225806451,1.5909090909090908,-0.7948717948717949,1.259259259259259,0,0.1111111111111111,0.8571428571428571,1.2045454545454546,1.0869565217391306,1.328571428571428,2.1666666666666665,True,16,0,-1.5,-2.9,14.8,-0.7,1.4,-1.5
Domantas Sabonis,IND,18/19,0.3561643835616438,1.5483870967741935,0.409090909090909,0.2051282051282047,1.259259259259259,0,0.6666666666666666,-0.5714285714285714,1.454545454545454,1.173913043478261,0.6285714285714283,1.083333333333333,False,9,0,0.1,0.5,2.7,1.2,0.7,0.1
Al Horford,BOS,18/19,0.2876712328767123,0.7096774193548386,1.0,0.2717948717948714,1.222222222222222,0,1.1111111111111112,-0.1428571428571428,1.068181818181818,2.043478260869565,-0.0285714285714289,2.083333333333333,True,8,0,0.1,0.5,2.2,1.3,-0.1,0.1
Kemba Walker,CHO,18/19,1.9315068493150689,-0.0322580645161289,1.7727272727272727,-0.3538461538461541,1.1851851851851851,0,0.0,0.8571428571428571,1.4090909090909087,1.6521739130434785,1.7714285714285711,2.75,True,12,0,-0.7,-1.3,14.8,-0.9,2.9,-0.7
Jerami Grant,OKC,18/19,0.2876712328767123,0.2258064516129032,-0.4545454545454545,0.2717948717948714,1.148148148148148,0,0.7777777777777778,0.0,-0.3863636363636362,-0.0869565217391304,-0.5285714285714287,0.3333333333333332,False,8,0,0.1,0.0,2.2,0.8,0.0,0.1
D.J. Augustin,ORL,18/19,0.0273972602739725,-0.6451612903225805,1.4999999999999998,-0.1692307692307693,1.0,0,1.1111111111111112,0.5714285714285714,0.0454545454545452,0.0434782608695652,-0.2714285714285717,0.2499999999999998,False,10,0,-0.0,-0.1,0.2,0.5,-0.0,-0.0
Thaddeus Young,IND,18/19,0.1506849315068492,0.6451612903225805,0.2272727272727272,0.2051282051282047,1.0,0,0.1111111111111111,-0.2857142857142857,0.1590909090909089,0.4782608695652174,-0.1571428571428573,0.9166666666666666,False,9,0,0.0,0.2,1.2,0.4,-0.1,0.0
Darren Collison,IND,18/19,-0.041095890410959,-0.4516129032258063,1.818181818181818,0.2051282051282047,0.9629629629629628,0,0.6666666666666666,0.0,0.2727272727272725,0.6086956521739131,-0.2000000000000003,0.8333333333333333,False,9,0,-0.0,0.3,-0.3,0.7,-0.1,-0.0
Bam Adebayo,MIA,18/19,-0.3561643835616438,0.9032258064516128,0.0909090909090909,-0.3538461538461541,0.9629629629629628,0,0.8888888888888888,-0.5714285714285714,0.5454545454545451,0.6086956521739131,-0.4714285714285715,0.5833333333333333,False,12,0,0.1,-0.2,-2.7,1.5,-0.3,0.1
