;;;;;;Rk;Player;WS;Season;Age;Team;G;GS;AS;WS;ORtg;DRtg;OWS;DWS;WS/48;OBPM;DBPM;BPM;VORP;PER;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Pos;Player-additional
;;;;;;39;Zach LaVine;7.1;2022-23;27;CHI;77;77;0;7.1;116;115;4.2;2.9;0.123;2.7;-0.7;1.9;2.7;19;1.7;12.2;7.1;18.7;1.2;0.6;11;28.3;G-F;lavinza01
;;;;;;40;Kawhi Leonard;7.1;2022-23;31;LAC;52;50;0;7.1;125;113;4.9;2.2;0.194;5.1;0.9;6.1;3.5;23.9;3.7;17.8;10.8;19.6;2;1.4;8.1;27;F;leonaka01
;;;;;;41;Kevin Durant;6.8;2022-23;34;BRKPHO;47;47;1;6.8;123;113;4.7;2.1;0.194;6;1.2;7.1;3.9;25.9;1.2;19.5;10.5;24.5;1;3.4;13.4;30.7;F-G;duranke01
;;;;;;42;Aaron Gordon;6.8;2022-23;27;DEN;68;68;0;6.8;124;115;4.6;2.2;0.158;2.4;-0.3;2.1;2.1;19.5;9.4;15.4;12.5;14.2;1.3;2.2;9.8;21.1;F;gordoaa01
;;;;;;43;Jrue Holiday;6.7;2022-23;32;MIL;67;65;1;6.7;118;112;3.9;2.8;0.148;3;0.1;3.1;2.8;19.2;3.9;12;8.1;34.4;1.7;0.9;15.2;25;G;holidjr01
;;;;;;44;Ivica Zubac;6.7;2022-23;25;LAC;76;76;0;6.7;125;112;3.8;2.9;0.149;-1.1;0.2;-0.9;0.6;16.7;12.3;26.5;19.5;5.1;0.7;4;15.9;14.8;C;zubaciv01
;;;;;;45;Immanuel Quickley;6.7;2022-23;23;NYK;81;21;0;6.7;122;115;4.4;2.3;0.137;1.3;0.4;1.7;2.1;16.3;2.7;13.1;7.9;17.4;1.7;0.6;8.7;20.9;G;quickim01
;;;;;;46;Trae Young;6.7;2022-23;24;ATL;73;73;0;6.7;116;119;5.3;1.4;0.126;5.3;-2;3.3;3.4;22;2.4;7;4.7;42.5;1.5;0.3;15.2;32.6;G;youngtr01
;;;;;;47;Jaren Jackson Jr.;6.6;2022-23;23;MEM;63;63;1;6.6;118;105;2.8;3.8;0.177;0.7;2;2.8;2.2;21.6;6.4;18.8;12.6;5;1.7;9.6;10.1;24.7;F;jacksja02
;;;;;;48;Mitchell Robinson;6.5;2022-23;24;NYK;59;58;0;6.5;142;110;4;2.6;0.197;1;1.4;2.4;1.7;18.9;18.4;20;19.2;4.5;1.7;6.5;10.9;10.1;C;robinmi01
;;;;;;49;Harrison Barnes;6.5;2022-23;30;SAC;82;82;0;6.5;126;119;5.1;1.4;0.118;0.5;-1.5;-1;0.7;14.1;3.8;11.9;7.9;6.3;1;0.3;8.1;17.1;F;barneha02
;;;;;;50;Fred VanVleet;6.5;2022-23;28;TOR;69;69;0;6.5;117;114;3.7;2.8;0.123;2;0.5;2.5;2.9;17;1.2;12;6.3;28.1;2.4;1.5;10.2;23.2;G;vanvlfr01
;;;;;;51;Spencer Dinwiddie;6.3;2022-23;29;BRKDAL;79;79;0;6.3;118;118;4.5;1.8;0.111;1.6;-0.9;0.7;1.8;16;1.2;10.2;5.7;28.1;1.2;0.8;10.8;22.1;G;dinwisp01
;;;;;;52;Al Horford;6.3;2022-23;36;BOS;63;63;0;6.3;133;112;3.6;2.7;0.157;1.6;1.7;3.3;2.5;13.8;4.2;17.7;11.1;13.2;0.8;2.7;7;11.9;C-F;horfoal01
;;;;;;53;Deandre Ayton;6.2;2022-23;24;PHO;67;67;0;6.2;119;111;3.3;3;0.147;0.9;0;0.9;1.5;19.9;9.2;27.5;18.1;9.2;0.9;2.3;11;22.9;C;aytonde01
;;;;;;54;Chris Paul;6.2;2022-23;37;PHO;59;59;0;6.2;122;112;3.7;2.5;0.156;2;1.2;3.2;2.5;17.7;1.6;13.4;7.4;38.7;2.4;1;13.4;19.2;G;paulch01
;;;;;;55;Daniel Gafford;6.1;2022-23;24;WAS;78;47;0;6.1;135;113;4.2;1.9;0.184;0.4;0.6;1;1.2;19.7;11.7;18;15;7.5;1;5.2;15.1;15.2;C-F;gaffoda01
;;;;;;56;Josh Hart;6;2022-23;27;NYKPOR;76;52;0;6;125;116;3.8;2.2;0.118;-0.2;1.1;0.9;1.8;14.1;6.5;21;13.7;16.1;1.8;0.8;16.4;12.6;G;hartjo01
;;;;;;57;Devin Booker;6;2022-23;26;PHO;53;53;0;6;119;115;4.2;1.9;0.157;4.5;-0.3;4.2;2.9;22;2.7;12;7.2;27.3;1.4;0.9;10.6;31.8;G;bookede01
;;;;;;58;Ja Morant;6;2022-23;23;MEM;61;59;1;6;114;112;3.4;2.6;0.148;5.2;0.5;5.7;3.8;23.3;3.3;16.1;9.7;41.1;1.6;0.7;12.6;34.9;G;moranja01
;;;;;;59;Jakob Poeltl;6;2022-23;27;SASTOR;72;71;0;6;123;114;3.7;2.2;0.15;1.1;0.8;1.9;1.9;21;13;25.5;19;15.2;1.7;4;15;18.2;C;poeltja01
;;;;;;60;Tobias Harris;5.9;2022-23;30;PHI;74;74;0;5.9;118;114;3.1;2.8;0.116;0.6;0.1;0.7;1.7;14.8;3.3;17;10.3;11.4;1.4;1.5;9;18.2;F;harrito02
;;;;;;61;Malcolm Brogdon;5.8;2022-23;30;BOS;67;0;0;5.8;122;113;3.6;2.2;0.161;2.3;0.6;2.8;2.1;18.2;2.7;14.7;8.8;21.5;1.3;0.9;10.8;22.8;G;brogdma01
;;;;;;62;Jonas Valančiūnas;5.8;2022-23;30;NOP;79;79;0;5.8;116;110;2.8;3;0.142;0;-0.4;-0.4;0.8;19.3;13;33.3;23.1;11.1;0.5;2.5;14.8;23.4;C;valanjo01
;;;;;;63;Desmond Bane;5.8;2022-23;24;MEM;58;58;0;5.8;119;113;3.5;2.3;0.151;3.3;0.1;3.5;2.5;19.1;2.5;14.3;8.4;20.8;1.4;1.1;10.9;26.1;G;banede01
;;;;;;64;Tyus Jones;5.7;2022-23;26;MEM;80;22;0;5.7;122;113;3.4;2.3;0.141;1.2;0.3;1.6;1.7;16;1.5;9.4;5.5;28.8;2;0.3;8.9;17.7;G;jonesty01
;;;;;;65;Jalen Williams;5.6;2022-23;21;OKC;75;62;0;5.6;118;114;3;2.6;0.119;-0.4;0.7;0.3;1.3;15.6;3.9;12.2;7.9;15.4;2.1;1.4;12.3;18.4;G;willija06
;;;;;;66;LeBron James;5.6;2022-23;38;LAL;55;54;1;5.6;114;113;3.2;2.4;0.138;5.5;0.6;6.1;4;23.9;3.7;20.8;12.5;33.5;1.2;1.4;11.6;33.3;F-G;jamesle01
;;;;;;67;Mike Conley;5.5;2022-23;35;MINUTA;67;66;0;5.5;125;118;4.1;1.4;0.13;1;-0.1;0.9;1.5;14.7;1.8;7.9;4.9;29.4;1.7;0.6;13.1;16.3;G;conlemi01
;;;;;;68;Austin Reaves;5.4;2022-23;24;LAL;64;22;0;5.4;129;117;4.1;1.4;0.142;0.6;0.1;0.7;1.2;14.9;2;9;5.6;15.7;0.8;0.9;14;16.2;G;reaveau01
;;;;;;69;Myles Turner;5.4;2022-23;26;IND;62;62;0;5.4;121;114;3.4;2;0.142;1.4;0.7;2.1;1.9;20;5.4;22.9;14.2;7.5;0.9;6.6;10.8;22;C-F;turnemy01
;;;;;;70;Franz Wagner;5.4;2022-23;21;ORL;80;80;0;5.4;115;116;3.1;2.3;0.099;0.4;-0.5;-0.1;1.3;15.9;3;11.2;7.1;17.2;1.4;0.6;11.7;23.5;G-F;wagnefr01
;;;;;;71;Tyrese Maxey;5.4;2022-23;22;PHI;60;41;0;5.4;120;117;3.7;1.6;0.128;1.9;-1.2;0.6;1.3;17;1.4;8.8;5.2;16.9;1.2;0.4;7.4;24.1;G;maxeyty01
;;;;;;72;Bobby Portis;5.3;2022-23;27;MIL;70;22;0;5.3;117;110;2.5;2.8;0.139;1.2;-0.6;0.7;1.2;17.8;9.2;28.6;19.3;8.7;0.8;0.7;8.6;21.7;F;portibo01
;;;;;;73;Alperen Şengün;5.2;2022-23;20;HOU;75;72;0;5.2;118;117;3.4;1.8;0.115;1.1;0.4;1.4;1.9;19.7;12.1;22.3;17.1;21;1.6;3.2;17.3;21.4;C-F;sengual01
;;;;;;74;Jarred Vanderbilt;5.2;2022-23;23;LALUTA;78;65;0;5.2;123;112;2.7;2.5;0.132;-0.6;1.6;1.1;1.5;15.1;10;23.2;16.7;13.1;2.1;0.9;15.9;13.6;F;vandeja01
;;;;;;75;Jamal Murray;5.1;2022-23;25;DEN;65;65;0;5.1;116;116;3.3;1.9;0.116;2.6;-1.3;1.3;1.8;18;2.7;11;6.9;27.5;1.5;0.7;11.3;26.1;G;murraja01
;;;;;;76;Kyle Anderson;5.1;2022-23;29;MIN;69;46;0;5.1;120;112;2.5;2.6;0.125;0.2;2.3;2.5;2.2;14.8;3.8;16.9;10.5;22.6;1.9;2.8;15.7;14.4;F-G;anderky01
;;;;;;77;Dwight Powell;5.1;2022-23;31;DAL;76;64;0;5.1;140;116;3.8;1.3;0.168;-1.2;0;-1.2;0.3;15.5;11.8;13.3;12.5;6.9;1.6;1.6;15.9;12.6;F-C;poweldw01
;;;;;;78;D'Angelo Russell;5.1;2022-23;26;LALMIN;71;71;0;5.1;116;116;3.1;1.9;0.106;2.1;-0.7;1.5;2;16.3;1.7;8.5;5.2;27.4;1.4;1.1;15.1;22.7;G;russeda01
;;;;;;79;Grayson Allen;5.1;2022-23;27;MIL;72;70;0;5.1;123;114;2.8;2.2;0.123;-0.6;0.7;0.1;1;12.3;3.4;9;6.3;10.9;1.5;0.6;10.5;14.6;G;allengr01
;;;;;;80;Jaylen Brown;5;2022-23;26;BOS;67;67;1;5;110;111;1.6;3.4;0.1;1.5;-0.2;1.3;2;19.1;3.6;17;10.4;16.5;1.5;0.9;11.4;31.4;F-G;brownja02
;;;;;;81;Scottie Barnes;5;2022-23;21;TOR;77;76;0;5;113;115;2.3;2.7;0.09;0.5;-0.1;0.4;1.6;15.5;7.1;15.2;10.8;20;1.5;2.2;12;20.3;G-F;barnesc01
;;;;;;82;Chris Boucher;5;2022-23;30;TOR;76;0;0;5;125;112;3;2;0.156;0.7;-0.8;-0.1;0.7;18;10.9;21.2;15.7;2.7;1.5;4.1;6.4;18;F;bouchch01
;;;;;;83;Kevin Huerter;4.9;2022-23;24;SAC;75;75;0;4.9;119;117;3.3;1.7;0.107;1.4;-0.3;1;1.7;15.2;2.2;10.8;6.5;14.1;1.7;1;9.5;19.9;G;huertke01
;;;;;;84;Larry Nance Jr.;4.9;2022-23;30;NOP;65;1;0;4.9;134;110;2.8;2.1;0.171;0;2;2;1.4;16;8.7;20.3;14.5;11.7;2;2.6;11;11.9;F-C;nancela02
;;;;;;85;KJ Martin;4.9;2022-23;22;HOU;82;49;0;4.9;126;121;4.2;0.7;0.103;0.6;-1.3;-0.7;0.7;15.4;6;15.8;10.8;8.1;0.9;1.3;10;16.4;F;martike04
;;;;;;86;Christian Wood;4.8;2022-23;27;DAL;67;17;0;4.8;116;113;2.7;2.1;0.132;1.9;-0.3;1.7;1.6;20.6;5.8;27.4;16.4;11.7;0.9;3.7;11.9;26.4;F;woodch01
;;;;;;87;Quentin Grimes;4.8;2022-23;22;NYK;71;66;0;4.8;125;117;3.2;1.6;0.108;-0.3;0.1;-0.1;1;11.7;2.5;9.4;5.9;9.7;1.1;1.2;9.7;14.4;G;grimequ01
;;;;;;88;Draymond Green;4.7;2022-23;32;GSW;73;73;0;4.7;114;112;1.6;3.1;0.098;-1.8;2.6;0.8;1.6;12.2;3.2;21.6;12.6;27.8;1.5;2.3;28.1;13.2;F;greendr01
;;;;;;89;Dejounte Murray;4.7;2022-23;26;ATL;74;74;0;4.7;112;116;2.4;2.3;0.084;1.1;0;1;2.1;17;2.1;13.8;7.9;24;2;0.6;10.2;24.4;G;murrade01
;;;;;;90;OG Anunoby;4.7;2022-23;25;TOR;67;67;0;4.7;113;113;1.8;2.9;0.094;-0.3;0.7;0.4;1.5;14.6;4.2;12.1;7.9;8;2.7;2;12.1;19.5;F;anunoog01
;;;;;;91;Isaiah Hartenstein;4.6;2022-23;24;NYK;82;8;0;4.6;124;111;2.2;2.4;0.136;-1.5;1.2;-0.3;0.7;14.2;14.1;22.2;18.1;8.3;1.6;3.7;15.6;11.2;F;harteis01
;;;;;;92;Paul George;4.6;2022-23;32;LAC;56;56;1;4.6;113;113;2.3;2.3;0.114;2.4;0.3;2.8;2.3;19.6;2.6;17;9.9;24.2;2.1;0.9;13.4;29.5;F-G;georgpa01
;;;;;;93;Wendell Carter Jr.;4.6;2022-23;23;ORL;57;54;0;4.6;119;113;2.6;2;0.13;0.9;0.1;1;1.3;17.3;8;25.3;16.6;12;0.9;1.9;13.2;20.5;C;cartewe01
;;;;;;94;Santi Aldama;4.6;2022-23;22;MEM;77;20;0;4.6;120;111;2.1;2.4;0.13;-0.3;0.8;0.5;1.1;13.9;5.4;18;11.7;7.6;1.3;2.6;9.3;16;F;aldamsa01
;;;;;;95;Brandon Clarke;4.5;2022-23;26;MEM;56;8;0;4.5;131;109;2.7;1.8;0.199;0.8;1.8;2.5;1.3;20;9;21.2;15.1;9.5;1.5;3.1;11.8;17.7;F;clarkbr01
;;;;;;96;Gary Trent Jr.;4.5;2022-23;24;TOR;66;44;0;4.5;116;116;2.5;2;0.102;0.2;0;0.2;1.2;15;1.5;8.2;4.6;7.4;2.4;0.6;5.1;21.7;G;trentga02
;;;;;;97;Kentavious Caldwell-Pope;4.5;2022-23;29;DEN;76;76;0;4.5;117;115;2;2.5;0.091;-1.6;0.6;-1;0.6;11.5;1.7;8.1;5;9.8;2.3;1.3;11.1;14.1;G;caldwke01
;;;;;;98;Jalen Duren;4.5;2022-23;19;DET;67;31;0;4.5;126;116;2.9;1.6;0.129;-0.4;-0.4;-0.8;0.5;17.3;14.7;25.1;19.7;6.8;1.3;3.1;16.5;14.3;C;durenja01
;;;;;;99;Caris LeVert;4.4;2022-23;28;CLE;74;30;0;4.4;111;112;1.4;3.1;0.095;-1;0.8;-0.2;1;12.4;2.8;12.1;7.4;18;1.6;1;12.4;18.7;G-F;leverca01
;;;;;;100;Grant Williams;4.4;2022-23;24;BOS;79;23;0;4.4;118;113;1.9;2.6;0.104;-1.8;0.7;-1.1;0.5;10.3;4.7;14.5;9.7;8.4;1;1.3;13.4;13.1;F;willigr01
;;;;;;101;Drew Eubanks;4.4;2022-23;25;POR;78;28;0;4.4;130;115;2.9;1.6;0.134;-0.9;0.9;0.1;0.8;16.2;9.5;20.9;15.2;9.2;1.2;5.7;14.7;12.5;F;eubandr01
;;;;;;102;Jaden McDaniels;4.4;2022-23;22;MIN;79;79;0;4.4;115;115;2;2.4;0.087;-1.7;0.5;-1.2;0.5;12;4.3;9.8;7.1;8.4;1.5;2.7;12.6;15.8;F;mcdanja02
;;;;;;103;Buddy Hield;4.4;2022-23;30;IND;80;73;0;4.4;115;118;2.7;1.6;0.085;2.5;-0.6;1.9;2.4;15.4;3;14.9;8.9;13.3;1.8;0.9;11.3;20.8;G-F;hieldbu01
;;;;;;104;Michael Porter Jr.;4.3;2022-23;24;DEN;62;62;0;4.3;118;115;2.6;1.8;0.116;2;-1.8;0.2;1;16.8;4.2;17.2;10.9;5.3;1;1.4;7.3;22.7;F;portemi01
;;;;;;105;Terance Mann;4.3;2022-23;26;LAC;81;36;0;4.3;123;117;2.8;1.5;0.111;-0.3;0.1;-0.2;0.8;13.4;4.7;11.8;8.3;14;1.1;1;12.2;15.3;G-F;mannte01
;;;;;;106;Keegan Murray;4.3;2022-23;22;SAC;80;78;0;4.3;119;117;2.6;1.7;0.087;0.4;-1;-0.6;0.8;12.3;4.3;13.4;8.9;5.5;1.2;1.5;6.8;15.8;F;murrake02
;;;;;;107;Kelly Olynyk;4.3;2022-23;31;UTA;68;68;0;4.3;118;115;2.4;1.9;0.106;-0.4;0.9;0.4;1.2;14.4;4.6;18.6;11.7;17.6;1.5;1.6;20.3;17.8;C-F;olynyke01
;;;;;;108;CJ McCollum;4.3;2022-23;31;NOP;75;75;0;4.3;110;115;1.5;2.8;0.078;1.5;-0.7;0.8;1.9;15.6;2.4;11.7;7;25.1;1.3;1.4;11.2;26.4;G;mccolcj01
;;;;;;109;Bruce Brown;4.3;2022-23;26;DEN;80;31;0;4.3;113;114;1.7;2.6;0.09;-1.1;0.6;-0.5;0.9;13.3;3.3;13;8.3;15.7;1.9;2;13.2;17.8;G-F;brownbr01
;;;;;;110;Monte Morris;4.2;2022-23;27;WAS;62;61;0;4.2;125;118;3.1;1.1;0.12;0.8;-0.4;0.5;1.1;15;1.8;11.6;6.9;26.4;1.2;0.6;9.9;15.6;G;morrimo01
;;;;;;111;De'Anthony Melton;4.2;2022-23;24;PHI;77;58;0;4.2;111;111;1.1;3.1;0.095;-0.7;1.6;0.9;1.6;12.7;3.9;13.1;8.6;12.9;2.9;1.8;12.9;16.4;G;meltode01
;;;;;;112;John Collins;4.2;2022-23;25;ATL;71;71;0;4.2;117;115;2.1;2.1;0.095;-1.4;0.2;-1.3;0.4;13.6;3.9;20;11.9;5.3;0.9;2.9;9.1;17.1;F;collijo01
;;;;;;113;Isaac Okoro;4.2;2022-23;22;CLE;76;46;0;4.2;123;112;1.9;2.3;0.122;-1.9;1.6;-0.3;0.7;10.7;3.7;9.6;6.7;7;1.7;1.7;9.5;11.9;G-F;okorois01
;;;;;;114;Herbert Jones;4.2;2022-23;24;NOP;66;66;0;4.2;115;112;1.5;2.7;0.104;-1.9;1.7;-0.3;0.8;12.1;5.6;10;7.8;11.1;2.6;2.1;13.3;14.5;F;joneshe01
;;;;;;115;Xavier Tillman Sr.;4.2;2022-23;24;MEM;61;29;0;4.2;129;109;2.3;1.9;0.171;0.3;1.7;1.9;1.2;17.3;10.9;16.7;13.8;10.9;2.3;2.2;11.3;13.7;F;tillmxa01
