Rk;Player;WS;Season;Age;Team;G;GS;AS;WS;ORtg;DRtg;OWS;DWS;WS/48;OBPM;DBPM;BPM;VORP;PER;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Pos;Player-additional
39;Klay Thompson;7.1;2016-17;26;GSW;78;78;1;7.1;111;108;4.2;2.9;0.129;2.4;-1.6;0.8;1.9;17.4;2.2;9.2;5.9;9.3;1.2;1.2;8;26.1;G-F;thompkl01
40;Paul George;7.1;2016-17;26;IND;75;75;1;7.1;109;108;3.9;3.1;0.126;3;0.1;3.1;3.4;20.2;2.5;17.9;10.3;16.1;2.2;0.9;12.7;28.9;F-G;georgpa01
41;Andre Iguodala;6.9;2016-17;33;GSW;76;0;0;6.9;129;105;4.1;2.9;0.167;0.8;1.7;2.5;2.3;14.3;3;13.1;8.3;16.7;1.8;1.5;11.2;11.2;F-G;iguodan01
42;Tobias Harris;6.8;2016-17;24;DET;82;48;0;6.8;113;108;4;2.8;0.128;1.3;0.3;1.6;2.3;16.9;2.6;15.6;8.8;8.8;1.2;1.3;7.6;21.7;F;harrito02
43;Danilo Gallinari;6.8;2016-17;28;DEN;63;63;0;6.8;126;115;6.2;0.7;0.154;2.8;-1.4;1.4;1.9;17.4;2;14.7;8.4;9.1;0.9;0.5;8.2;20;F;gallida01
44;Marcin Gortat;6.8;2016-17;32;WAS;82;82;0;6.8;117;108;3.9;2.9;0.127;-0.3;-0.5;-0.8;0.8;15.4;10.6;26.8;18.7;6.8;0.8;2;13.8;14.7;C-F;gortama01
45;Andre Drummond;6.7;2016-17;23;DET;81;81;0;6.7;104;99;1.4;5.3;0.133;0.1;0.8;1;1.8;20.9;15.1;36.2;25.2;6;2.6;3.1;12.5;22.4;C;drumman01
46;Jae Crowder;6.7;2016-17;26;BOS;72;72;0;6.7;118;108;4.1;2.5;0.137;1;-0.1;0.9;1.7;14.9;2.3;17.3;9.9;10.1;1.6;0.8;8.9;17;F;crowdja01
47;Steven Adams;6.5;2016-17;23;OKC;80;80;0;6.5;114;107;3.3;3.1;0.13;-0.2;0;-0.2;1.1;16.5;13;15.4;14.2;5.4;1.8;2.6;16;16.2;C;adamsst01
48;Paul Millsap;6.4;2016-17;31;ATL;69;67;1;6.4;108;104;2.6;3.8;0.132;0.8;1.3;2.1;2.4;17.9;5.3;19.5;12.5;17.9;1.9;2.3;12.1;24.4;F;millspa01
49;Pau Gasol;6.4;2016-17;36;SAS;64;39;0;6.4;116;102;3.3;3.1;0.19;2.6;1.5;4;2.5;20.2;7.6;26.8;17.4;14.7;0.8;3.5;10.6;21.3;C-F;gasolpa01
50;Kevin Love;6.4;2016-17;28;CLE;60;60;1;6.4;114;107;4;2.4;0.163;3.3;-1.2;2.1;1.9;21.1;8.9;29.3;19.5;9.8;1.4;0.9;10.9;26.4;F-C;loveke01
51;Al Horford;6.3;2016-17;30;BOS;68;68;0;6.3;114;107;3.6;2.7;0.138;2.3;1.1;3.4;3;17.7;4.9;18.6;11.8;24.4;1.2;3.2;11.8;19.7;C-F;horfoal01
52;Lou Williams;6.1;2016-17;30;HOULAL;81;1;0;6.1;115;113;5.1;1;0.148;4.6;-0.7;3.9;3;21.4;1.4;9.9;5.5;19.9;1.9;0.8;11.8;29.1;G;willilo02
53;Ricky Rubio;6.1;2016-17;26;MIN;75;75;0;6.1;115;112;4.5;1.7;0.119;1.2;-0.2;0.9;1.8;16.8;3.2;11.4;7.2;38.9;2.6;0.3;20.1;17.4;G;rubiori01
54;Mason Plumlee;6;2016-17;26;DENPOR;81;64;0;6;114;108;3.6;2.4;0.135;0.6;1.4;2;2.2;18.1;8.8;22.4;15.6;19.8;1.6;3.4;15.1;18.1;C-F;plumlma01
55;Trevor Ariza;6;2016-17;31;HOU;80;80;0;6;113;108;2.8;3.2;0.104;-0.1;1.1;1;2.1;12.3;2.1;15.9;9;8.8;2.5;0.6;7.9;14.1;F;arizatr01
56;Clint Capela;5.9;2016-17;22;HOU;65;59;0;5.9;122;106;3.8;2.1;0.184;1.3;-0.1;1.2;1.2;21.4;12.5;24.5;18.5;6.7;1.1;4.1;12;19.9;C;capelca01
57;George Hill;5.9;2016-17;30;UTA;49;49;0;5.9;119;107;4;1.9;0.182;3;0.8;3.8;2.3;19.3;1.8;10.5;6.2;22.8;1.7;0.6;10.9;23.5;G;hillge01
58;Enes Freedom;5.8;2016-17;24;OKC;72;0;0;5.8;116;107;4;1.8;0.183;3;-1.3;1.7;1.4;23.7;14.1;20.8;17.4;7.9;1;2;12.5;27.3;C;kanteen01
59;Michael Kidd-Gilchrist;5.8;2016-17;23;CHO;81;81;0;5.8;113;106;2.7;3.1;0.119;-1.6;0.9;-0.7;0.7;14.3;7.3;19.3;13.2;7.4;1.7;2.9;7.4;14.6;F;kiddgmi01
60;Tyler Johnson;5.8;2016-17;24;MIA;73;0;0;5.8;112;107;3.1;2.7;0.128;0.4;1;1.4;1.8;15.9;2.5;12.5;7.4;16.6;1.9;1.6;8.8;20.9;G;johnsty01
61;JaMychal Green;5.8;2016-17;26;MEM;77;75;0;5.8;117;107;3.2;2.6;0.132;-0.9;0.2;-0.8;0.6;13.5;8.8;21.1;14.8;6.3;1.2;1.5;14.1;14.4;F;greenja01
62;David Lee;5.7;2016-17;33;SAS;79;10;0;5.7;120;103;3.2;2.5;0.186;0.7;1.1;1.8;1.4;18.5;11.7;21.9;16.9;13;1.1;2.2;14.9;16.9;F-C;leeda02
63;Gorgui Dieng;5.7;2016-17;27;MIN;82;82;0;5.7;114;110;3.2;2.5;0.103;-0.8;0.6;-0.1;1.3;14.2;8.1;20.5;14.2;8.6;1.7;3.1;12.7;14;C;dienggo01
64;Cody Zeller;5.6;2016-17;24;CHO;62;58;0;5.6;121;107;3.4;2.2;0.157;-0.9;1.1;0.2;1;16.7;8.6;17.3;12.9;9.1;1.8;3;10.9;15.5;C-F;zelleco01
