;;;;;;;;;;;;;;Rk;Player;WS;Season;Age;Team;G;GS;AS;WS;ORtg;DRtg;OWS;DWS;WS/48;OBPM;DBPM;BPM;VORP;PER;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Pos;Player-additional
;;;;;;;;;;;;;;36;Domantas Sabonis;7.1;2021-22;25;INDSAC;62;61;0;7.1;121;113;5.3;1.8;0.159;3.2;0.9;4.1;3.2;21.9;10.3;29;19.5;23.6;1.3;1.1;17.5;22.3;C-F;sabondo01
;;;;;;;;;;;;;;37;Tyrese Haliburton;7;2021-22;21;INDSAC;77;77;0;7;119;115;5.2;1.8;0.125;2.7;-0.1;2.6;3.1;18.2;2.5;10.3;6.3;34.1;2.4;1.6;16.7;19;G;halibty01
;;;;;;;;;;;;;;38;Jakob Poeltl;6.9;2021-22;26;SAS;68;67;0;6.9;123;110;4.4;2.5;0.168;0.9;0.7;1.6;1.7;20.8;13.9;20;16.9;14;1.1;5;12.7;18.3;C;poeltja01
;;;;;;;;;;;;;;39;Jrue Holiday;6.9;2021-22;31;MIL;67;64;0;6.9;117;112;4.5;2.4;0.15;2.9;0.3;3.2;2.9;19.8;3.4;10.9;7.2;31.8;2.4;1.3;15;23.5;G;holidjr01
;;;;;;;;;;;;;;40;Steven Adams;6.8;2021-22;28;MEM;76;75;0;6.8;125;108;3.8;3;0.163;1;1;2;2;17.6;17.9;22;19.9;16.1;1.6;2.7;19.6;12;C;adamsst01
;;;;;;;;;;;;;;41;Kevon Looney;6.8;2021-22;25;GSW;82;80;0;6.8;128;105;3.5;3.2;0.187;-0.9;1.7;0.9;1.3;15.7;13.5;23.8;18.8;13.2;1.4;2.9;13.8;12.2;F-C;looneke01
;;;;;;;;;;;;;;42;Mike Conley;6.7;2021-22;34;UTA;72;72;0;6.7;120;111;4.4;2.3;0.157;2.4;0.7;3.1;2.7;17.2;2.6;8.8;5.8;27.7;2.3;0.9;12.5;20.9;G;conlemi01
;;;;;;;;;;;;;;43;Ja Morant;6.7;2021-22;22;MEM;57;57;1;6.7;116;111;4.6;2.1;0.171;6.2;-0.1;6.1;3.9;24.4;4.2;14.1;9;34.1;1.7;1;12.6;33.7;G;moranja01
;;;;;;;;;;;;;;44;Fred VanVleet;6.7;2021-22;27;TOR;65;65;1;6.7;115;111;3.9;2.8;0.131;3.1;0.5;3.6;3.5;17.3;1.8;11.4;6.4;26.7;2.3;1.4;12.5;23.7;G;vanvlfr01
;;;;;;;;;;;;;;45;Scottie Barnes;6.6;2021-22;20;TOR;74;74;0;6.6;116;111;3.7;2.9;0.122;0.5;0.4;0.9;1.9;16.3;7.7;15.8;11.5;14.7;1.5;2.1;11.7;19;G-F;barnesc01
;;;;;;;;;;;;;;46;Dorian Finney-Smith;6.6;2021-22;28;DAL;80;80;0;6.6;119;110;3.4;3.2;0.121;0.1;0.7;0.8;1.9;12.5;5.1;10.7;7.9;8.2;1.7;1.3;9.9;13.8;F;finnedo01
;;;;;;;;;;;;;;47;Kyle Lowry;6.4;2021-22;35;MIA;63;63;0;6.4;118;110;3.7;2.7;0.143;1.1;0.8;2;2.1;15;1.8;13;7.5;32.3;1.6;0.8;19.3;18.2;G;lowryky01
;;;;;;;;;;;;;;48;Darius Garland;6.3;2021-22;22;CLE;68;68;1;6.3;112;112;3.8;2.5;0.125;3.4;-0.8;2.6;2.8;19;1.8;8.2;5.1;39.9;1.8;0.3;16.2;27.8;G;garlada01
;;;;;;;;;;;;;;49;Brandon Clarke;6.3;2021-22;25;MEM;64;1;0;6.3;138;108;4.4;1.9;0.241;3.1;1.1;4.2;2;23.7;11.1;17.8;14.4;10.3;1.5;4.9;6.3;17.7;F;clarkbr01
;;;;;;;;;;;;;;50;Alec Burks;6.1;2021-22;30;NYK;81;44;0;6.1;117;110;3.2;2.9;0.126;-0.4;1.2;0.8;1.7;13.7;2.1;16.6;9.2;15.7;1.8;1.1;9.7;17.7;G;burksal01
;;;;;;;;;;;;;;51;Harrison Barnes;6;2021-22;29;SAC;77;77;0;6;121;118;5;1;0.112;1.5;-1.3;0.2;1.4;15.7;3.4;14.9;9.1;10.5;1;0.5;10.4;18.8;F;barneha02
;;;;;;;;;;;;;;52;Jarred Vanderbilt;6;2021-22;22;MIN;74;67;0;6;127;108;3.1;2.9;0.153;-0.8;1;0.2;1.1;15.3;12;23.9;17.8;6.7;2.5;2.4;14.8;10.9;F;vandeja01
;;;;;;;;;;;;;;53;Jordan Poole;6;2021-22;22;GSW;76;51;0;6;112;110;3.1;2.9;0.126;1.3;-0.3;1;1.7;16.1;1.7;10.5;6.2;21;1.3;1;13.7;26;G;poolejo01
;;;;;;;;;;;;;;54;Chris Boucher;6;2021-22;29;TOR;80;9;0;6;124;108;3.5;2.4;0.169;0.5;-0.4;0.1;0.9;17.9;10.9;21.3;15.8;2.2;1.4;4.3;6;17.8;F;bouchch01
;;;;;;;;;;;;;;55;Daniel Gafford;6;2021-22;23;WAS;72;53;0;6;134;111;4.4;1.6;0.198;1.1;0.5;1.6;1.3;21.8;12.1;19;15.6;7.3;1;5.8;12;16.7;C-F;gaffoda01
;;;;;;;;;;;;;;56;Terry Rozier;5.9;2021-22;27;CHO;73;73;0;5.9;117;115;4.3;1.6;0.115;2.4;-0.7;1.7;2.3;17.6;2.4;11.3;6.8;19.7;1.8;1;7.2;23.2;G;roziete01
;;;;;;;;;;;;;;57;Zach LaVine;5.8;2021-22;26;CHI;67;67;1;5.8;115;116;4.5;1.3;0.12;3.9;-1.5;2.4;2.6;20;1.1;13.8;7.4;20.8;0.9;0.9;11.2;28.8;G-F;lavinza01
;;;;;;;;;;;;;;58;LaMelo Ball;5.8;2021-22;20;CHO;75;75;1;5.8;111;112;3.4;2.5;0.116;3.3;0.1;3.4;3.3;19.7;4.7;17.4;11;35.7;2.4;1.2;15.3;28.2;G;ballla01
;;;;;;;;;;;;;;59;Hassan Whiteside;5.8;2021-22;32;UTA;65;8;0;5.8;132;104;3.4;2.3;0.238;0.6;1.4;2.1;1.2;22.9;16.2;29.9;23.3;3.4;0.9;7.8;11.6;17.1;C;whiteha01
;;;;;;;;;;;;;;60;Jaylen Brown;5.8;2021-22;25;BOS;66;66;0;5.8;109;108;2.3;3.4;0.124;1.9;0.1;2.1;2.2;18.9;2.6;16.7;9.8;17.9;1.6;0.7;11.6;30.5;F-G;brownja02
;;;;;;;;;;;;;;61;Kevin Love;5.7;2021-22;33;CLE;74;4;0;5.7;117;108;3.2;2.5;0.164;4.4;0.1;4.5;2.7;19.6;5.9;29.2;17.8;15.3;0.8;1;10.4;25.1;F-C;loveke01
;;;;;;;;;;;;;;62;Cameron Johnson;5.6;2021-22;25;PHO;66;16;0;5.6;123;109;3.2;2.4;0.156;2;0.7;2.7;2.1;15.2;2.7;14;8.5;7.7;1.6;0.8;6.7;17.5;F;johnsca02
;;;;;;;;;;;;;;63;Gary Trent Jr.;5.6;2021-22;23;TOR;70;69;0;5.6;114;112;3.1;2.5;0.11;-0.1;0.3;0.2;1.3;14.7;1.1;7.7;4.2;8.8;2.5;0.8;5.8;21.8;G;trentga02
;;;;;;;;;;;;;;64;Tobias Harris;5.6;2021-22;29;PHI;73;73;0;5.6;113;112;3;2.6;0.105;0.6;-0.6;0;1.3;15.9;3.4;18.1;10.9;15.9;0.9;1.5;9.5;21.7;F;harrito02
;;;;;;;;;;;;;;65;Kristaps Porziņģis;5.6;2021-22;26;DALWAS;51;51;0;5.6;116;107;3.2;2.4;0.18;3.3;0.6;3.9;2.2;23.7;7.7;23.1;15.4;13.7;1.3;5;8.3;29.5;F-C;porzikr01
;;;;;;;;;;;;;;66;Marcus Smart;5.6;2021-22;27;BOS;71;71;0;5.6;110;107;1.9;3.7;0.116;-1.2;1.7;0.5;1.5;13.6;2;10.5;6.4;25.6;2.6;0.7;16.6;18.3;G;smartma01
;;;;;;;;;;;;;;67;Bobby Portis;5.5;2021-22;26;MIL;72;59;0;5.5;115;110;2.9;2.6;0.131;1.2;-1;0.2;1.1;17.7;9.6;24.4;17.2;6.4;1.3;2.4;8.9;21.3;F;portibo01
;;;;;;;;;;;;;;68;Royce O'Neale;5.5;2021-22;28;UTA;77;77;0;5.5;122;111;2.7;2.8;0.109;-0.8;1.7;0.8;1.7;10.3;3;13.4;8.4;10.5;1.8;1.2;14.4;9.9;F;onealro01
